dagB38.txt 3_2x4.txt True 0.043209876543209874 0.07 394.75 [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1] 
dagB38.txt 3_2x4.txt True 0.043209876543209874 0.1 394.75 [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1] 
dagB38.txt 3_2x4.txt True 0.12345679012345678 0.15 366.0 [3, 3, 3, 3, 3, 3, 1, 3, 3, 1, 3, 1, 3, 3, 1, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3] 
dagB38.txt 3_2x4.txt True 0.12345679012345678 0.2 366.0 [3, 3, 3, 3, 3, 3, 1, 3, 3, 1, 3, 1, 3, 3, 1, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3] 
dagB38.txt 3_2x4.txt True 0.12345679012345678 0.3 366.0 [3, 3, 3, 3, 3, 3, 1, 3, 3, 1, 3, 1, 3, 3, 1, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3] 
dagB38.txt 3_2x4.txt True 0.12345679012345678 0.4 366.0 [3, 3, 3, 3, 3, 3, 1, 3, 3, 1, 3, 1, 3, 3, 1, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3] 
dagB38.txt 3_2x4.txt True 0.46296296296296297 0.5 132.25 [7, 1, 1, 1, 7, 5, 3, 5, 7, 7, 7, 1, 7, 3, 5, 7, 7, 3, 1, 1, 3, 5, 7, 7, 1, 3, 5, 3, 3, 1, 7, 5, 3, 7, 1, 5, 3, 3, 5, 5, 5, 7, 3, 1, 1, 3, 3, 5, 3, 5, 1, 3, 1, 3, 3] 
dagB38.txt 3_2x4.txt True 0.5308641975308642 0.6 145.75 [1, 7, 5, 5, 5, 5, 1, 5, 1, 1, 3, 5, 7, 3, 5, 1, 5, 1, 5, 5, 3, 5, 1, 7, 2, 1, 1, 3, 5, 5, 7, 7, 1, 7, 5, 7, 5, 3, 7, 1, 7, 7, 2, 2, 1, 1, 1, 5, 7, 7, 1, 5, 5, 3, 2] 
dagB38.txt 3_2x4.txt True 0.5370370370370371 0.7 109.25 [5, 5, 1, 1, 3, 0, 2, 1, 3, 5, 3, 1, 3, 3, 1, 3, 3, 2, 1, 3, 3, 5, 5, 3, 7, 5, 7, 1, 7, 1, 3, 5, 7, 3, 7, 5, 3, 3, 3, 1, 5, 6, 7, 7, 1, 3, 7, 1, 5, 3, 7, 7, 7, 3, 5] 
dagB38.txt 3_2x4.txt True 0.7469135802469136 1 107.0 [6, 6, 5, 4, 2, 2, 1, 3, 1, 3, 7, 7, 5, 1, 4, 3, 7, 4, 7, 1, 0, 1, 2, 5, 5, 7, 5, 1, 7, 5, 3, 3, 6, 5, 3, 3, 7, 1, 7, 3, 1, 3, 5, 5, 3, 0, 7, 5, 1, 7, 3, 1, 5, 7, 1] 
dagB38.txt 3_2x2.txt True 0.043209876543209874 0.07 526.3333333333334 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0] 
