dagH42.txt 3_2x4.txt True 0.026717557251908396 0.07 615.75 [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1] 
dagH42.txt 3_2x4.txt True 0.07633587786259542 0.1 590.75 [1, 1, 1, 1, 1, 1, 1, 1, 1, 5, 1, 1, 5, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 5, 5, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 5, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 5, 1, 1] 
dagH42.txt 3_2x4.txt True 0.07633587786259542 0.15 590.75 [1, 1, 1, 1, 1, 1, 1, 1, 1, 5, 1, 1, 5, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 5, 5, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 5, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 5, 1, 1] 
dagH42.txt 3_2x4.txt True 0.16793893129770993 0.2 551.75 [1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 5, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 5, 2, 5, 1, 1, 1, 1, 1, 1, 5, 1, 5, 1, 1, 1, 1, 1, 1, 5, 2, 1, 5, 1, 1, 3, 2, 1, 1, 2] 
dagH42.txt 3_2x4.txt True 0.16412213740458015 0.3 527.0 [3, 3, 7, 3, 3, 7, 3, 3, 3, 1, 7, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 7, 5, 3, 3, 3, 3, 3, 7, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 5, 3, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 5, 3, 3, 3, 1, 3, 3, 1, 3, 5, 3, 3, 3, 3, 1, 5, 3, 3, 3, 3] 
dagH42.txt 3_2x4.txt True 0.16412213740458015 0.4 527.0 [3, 3, 7, 3, 3, 7, 3, 3, 3, 1, 7, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 7, 5, 3, 3, 3, 3, 3, 7, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 5, 3, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 5, 3, 3, 3, 1, 3, 3, 1, 3, 5, 3, 3, 3, 3, 1, 5, 3, 3, 3, 3] 
dagH42.txt 3_2x4.txt True 0.16412213740458015 0.5 527.0 [3, 3, 7, 3, 3, 7, 3, 3, 3, 1, 7, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 7, 5, 3, 3, 3, 3, 3, 7, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 5, 3, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 5, 3, 3, 3, 1, 3, 3, 1, 3, 5, 3, 3, 3, 3, 1, 5, 3, 3, 3, 3] 
dagH42.txt 3_2x4.txt True 0.48854961832061067 0.6 157.5 [1, 1, 3, 3, 5, 5, 5, 5, 5, 1, 5, 1, 5, 5, 1, 3, 5, 1, 5, 5, 5, 1, 5, 3, 1, 5, 3, 1, 1, 5, 1, 2, 1, 5, 5, 3, 3, 1, 7, 1, 2, 5, 7, 4, 1, 1, 7, 3, 7, 7, 1, 7, 2, 7, 3, 2, 3, 7, 7, 3, 7, 7, 7, 3, 7, 3, 7, 7, 7, 4, 1, 4, 3, 7, 3, 7, 7, 3, 3, 3, 3, 3, 3, 4, 7] 
dagH42.txt 3_2x4.txt True 0.583969465648855 0.7 181.0 [3, 3, 3, 3, 7, 1, 5, 7, 5, 5, 1, 5, 4, 7, 3, 3, 5, 3, 2, 5, 5, 3, 5, 3, 7, 7, 6, 1, 3, 7, 4, 5, 7, 7, 4, 3, 7, 1, 1, 2, 6, 2, 3, 7, 4, 7, 5, 7, 5, 1, 6, 5, 7, 1, 7, 7, 5, 3, 1, 5, 1, 5, 1, 5, 1, 1, 1, 7, 1, 6, 3, 1, 1, 1, 1, 5, 5, 5, 5, 1, 1, 5, 1, 1, 3] 
dagH42.txt 3_2x4.txt True 0.7404580152671756 1 144.0 [7, 5, 3, 5, 1, 5, 5, 5, 6, 6, 5, 1, 3, 1, 5, 7, 5, 7, 5, 5, 3, 5, 6, 5, 1, 7, 1, 3, 7, 5, 7, 6, 3, 7, 3, 1, 3, 5, 0, 7, 4, 1, 3, 3, 7, 1, 3, 1, 2, 5, 0, 3, 1, 7, 2, 1, 0, 3, 5, 4, 7, 1, 0, 7, 5, 1, 7, 5, 7, 1, 1, 7, 1, 3, 4, 5, 3, 7, 2, 1, 2, 4, 3, 3, 3] 
