dag25.txt 3_2x4.txt True 0.1276595744680851 0.14 2337450.6666666665 [1, 2, 2, 2, 1, 2, 2, 2, 2, 0, 0, 2, 2, 2, 2, 0, 2, 0, 2, 2, 1, 2, 2, 2, 0, 2, 2, 2, 2, 2, 0, 0, 0, 2, 0, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 2, 2, 0, 2, 2, 0, 2, 0, 0, 2, 0, 0, 0, 2, 2, 0, 0, 2, 0, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2] 
dag25.txt 3_2x4.txt True 0.1276595744680851 0.14 2337450.6666666665 [1, 2, 2, 2, 1, 2, 2, 2, 2, 0, 0, 2, 2, 2, 2, 0, 2, 0, 2, 2, 1, 2, 2, 2, 0, 2, 2, 2, 2, 2, 0, 0, 0, 2, 0, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 2, 2, 0, 2, 2, 0, 2, 0, 0, 2, 0, 0, 0, 2, 2, 0, 0, 2, 0, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2] 
dag25.txt 3_2x4.txt True 0.1276595744680851 0.16 2523136.0 [1, 2, 2, 1, 1, 2, 2, 2, 1, 1, 1, 2, 1, 1, 2, 1, 2, 1, 1, 1, 1, 2, 2, 2, 1, 2, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 2, 0, 1, 0, 2, 1, 2, 2, 1, 1, 1, 1, 2, 1, 2, 1, 1, 2, 1, 1, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2] 
dag25.txt 3_2x4.txt True 0.1276595744680851 0.16 2523136.0 [1, 2, 2, 1, 1, 2, 2, 2, 1, 1, 1, 2, 1, 1, 2, 1, 2, 1, 1, 1, 1, 2, 2, 2, 1, 2, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 2, 0, 1, 0, 2, 1, 2, 2, 1, 1, 1, 1, 2, 1, 2, 1, 1, 2, 1, 1, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2] 
dag25.txt 3_2x4.txt True 0.1276595744680851 0.18 2523136.0 [1, 2, 2, 1, 1, 2, 2, 2, 1, 1, 1, 2, 1, 1, 2, 1, 2, 1, 1, 1, 1, 2, 2, 2, 1, 2, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 2, 0, 1, 0, 2, 1, 2, 2, 1, 1, 1, 1, 2, 1, 2, 1, 1, 2, 1, 1, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2] 
dag25.txt 3_2x4.txt True 0.1276595744680851 0.18 2523136.0 [1, 2, 2, 1, 1, 2, 2, 2, 1, 1, 1, 2, 1, 1, 2, 1, 2, 1, 1, 1, 1, 2, 2, 2, 1, 2, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 2, 0, 1, 0, 2, 1, 2, 2, 1, 1, 1, 1, 2, 1, 2, 1, 1, 2, 1, 1, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2] 
dag25.txt 3_2x4.txt True 0.1276595744680851 0.2 2523136.0 [1, 2, 2, 1, 1, 2, 2, 2, 1, 1, 1, 2, 1, 1, 2, 1, 2, 1, 1, 1, 1, 2, 2, 2, 1, 2, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 2, 0, 1, 0, 2, 1, 2, 2, 1, 1, 1, 1, 2, 1, 2, 1, 1, 2, 1, 1, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2] 
dag25.txt 3_2x4.txt True 0.1276595744680851 0.2 2523136.0 [1, 2, 2, 1, 1, 2, 2, 2, 1, 1, 1, 2, 1, 1, 2, 1, 2, 1, 1, 1, 1, 2, 2, 2, 1, 2, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 2, 0, 1, 0, 2, 1, 2, 2, 1, 1, 1, 1, 2, 1, 2, 1, 1, 2, 1, 1, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2] 
dag25.txt 3_2x4.txt True 0.24113475177304963 0.25 1490944.0 [1, 7, 5, 7, 1, 3, 2, 5, 7, 5, 4, 0, 4, 4, 7, 5, 1, 5, 7, 4, 1, 3, 5, 5, 5, 7, 5, 0, 1, 4, 1, 4, 4, 7, 4, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 6, 7, 3, 3, 3, 5, 3, 7, 5, 5, 5, 4, 5, 5, 5, 5, 5, 7, 7, 4, 5, 5, 5, 5, 5, 5, 5, 0, 5, 7, 5, 2, 5, 2, 0, 5, 2, 7, 0, 0, 0, 0, 0, 0, 0] 
dag25.txt 3_2x4.txt True 0.24113475177304963 0.25 1490944.0 [1, 7, 5, 7, 1, 3, 2, 5, 7, 5, 4, 0, 4, 4, 7, 5, 1, 5, 7, 4, 1, 3, 5, 5, 5, 7, 5, 0, 1, 4, 1, 4, 4, 7, 4, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 6, 7, 3, 3, 3, 5, 3, 7, 5, 5, 5, 4, 5, 5, 5, 5, 5, 7, 7, 4, 5, 5, 5, 5, 5, 5, 5, 0, 5, 7, 5, 2, 5, 2, 0, 5, 2, 7, 0, 0, 0, 0, 0, 0, 0] 
dag25.txt 3_2x4.txt True 0.2978723404255319 0.3 663552.0 [2, 3, 5, 3, 2, 4, 7, 5, 3, 0, 3, 7, 1, 1, 6, 1, 1, 0, 3, 1, 2, 4, 4, 5, 0, 6, 1, 7, 1, 1, 0, 3, 3, 3, 0, 3, 3, 6, 2, 3, 3, 2, 2, 2, 2, 6, 6, 2, 2, 6, 4, 4, 4, 5, 4, 6, 5, 0, 5, 0, 0, 5, 5, 5, 5, 2, 6, 3, 5, 1, 5, 5, 5, 5, 5, 7, 5, 6, 5, 7, 6, 7, 7, 4, 7, 6, 7, 7, 7, 7, 7, 7, 7] 
dag25.txt 3_2x4.txt True 0.2978723404255319 0.3 663552.0 [2, 3, 5, 3, 2, 4, 7, 5, 3, 0, 3, 7, 1, 1, 6, 1, 1, 0, 3, 1, 2, 4, 4, 5, 0, 6, 1, 7, 1, 1, 0, 3, 3, 3, 0, 3, 3, 6, 2, 3, 3, 2, 2, 2, 2, 6, 6, 2, 2, 6, 4, 4, 4, 5, 4, 6, 5, 0, 5, 0, 0, 5, 5, 5, 5, 2, 6, 3, 5, 1, 5, 5, 5, 5, 5, 7, 5, 6, 5, 7, 6, 7, 7, 4, 7, 6, 7, 7, 7, 7, 7, 7, 7] 
dag25.txt 3_2x4.txt True 0.3120567375886525 0.35 630784.0 [0, 1, 7, 5, 4, 2, 2, 7, 4, 2, 5, 0, 3, 3, 6, 3, 0, 2, 4, 3, 0, 2, 1, 7, 2, 7, 3, 0, 0, 3, 2, 4, 4, 4, 5, 4, 4, 6, 5, 4, 4, 4, 4, 4, 5, 6, 6, 5, 5, 6, 2, 2, 2, 7, 2, 7, 7, 3, 7, 4, 7, 7, 7, 7, 7, 6, 6, 5, 7, 3, 7, 7, 7, 1, 7, 1, 7, 6, 1, 2, 1, 1, 1, 0, 1, 6, 0, 1, 1, 0, 0, 0, 0] 
dag25.txt 3_2x4.txt True 0.3120567375886525 0.35 630784.0 [0, 1, 7, 5, 4, 2, 2, 7, 4, 2, 5, 0, 3, 3, 6, 3, 0, 2, 4, 3, 0, 2, 1, 7, 2, 7, 3, 0, 0, 3, 2, 4, 4, 4, 5, 4, 4, 6, 5, 4, 4, 4, 4, 4, 5, 6, 6, 5, 5, 6, 2, 2, 2, 7, 2, 7, 7, 3, 7, 4, 7, 7, 7, 7, 7, 6, 6, 5, 7, 3, 7, 7, 7, 1, 7, 1, 7, 6, 1, 2, 1, 1, 1, 0, 1, 6, 0, 1, 1, 0, 0, 0, 0] 
dag25.txt 3_2x4.txt True 0.3120567375886525 0.4 630784.0 [0, 1, 7, 5, 4, 2, 2, 7, 4, 2, 5, 0, 3, 3, 6, 3, 0, 2, 4, 3, 0, 2, 1, 7, 2, 7, 3, 0, 0, 3, 2, 4, 4, 4, 5, 4, 4, 6, 5, 4, 4, 4, 4, 4, 5, 6, 6, 5, 5, 6, 2, 2, 2, 7, 2, 7, 7, 3, 7, 4, 7, 7, 7, 7, 7, 6, 6, 5, 7, 3, 7, 7, 7, 1, 7, 1, 7, 6, 1, 2, 1, 1, 1, 0, 1, 6, 0, 1, 1, 0, 0, 0, 0] 
dag25.txt 3_2x4.txt True 0.3120567375886525 0.4 630784.0 [0, 1, 7, 5, 4, 2, 2, 7, 4, 2, 5, 0, 3, 3, 6, 3, 0, 2, 4, 3, 0, 2, 1, 7, 2, 7, 3, 0, 0, 3, 2, 4, 4, 4, 5, 4, 4, 6, 5, 4, 4, 4, 4, 4, 5, 6, 6, 5, 5, 6, 2, 2, 2, 7, 2, 7, 7, 3, 7, 4, 7, 7, 7, 7, 7, 6, 6, 5, 7, 3, 7, 7, 7, 1, 7, 1, 7, 6, 1, 2, 1, 1, 1, 0, 1, 6, 0, 1, 1, 0, 0, 0, 0] 
dag25.txt 3_2x4.txt True 0.3120567375886525 0.45 630784.0 [0, 1, 7, 5, 4, 2, 2, 7, 4, 2, 5, 0, 3, 3, 6, 3, 0, 2, 4, 3, 0, 2, 1, 7, 2, 7, 3, 0, 0, 3, 2, 4, 4, 4, 5, 4, 4, 6, 5, 4, 4, 4, 4, 4, 5, 6, 6, 5, 5, 6, 2, 2, 2, 7, 2, 7, 7, 3, 7, 4, 7, 7, 7, 7, 7, 6, 6, 5, 7, 3, 7, 7, 7, 1, 7, 1, 7, 6, 1, 2, 1, 1, 1, 0, 1, 6, 0, 1, 1, 0, 0, 0, 0] 
dag25.txt 3_2x4.txt True 0.3120567375886525 0.45 630784.0 [0, 1, 7, 5, 4, 2, 2, 7, 4, 2, 5, 0, 3, 3, 6, 3, 0, 2, 4, 3, 0, 2, 1, 7, 2, 7, 3, 0, 0, 3, 2, 4, 4, 4, 5, 4, 4, 6, 5, 4, 4, 4, 4, 4, 5, 6, 6, 5, 5, 6, 2, 2, 2, 7, 2, 7, 7, 3, 7, 4, 7, 7, 7, 7, 7, 6, 6, 5, 7, 3, 7, 7, 7, 1, 7, 1, 7, 6, 1, 2, 1, 1, 1, 0, 1, 6, 0, 1, 1, 0, 0, 0, 0] 
dag25.txt 3_2x4.txt True 0.3120567375886525 0.5 630784.0 [0, 1, 7, 5, 4, 2, 2, 7, 4, 2, 5, 0, 3, 3, 6, 3, 0, 2, 4, 3, 0, 2, 1, 7, 2, 7, 3, 0, 0, 3, 2, 4, 4, 4, 5, 4, 4, 6, 5, 4, 4, 4, 4, 4, 5, 6, 6, 5, 5, 6, 2, 2, 2, 7, 2, 7, 7, 3, 7, 4, 7, 7, 7, 7, 7, 6, 6, 5, 7, 3, 7, 7, 7, 1, 7, 1, 7, 6, 1, 2, 1, 1, 1, 0, 1, 6, 0, 1, 1, 0, 0, 0, 0] 
dag25.txt 3_2x4.txt True 0.3120567375886525 0.5 630784.0 [0, 1, 7, 5, 4, 2, 2, 7, 4, 2, 5, 0, 3, 3, 6, 3, 0, 2, 4, 3, 0, 2, 1, 7, 2, 7, 3, 0, 0, 3, 2, 4, 4, 4, 5, 4, 4, 6, 5, 4, 4, 4, 4, 4, 5, 6, 6, 5, 5, 6, 2, 2, 2, 7, 2, 7, 7, 3, 7, 4, 7, 7, 7, 7, 7, 6, 6, 5, 7, 3, 7, 7, 7, 1, 7, 1, 7, 6, 1, 2, 1, 1, 1, 0, 1, 6, 0, 1, 1, 0, 0, 0, 0] 
dag25.txt 3_2x4.txt True 0.3120567375886525 0.55 630784.0 [0, 1, 7, 5, 4, 2, 2, 7, 4, 2, 5, 0, 3, 3, 6, 3, 0, 2, 4, 3, 0, 2, 1, 7, 2, 7, 3, 0, 0, 3, 2, 4, 4, 4, 5, 4, 4, 6, 5, 4, 4, 4, 4, 4, 5, 6, 6, 5, 5, 6, 2, 2, 2, 7, 2, 7, 7, 3, 7, 4, 7, 7, 7, 7, 7, 6, 6, 5, 7, 3, 7, 7, 7, 1, 7, 1, 7, 6, 1, 2, 1, 1, 1, 0, 1, 6, 0, 1, 1, 0, 0, 0, 0] 
dag25.txt 3_2x4.txt True 0.3120567375886525 0.55 630784.0 [0, 1, 7, 5, 4, 2, 2, 7, 4, 2, 5, 0, 3, 3, 6, 3, 0, 2, 4, 3, 0, 2, 1, 7, 2, 7, 3, 0, 0, 3, 2, 4, 4, 4, 5, 4, 4, 6, 5, 4, 4, 4, 4, 4, 5, 6, 6, 5, 5, 6, 2, 2, 2, 7, 2, 7, 7, 3, 7, 4, 7, 7, 7, 7, 7, 6, 6, 5, 7, 3, 7, 7, 7, 1, 7, 1, 7, 6, 1, 2, 1, 1, 1, 0, 1, 6, 0, 1, 1, 0, 0, 0, 0] 
dag25.txt 3_2x4.txt True 0.3120567375886525 0.6 630784.0 [0, 1, 7, 5, 4, 2, 2, 7, 4, 2, 5, 0, 3, 3, 6, 3, 0, 2, 4, 3, 0, 2, 1, 7, 2, 7, 3, 0, 0, 3, 2, 4, 4, 4, 5, 4, 4, 6, 5, 4, 4, 4, 4, 4, 5, 6, 6, 5, 5, 6, 2, 2, 2, 7, 2, 7, 7, 3, 7, 4, 7, 7, 7, 7, 7, 6, 6, 5, 7, 3, 7, 7, 7, 1, 7, 1, 7, 6, 1, 2, 1, 1, 1, 0, 1, 6, 0, 1, 1, 0, 0, 0, 0] 
dag25.txt 3_2x4.txt True 0.3120567375886525 0.6 630784.0 [0, 1, 7, 5, 4, 2, 2, 7, 4, 2, 5, 0, 3, 3, 6, 3, 0, 2, 4, 3, 0, 2, 1, 7, 2, 7, 3, 0, 0, 3, 2, 4, 4, 4, 5, 4, 4, 6, 5, 4, 4, 4, 4, 4, 5, 6, 6, 5, 5, 6, 2, 2, 2, 7, 2, 7, 7, 3, 7, 4, 7, 7, 7, 7, 7, 6, 6, 5, 7, 3, 7, 7, 7, 1, 7, 1, 7, 6, 1, 2, 1, 1, 1, 0, 1, 6, 0, 1, 1, 0, 0, 0, 0] 
dag25.txt 3_2x4.txt True 0.3120567375886525 0.65 630784.0 [0, 1, 7, 5, 4, 2, 2, 7, 4, 2, 5, 0, 3, 3, 6, 3, 0, 2, 4, 3, 0, 2, 1, 7, 2, 7, 3, 0, 0, 3, 2, 4, 4, 4, 5, 4, 4, 6, 5, 4, 4, 4, 4, 4, 5, 6, 6, 5, 5, 6, 2, 2, 2, 7, 2, 7, 7, 3, 7, 4, 7, 7, 7, 7, 7, 6, 6, 5, 7, 3, 7, 7, 7, 1, 7, 1, 7, 6, 1, 2, 1, 1, 1, 0, 1, 6, 0, 1, 1, 0, 0, 0, 0] 
dag25.txt 3_2x4.txt True 0.3120567375886525 0.65 630784.0 [0, 1, 7, 5, 4, 2, 2, 7, 4, 2, 5, 0, 3, 3, 6, 3, 0, 2, 4, 3, 0, 2, 1, 7, 2, 7, 3, 0, 0, 3, 2, 4, 4, 4, 5, 4, 4, 6, 5, 4, 4, 4, 4, 4, 5, 6, 6, 5, 5, 6, 2, 2, 2, 7, 2, 7, 7, 3, 7, 4, 7, 7, 7, 7, 7, 6, 6, 5, 7, 3, 7, 7, 7, 1, 7, 1, 7, 6, 1, 2, 1, 1, 1, 0, 1, 6, 0, 1, 1, 0, 0, 0, 0] 
dag25.txt 3_2x4.txt True 0.3120567375886525 0.7 630784.0 [0, 1, 7, 5, 4, 2, 2, 7, 4, 2, 5, 0, 3, 3, 6, 3, 0, 2, 4, 3, 0, 2, 1, 7, 2, 7, 3, 0, 0, 3, 2, 4, 4, 4, 5, 4, 4, 6, 5, 4, 4, 4, 4, 4, 5, 6, 6, 5, 5, 6, 2, 2, 2, 7, 2, 7, 7, 3, 7, 4, 7, 7, 7, 7, 7, 6, 6, 5, 7, 3, 7, 7, 7, 1, 7, 1, 7, 6, 1, 2, 1, 1, 1, 0, 1, 6, 0, 1, 1, 0, 0, 0, 0] 
dag25.txt 3_2x4.txt True 0.3120567375886525 0.7 630784.0 [0, 1, 7, 5, 4, 2, 2, 7, 4, 2, 5, 0, 3, 3, 6, 3, 0, 2, 4, 3, 0, 2, 1, 7, 2, 7, 3, 0, 0, 3, 2, 4, 4, 4, 5, 4, 4, 6, 5, 4, 4, 4, 4, 4, 5, 6, 6, 5, 5, 6, 2, 2, 2, 7, 2, 7, 7, 3, 7, 4, 7, 7, 7, 7, 7, 6, 6, 5, 7, 3, 7, 7, 7, 1, 7, 1, 7, 6, 1, 2, 1, 1, 1, 0, 1, 6, 0, 1, 1, 0, 0, 0, 0] 
dag25.txt 3_2x4.txt True 0.3120567375886525 0.75 630784.0 [0, 1, 7, 5, 4, 2, 2, 7, 4, 2, 5, 0, 3, 3, 6, 3, 0, 2, 4, 3, 0, 2, 1, 7, 2, 7, 3, 0, 0, 3, 2, 4, 4, 4, 5, 4, 4, 6, 5, 4, 4, 4, 4, 4, 5, 6, 6, 5, 5, 6, 2, 2, 2, 7, 2, 7, 7, 3, 7, 4, 7, 7, 7, 7, 7, 6, 6, 5, 7, 3, 7, 7, 7, 1, 7, 1, 7, 6, 1, 2, 1, 1, 1, 0, 1, 6, 0, 1, 1, 0, 0, 0, 0] 
dag25.txt 3_2x4.txt True 0.3120567375886525 0.75 630784.0 [0, 1, 7, 5, 4, 2, 2, 7, 4, 2, 5, 0, 3, 3, 6, 3, 0, 2, 4, 3, 0, 2, 1, 7, 2, 7, 3, 0, 0, 3, 2, 4, 4, 4, 5, 4, 4, 6, 5, 4, 4, 4, 4, 4, 5, 6, 6, 5, 5, 6, 2, 2, 2, 7, 2, 7, 7, 3, 7, 4, 7, 7, 7, 7, 7, 6, 6, 5, 7, 3, 7, 7, 7, 1, 7, 1, 7, 6, 1, 2, 1, 1, 1, 0, 1, 6, 0, 1, 1, 0, 0, 0, 0] 
dag25.txt 3_2x4.txt True 0.3120567375886525 0.8 630784.0 [0, 1, 7, 5, 4, 2, 2, 7, 4, 2, 5, 0, 3, 3, 6, 3, 0, 2, 4, 3, 0, 2, 1, 7, 2, 7, 3, 0, 0, 3, 2, 4, 4, 4, 5, 4, 4, 6, 5, 4, 4, 4, 4, 4, 5, 6, 6, 5, 5, 6, 2, 2, 2, 7, 2, 7, 7, 3, 7, 4, 7, 7, 7, 7, 7, 6, 6, 5, 7, 3, 7, 7, 7, 1, 7, 1, 7, 6, 1, 2, 1, 1, 1, 0, 1, 6, 0, 1, 1, 0, 0, 0, 0] 
dag25.txt 3_2x4.txt True 0.3120567375886525 0.8 630784.0 [0, 1, 7, 5, 4, 2, 2, 7, 4, 2, 5, 0, 3, 3, 6, 3, 0, 2, 4, 3, 0, 2, 1, 7, 2, 7, 3, 0, 0, 3, 2, 4, 4, 4, 5, 4, 4, 6, 5, 4, 4, 4, 4, 4, 5, 6, 6, 5, 5, 6, 2, 2, 2, 7, 2, 7, 7, 3, 7, 4, 7, 7, 7, 7, 7, 6, 6, 5, 7, 3, 7, 7, 7, 1, 7, 1, 7, 6, 1, 2, 1, 1, 1, 0, 1, 6, 0, 1, 1, 0, 0, 0, 0] 
dag25.txt 3_2x4.txt True 0.3120567375886525 0.85 630784.0 [0, 1, 7, 5, 4, 2, 2, 7, 4, 2, 5, 0, 3, 3, 6, 3, 0, 2, 4, 3, 0, 2, 1, 7, 2, 7, 3, 0, 0, 3, 2, 4, 4, 4, 5, 4, 4, 6, 5, 4, 4, 4, 4, 4, 5, 6, 6, 5, 5, 6, 2, 2, 2, 7, 2, 7, 7, 3, 7, 4, 7, 7, 7, 7, 7, 6, 6, 5, 7, 3, 7, 7, 7, 1, 7, 1, 7, 6, 1, 2, 1, 1, 1, 0, 1, 6, 0, 1, 1, 0, 0, 0, 0] 
dag25.txt 3_2x4.txt True 0.3120567375886525 0.85 630784.0 [0, 1, 7, 5, 4, 2, 2, 7, 4, 2, 5, 0, 3, 3, 6, 3, 0, 2, 4, 3, 0, 2, 1, 7, 2, 7, 3, 0, 0, 3, 2, 4, 4, 4, 5, 4, 4, 6, 5, 4, 4, 4, 4, 4, 5, 6, 6, 5, 5, 6, 2, 2, 2, 7, 2, 7, 7, 3, 7, 4, 7, 7, 7, 7, 7, 6, 6, 5, 7, 3, 7, 7, 7, 1, 7, 1, 7, 6, 1, 2, 1, 1, 1, 0, 1, 6, 0, 1, 1, 0, 0, 0, 0] 
