dag44.txt 3_2x4.txt 0.3235294117647059 0.5 647168.0 [1, 0, 4, 7, 4, 0, 1, 0, 5, 5, 4, 5, 0, 1, 1, 6, 4, 5, 0, 1, 1, 5, 0, 1, 5, 6, 6, 4, 0, 4, 4, 0, 0, 6, 4, 1, 6, 6, 6, 3, 1, 0, 1, 1, 3, 4, 4, 3, 1, 4, 1, 7, 7, 7, 7, 5, 7, 3, 7, 5, 5, 7, 5, 4, 7, 4, 4, 2, 2, 6, 7, 5, 5, 0, 2, 6, 2, 7, 2, 3, 7, 3, 3, 2, 3, 3, 2, 6, 3, 2, 2, 2, 2] 
dag44.txt 5_4_3_2x2.txt 0.3235294117647059 0.5 638976.0 [2, 0, 1, 7, 1, 0, 2, 0, 3, 3, 1, 3, 0, 2, 2, 5, 1, 3, 0, 2, 2, 3, 0, 2, 3, 5, 5, 1, 0, 1, 1, 0, 0, 5, 1, 2, 5, 5, 5, 6, 2, 0, 2, 2, 6, 1, 1, 6, 2, 1, 2, 7, 7, 7, 7, 3, 7, 6, 7, 3, 3, 7, 3, 1, 7, 1, 1, 4, 4, 5, 7, 3, 3, 0, 4, 5, 4, 7, 4, 6, 7, 6, 6, 4, 6, 6, 4, 5, 6, 4, 4, 4, 4] 
dag44.txt 3_2x4.txt 0.3235294117647059 0.55 647168.0 [1, 0, 4, 7, 4, 0, 1, 0, 5, 5, 4, 5, 0, 1, 1, 6, 4, 5, 0, 1, 1, 5, 0, 1, 5, 6, 6, 4, 0, 4, 4, 0, 0, 6, 4, 1, 6, 6, 6, 3, 1, 0, 1, 1, 3, 4, 4, 3, 1, 4, 1, 7, 7, 7, 7, 5, 7, 3, 7, 5, 5, 7, 5, 4, 7, 4, 4, 2, 2, 6, 7, 5, 5, 0, 2, 6, 2, 7, 2, 3, 7, 3, 3, 2, 3, 3, 2, 6, 3, 2, 2, 2, 2] 
dag44.txt 4_1x5.txt 0.34558823529411764 0.5 1048576.0 [2, 9, 5, 4, 5, 3, 7, 1, 9, 2, 4, 1, 3, 1, 8, 3, 5, 2, 1, 0, 8, 2, 3, 2, 9, 0, 4, 5, 3, 5, 5, 9, 0, 3, 0, 0, 3, 3, 3, 5, 0, 3, 1, 1, 9, 5, 5, 9, 1, 5, 1, 0, 0, 0, 0, 2, 6, 9, 6, 2, 2, 4, 2, 5, 4, 4, 5, 7, 7, 4, 5, 2, 2, 8, 8, 3, 4, 0, 2, 1, 0, 5, 1, 7, 0, 6, 7, 7, 6, 7, 7, 7, 7] 
dag44.txt 5_4_3_2x2.txt 0.3235294117647059 0.55 638976.0 [2, 0, 1, 7, 1, 0, 2, 0, 3, 3, 1, 3, 0, 2, 2, 5, 1, 3, 0, 2, 2, 3, 0, 2, 3, 5, 5, 1, 0, 1, 1, 0, 0, 5, 1, 2, 5, 5, 5, 6, 2, 0, 2, 2, 6, 1, 1, 6, 2, 1, 2, 7, 7, 7, 7, 3, 7, 6, 7, 3, 3, 7, 3, 1, 7, 1, 1, 4, 4, 5, 7, 3, 3, 0, 4, 5, 4, 7, 4, 6, 7, 6, 6, 4, 6, 6, 4, 5, 6, 4, 4, 4, 4] 
dag44.txt 3_2x4.txt 0.3235294117647059 0.6 647168.0 [1, 0, 4, 7, 4, 0, 1, 0, 5, 5, 4, 5, 0, 1, 1, 6, 4, 5, 0, 1, 1, 5, 0, 1, 5, 6, 6, 4, 0, 4, 4, 0, 0, 6, 4, 1, 6, 6, 6, 3, 1, 0, 1, 1, 3, 4, 4, 3, 1, 4, 1, 7, 7, 7, 7, 5, 7, 3, 7, 5, 5, 7, 5, 4, 7, 4, 4, 2, 2, 6, 7, 5, 5, 0, 2, 6, 2, 7, 2, 3, 7, 3, 3, 2, 3, 3, 2, 6, 3, 2, 2, 2, 2] 
dag44.txt 4_1x5.txt 0.35294117647058826 0.55 1015808.0 [4, 5, 7, 6, 7, 9, 2, 5, 5, 5, 8, 5, 9, 8, 4, 3, 7, 0, 5, 8, 4, 0, 9, 4, 5, 3, 6, 7, 9, 7, 7, 5, 9, 3, 7, 8, 6, 0, 9, 0, 7, 9, 8, 8, 0, 7, 7, 0, 8, 8, 8, 6, 6, 8, 1, 5, 1, 0, 1, 4, 5, 1, 7, 8, 1, 8, 8, 3, 2, 6, 1, 0, 1, 9, 2, 3, 2, 6, 3, 8, 2, 7, 8, 3, 2, 1, 3, 3, 2, 2, 2, 3, 2] 
dag44.txt 5_4_3_2x2.txt 0.3235294117647059 0.6 638976.0 [2, 0, 1, 7, 1, 0, 2, 0, 3, 3, 1, 3, 0, 2, 2, 5, 1, 3, 0, 2, 2, 3, 0, 2, 3, 5, 5, 1, 0, 1, 1, 0, 0, 5, 1, 2, 5, 5, 5, 6, 2, 0, 2, 2, 6, 1, 1, 6, 2, 1, 2, 7, 7, 7, 7, 3, 7, 6, 7, 3, 3, 7, 3, 1, 7, 1, 1, 4, 4, 5, 7, 3, 3, 0, 4, 5, 4, 7, 4, 6, 7, 6, 6, 4, 6, 6, 4, 5, 6, 4, 4, 4, 4] 
dag44.txt 3_2x4.txt 0.3235294117647059 0.65 647168.0 [1, 0, 4, 7, 4, 0, 1, 0, 5, 5, 4, 5, 0, 1, 1, 6, 4, 5, 0, 1, 1, 5, 0, 1, 5, 6, 6, 4, 0, 4, 4, 0, 0, 6, 4, 1, 6, 6, 6, 3, 1, 0, 1, 1, 3, 4, 4, 3, 1, 4, 1, 7, 7, 7, 7, 5, 7, 3, 7, 5, 5, 7, 5, 4, 7, 4, 4, 2, 2, 6, 7, 5, 5, 0, 2, 6, 2, 7, 2, 3, 7, 3, 3, 2, 3, 3, 2, 6, 3, 2, 2, 2, 2] 
dag44.txt 4_1x5.txt 0.35294117647058826 0.6 1015808.0 [4, 5, 7, 6, 7, 9, 2, 5, 5, 5, 8, 5, 9, 8, 4, 3, 7, 0, 5, 8, 4, 0, 9, 4, 5, 3, 6, 7, 9, 7, 7, 5, 9, 3, 7, 8, 6, 0, 9, 0, 7, 9, 8, 8, 0, 7, 7, 0, 8, 8, 8, 6, 6, 8, 1, 5, 1, 0, 1, 4, 5, 1, 7, 8, 1, 8, 8, 3, 2, 6, 1, 0, 1, 9, 2, 3, 2, 6, 3, 8, 2, 7, 8, 3, 2, 1, 3, 3, 2, 2, 2, 3, 2] 
