dag93.txt 3_2x4.txt 0.37037037037037035 0.5 696320.0 [2, 4, 4, 3, 6, 3, 4, 1, 5, 3, 3, 4, 3, 2, 3, 2, 6, 5, 5, 1, 2, 2, 4, 3, 3, 3, 2, 4, 2, 3, 4, 4, 4, 1, 1, 1, 1, 2, 1, 3, 1, 1, 2, 1, 1, 0, 0, 6, 6, 2, 0, 2, 0, 0, 0, 0, 0, 2, 2, 5, 2, 1, 1, 0, 0, 0, 2, 3, 0, 4, 0, 6, 6, 5, 7, 6, 7, 7, 7, 7, 7, 5, 5, 2, 5, 5, 7, 3, 7, 5, 5] 
dag93.txt 3_2x4.txt 0.362962962962963 0.55 696320.0 [4, 5, 3, 7, 2, 7, 5, 2, 3, 7, 4, 3, 7, 3, 7, 4, 4, 4, 4, 7, 4, 4, 3, 7, 7, 0, 4, 5, 1, 7, 5, 1, 5, 2, 2, 2, 2, 4, 2, 0, 2, 0, 0, 2, 2, 6, 6, 6, 6, 4, 4, 7, 6, 7, 7, 4, 2, 4, 0, 4, 0, 2, 2, 3, 0, 6, 3, 7, 0, 5, 3, 4, 1, 6, 3, 1, 1, 1, 1, 5, 5, 3, 0, 0, 0, 0, 5, 7, 5, 0, 5] 
dag93.txt 5_4_3_2x2.txt 0.35555555555555557 0.5 679936.0 [5, 3, 3, 4, 1, 4, 3, 5, 7, 4, 2, 7, 4, 7, 4, 5, 6, 2, 5, 4, 5, 5, 7, 4, 4, 2, 5, 3, 0, 7, 3, 0, 3, 1, 1, 1, 1, 5, 1, 2, 1, 2, 5, 1, 1, 6, 2, 6, 6, 5, 6, 5, 2, 4, 4, 1, 1, 5, 5, 2, 5, 1, 1, 7, 5, 6, 7, 4, 7, 3, 7, 6, 0, 2, 7, 0, 0, 0, 0, 3, 3, 7, 2, 5, 2, 2, 3, 4, 3, 2, 4] 
dag93.txt 3_2x4.txt 0.35555555555555557 0.6 696320.0 [6, 5, 5, 2, 4, 2, 5, 6, 7, 2, 1, 7, 2, 7, 2, 6, 3, 1, 6, 2, 6, 6, 7, 2, 2, 1, 6, 5, 0, 7, 5, 0, 5, 4, 4, 4, 4, 6, 4, 1, 4, 1, 6, 4, 4, 3, 1, 3, 3, 6, 3, 6, 1, 2, 2, 4, 4, 6, 6, 1, 6, 4, 4, 7, 6, 3, 7, 2, 7, 5, 7, 3, 0, 1, 7, 0, 0, 0, 0, 5, 5, 7, 1, 6, 1, 1, 5, 2, 5, 1, 2] 
dag93.txt 4_1x5.txt 0.35555555555555557 0.5 1114112.0 [6, 3, 3, 7, 1, 8, 1, 1, 7, 7, 8, 7, 8, 6, 5, 8, 9, 1, 6, 5, 6, 6, 7, 7, 7, 8, 6, 3, 6, 7, 1, 0, 1, 5, 1, 5, 5, 8, 5, 8, 5, 4, 1, 5, 5, 4, 4, 9, 9, 8, 9, 8, 4, 9, 9, 9, 9, 8, 1, 1, 1, 5, 7, 7, 2, 4, 6, 7, 2, 0, 2, 0, 0, 4, 2, 0, 0, 0, 0, 2, 2, 3, 3, 3, 3, 3, 2, 8, 2, 3, 3] 
dag93.txt 5_4_3_2x2.txt 0.362962962962963 0.55 679936.0 [1, 3, 6, 7, 4, 7, 3, 4, 6, 7, 1, 6, 7, 6, 7, 1, 1, 1, 1, 7, 1, 1, 6, 7, 7, 0, 1, 3, 2, 7, 3, 2, 3, 4, 4, 4, 4, 1, 4, 0, 4, 0, 0, 4, 4, 5, 5, 5, 5, 1, 1, 7, 5, 7, 7, 1, 4, 1, 0, 1, 0, 4, 4, 6, 0, 5, 6, 7, 0, 3, 6, 1, 2, 5, 6, 2, 2, 2, 2, 3, 3, 6, 0, 0, 0, 0, 3, 7, 3, 0, 3] 
dag93.txt 4_1x5.txt 0.35555555555555557 0.55 1114112.0 [6, 3, 3, 7, 1, 8, 1, 1, 7, 7, 8, 7, 8, 6, 5, 8, 9, 1, 6, 5, 6, 6, 7, 7, 7, 8, 6, 3, 6, 7, 1, 0, 1, 5, 1, 5, 5, 8, 5, 8, 5, 4, 1, 5, 5, 4, 4, 9, 9, 8, 9, 8, 4, 9, 9, 9, 9, 8, 1, 1, 1, 5, 7, 7, 2, 4, 6, 7, 2, 0, 2, 0, 0, 4, 2, 0, 0, 0, 0, 2, 2, 3, 3, 3, 3, 3, 2, 8, 2, 3, 3] 
dag93.txt 5_4_3_2x2.txt 0.35555555555555557 0.6 679936.0 [5, 3, 3, 4, 1, 4, 3, 5, 7, 4, 2, 7, 4, 7, 4, 5, 6, 2, 5, 4, 5, 5, 7, 4, 4, 2, 5, 3, 0, 7, 3, 0, 3, 1, 1, 1, 1, 5, 1, 2, 1, 2, 5, 1, 1, 6, 2, 6, 6, 5, 6, 5, 2, 4, 4, 1, 1, 5, 5, 2, 5, 1, 1, 7, 5, 6, 7, 4, 7, 3, 7, 6, 0, 2, 7, 0, 0, 0, 0, 3, 3, 7, 2, 5, 2, 2, 3, 4, 3, 2, 4] 
dag93.txt 4_1x5.txt 0.35555555555555557 0.6 1114112.0 [6, 3, 3, 7, 1, 8, 1, 1, 7, 7, 8, 7, 8, 6, 5, 8, 9, 1, 6, 5, 6, 6, 7, 7, 7, 8, 6, 3, 6, 7, 1, 0, 1, 5, 1, 5, 5, 8, 5, 8, 5, 4, 1, 5, 5, 4, 4, 9, 9, 8, 9, 8, 4, 9, 9, 9, 9, 8, 1, 1, 1, 5, 7, 7, 2, 4, 6, 7, 2, 0, 2, 0, 0, 4, 2, 0, 0, 0, 0, 2, 2, 3, 3, 3, 3, 3, 2, 8, 2, 3, 3] 
dag93.txt 3_2x3.txt 0.2814814814814815 0.5 925696.0 [3, 1, 5, 5, 0, 2, 1, 3, 5, 5, 4, 5, 0, 4, 0, 3, 2, 3, 3, 0, 3, 3, 5, 5, 5, 4, 3, 1, 4, 5, 1, 2, 2, 0, 0, 0, 2, 0, 0, 4, 0, 4, 3, 0, 0, 4, 4, 2, 0, 4, 4, 0, 4, 2, 2, 4, 5, 3, 3, 3, 3, 2, 5, 5, 5, 4, 4, 5, 5, 1, 5, 1, 1, 3, 5, 1, 1, 2, 1, 1, 1, 5, 3, 3, 3, 3, 1, 2, 1, 3, 3] 
