dagM39.txt 3_2x4.txt 0.3877551020408163 0.4 263.0 [6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 4, 6, 7, 7, 7, 6, 6, 7, 7, 6, 7, 6, 7, 6, 6, 7, 6, 4, 7, 4, 7, 4, 7, 7, 7, 6, 4, 7, 4, 4, 7, 7, 7, 4, 4, 4, 5, 5, 5, 5, 4, 5, 4, 4, 5, 5, 5, 5, 4, 5, 5, 4, 3, 3, 4, 5, 5, 5, 5, 5, 5, 5, 3, 3, 3, 2, 2, 2, 4, 3, 5, 3, 3, 1, 3, 3, 3, 2, 3, 3, 3, 2, 2, 2, 1, 1, 2, 3, 2, 3, 2, 1, 2, 2, 1, 2, 3, 3, 2, 0, 1, 2, 0, 1, 2, 0, 0, 0, 0, 2, 2, 2, 1, 1, 1, 0, 0, 2, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 2, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1] 
dagM39.txt 3_2x4.txt 0.4036281179138322 0.5 264.5 [2, 2, 3, 3, 3, 2, 3, 3, 3, 2, 2, 3, 3, 2, 3, 3, 3, 2, 2, 4, 2, 3, 2, 3, 3, 2, 3, 2, 4, 2, 4, 2, 4, 2, 3, 3, 2, 4, 2, 4, 4, 2, 3, 2, 4, 4, 4, 7, 7, 7, 4, 4, 7, 4, 4, 7, 7, 7, 7, 4, 7, 7, 4, 6, 7, 4, 6, 1, 7, 7, 7, 7, 7, 6, 1, 6, 7, 7, 1, 7, 6, 1, 6, 6, 1, 6, 1, 1, 7, 6, 6, 6, 6, 6, 1, 1, 1, 1, 6, 6, 1, 1, 1, 1, 6, 0, 1, 5, 6, 6, 1, 6, 6, 6, 0, 5, 1, 0, 0, 0, 0, 5, 5, 5, 5, 5, 0, 1, 5, 5, 0, 0, 0, 0, 0, 5, 6, 0, 0, 5, 5, 0, 0, 5, 0, 0, 0, 5, 0, 5] 
dagM39.txt 3_2x4.txt 0.4036281179138322 0.45 264.5 [2, 2, 3, 3, 3, 2, 3, 3, 3, 2, 2, 3, 3, 2, 3, 3, 3, 2, 2, 4, 2, 3, 2, 3, 3, 2, 3, 2, 4, 2, 4, 2, 4, 2, 3, 3, 2, 4, 2, 4, 4, 2, 3, 2, 4, 4, 4, 7, 7, 7, 4, 4, 7, 4, 4, 7, 7, 7, 7, 4, 7, 7, 4, 6, 7, 4, 6, 1, 7, 7, 7, 7, 7, 6, 1, 6, 7, 7, 1, 7, 6, 1, 6, 6, 1, 6, 1, 1, 7, 6, 6, 6, 6, 6, 1, 1, 1, 1, 6, 6, 1, 1, 1, 1, 6, 0, 1, 5, 6, 6, 1, 6, 6, 6, 0, 5, 1, 0, 0, 0, 0, 5, 5, 5, 5, 5, 0, 1, 5, 5, 0, 0, 0, 0, 0, 5, 6, 0, 0, 5, 5, 0, 0, 5, 0, 0, 0, 5, 0, 5] 
dagM39.txt 3_2x4.txt 0.4036281179138322 0.6 264.5 [2, 2, 3, 3, 3, 2, 3, 3, 3, 2, 2, 3, 3, 2, 3, 3, 3, 2, 2, 4, 2, 3, 2, 3, 3, 2, 3, 2, 4, 2, 4, 2, 4, 2, 3, 3, 2, 4, 2, 4, 4, 2, 3, 2, 4, 4, 4, 7, 7, 7, 4, 4, 7, 4, 4, 7, 7, 7, 7, 4, 7, 7, 4, 6, 7, 4, 6, 1, 7, 7, 7, 7, 7, 6, 1, 6, 7, 7, 1, 7, 6, 1, 6, 6, 1, 6, 1, 1, 7, 6, 6, 6, 6, 6, 1, 1, 1, 1, 6, 6, 1, 1, 1, 1, 6, 0, 1, 5, 6, 6, 1, 6, 6, 6, 0, 5, 1, 0, 0, 0, 0, 5, 5, 5, 5, 5, 0, 1, 5, 5, 0, 0, 0, 0, 0, 5, 6, 0, 0, 5, 5, 0, 0, 5, 0, 0, 0, 5, 0, 5] 
dagM39.txt 3_2x4.txt 0.4036281179138322 0.55 264.5 [2, 2, 3, 3, 3, 2, 3, 3, 3, 2, 2, 3, 3, 2, 3, 3, 3, 2, 2, 4, 2, 3, 2, 3, 3, 2, 3, 2, 4, 2, 4, 2, 4, 2, 3, 3, 2, 4, 2, 4, 4, 2, 3, 2, 4, 4, 4, 7, 7, 7, 4, 4, 7, 4, 4, 7, 7, 7, 7, 4, 7, 7, 4, 6, 7, 4, 6, 1, 7, 7, 7, 7, 7, 6, 1, 6, 7, 7, 1, 7, 6, 1, 6, 6, 1, 6, 1, 1, 7, 6, 6, 6, 6, 6, 1, 1, 1, 1, 6, 6, 1, 1, 1, 1, 6, 0, 1, 5, 6, 6, 1, 6, 6, 6, 0, 5, 1, 0, 0, 0, 0, 5, 5, 5, 5, 5, 0, 1, 5, 5, 0, 0, 0, 0, 0, 5, 6, 0, 0, 5, 5, 0, 0, 5, 0, 0, 0, 5, 0, 5] 
dagM39.txt 3_2x4.txt 0.4036281179138322 0.7 264.5 [2, 2, 3, 3, 3, 2, 3, 3, 3, 2, 2, 3, 3, 2, 3, 3, 3, 2, 2, 4, 2, 3, 2, 3, 3, 2, 3, 2, 4, 2, 4, 2, 4, 2, 3, 3, 2, 4, 2, 4, 4, 2, 3, 2, 4, 4, 4, 7, 7, 7, 4, 4, 7, 4, 4, 7, 7, 7, 7, 4, 7, 7, 4, 6, 7, 4, 6, 1, 7, 7, 7, 7, 7, 6, 1, 6, 7, 7, 1, 7, 6, 1, 6, 6, 1, 6, 1, 1, 7, 6, 6, 6, 6, 6, 1, 1, 1, 1, 6, 6, 1, 1, 1, 1, 6, 0, 1, 5, 6, 6, 1, 6, 6, 6, 0, 5, 1, 0, 0, 0, 0, 5, 5, 5, 5, 5, 0, 1, 5, 5, 0, 0, 0, 0, 0, 5, 6, 0, 0, 5, 5, 0, 0, 5, 0, 0, 0, 5, 0, 5] 
dagM39.txt 3_2x4.txt 0.3786848072562358 0.65 265.0 [7, 7, 7, 7, 7, 1, 7, 7, 1, 7, 7, 7, 7, 1, 1, 1, 7, 7, 1, 1, 7, 1, 7, 1, 7, 1, 1, 7, 5, 1, 5, 5, 7, 1, 0, 5, 5, 1, 1, 5, 5, 1, 0, 1, 5, 5, 5, 0, 0, 0, 5, 5, 0, 5, 5, 0, 0, 1, 0, 5, 0, 0, 0, 4, 0, 5, 6, 6, 0, 0, 0, 0, 0, 4, 6, 4, 0, 6, 4, 5, 4, 6, 4, 4, 6, 4, 4, 4, 0, 4, 4, 4, 4, 6, 6, 6, 6, 6, 3, 4, 4, 6, 6, 3, 3, 6, 6, 4, 4, 3, 6, 2, 3, 3, 6, 2, 6, 6, 2, 3, 3, 3, 3, 4, 2, 2, 3, 6, 2, 2, 2, 2, 3, 2, 3, 2, 2, 3, 3, 3, 3, 3, 2, 3, 2, 2, 3, 2, 2, 3] 
dagM39.txt 3_2x4.txt 0.4036281179138322 0.9 264.5 [2, 2, 3, 3, 3, 2, 3, 3, 3, 2, 2, 3, 3, 2, 3, 3, 3, 2, 2, 4, 2, 3, 2, 3, 3, 2, 3, 2, 4, 2, 4, 2, 4, 2, 3, 3, 2, 4, 2, 4, 4, 2, 3, 2, 4, 4, 4, 7, 7, 7, 4, 4, 7, 4, 4, 7, 7, 7, 7, 4, 7, 7, 4, 6, 7, 4, 6, 1, 7, 7, 7, 7, 7, 6, 1, 6, 7, 7, 1, 7, 6, 1, 6, 6, 1, 6, 1, 1, 7, 6, 6, 6, 6, 6, 1, 1, 1, 1, 6, 6, 1, 1, 1, 1, 6, 0, 1, 5, 6, 6, 1, 6, 6, 6, 0, 5, 1, 0, 0, 0, 0, 5, 5, 5, 5, 5, 0, 1, 5, 5, 0, 0, 0, 0, 0, 5, 6, 0, 0, 5, 5, 0, 0, 5, 0, 0, 0, 5, 0, 5] 
dagM39.txt 3_2x4.txt 0.4036281179138322 0.8 264.5 [2, 2, 3, 3, 3, 2, 3, 3, 3, 2, 2, 3, 3, 2, 3, 3, 3, 2, 2, 4, 2, 3, 2, 3, 3, 2, 3, 2, 4, 2, 4, 2, 4, 2, 3, 3, 2, 4, 2, 4, 4, 2, 3, 2, 4, 4, 4, 7, 7, 7, 4, 4, 7, 4, 4, 7, 7, 7, 7, 4, 7, 7, 4, 6, 7, 4, 6, 1, 7, 7, 7, 7, 7, 6, 1, 6, 7, 7, 1, 7, 6, 1, 6, 6, 1, 6, 1, 1, 7, 6, 6, 6, 6, 6, 1, 1, 1, 1, 6, 6, 1, 1, 1, 1, 6, 0, 1, 5, 6, 6, 1, 6, 6, 6, 0, 5, 1, 0, 0, 0, 0, 5, 5, 5, 5, 5, 0, 1, 5, 5, 0, 0, 0, 0, 0, 5, 6, 0, 0, 5, 5, 0, 0, 5, 0, 0, 0, 5, 0, 5] 
dagM39.txt 3_2x4.txt 0.3832199546485261 1 264.0 [7, 7, 7, 7, 7, 6, 7, 7, 6, 7, 7, 7, 7, 6, 6, 6, 7, 7, 6, 6, 7, 6, 7, 6, 7, 6, 6, 7, 4, 6, 2, 4, 7, 6, 2, 4, 7, 6, 6, 4, 4, 6, 4, 6, 4, 4, 4, 2, 2, 2, 2, 4, 2, 4, 4, 2, 2, 6, 2, 4, 2, 2, 4, 5, 2, 4, 5, 1, 2, 2, 2, 2, 2, 5, 1, 5, 2, 5, 1, 4, 5, 1, 4, 5, 1, 5, 5, 5, 1, 5, 5, 5, 5, 5, 5, 1, 1, 1, 5, 1, 5, 1, 1, 1, 5, 1, 1, 3, 5, 3, 5, 3, 0, 5, 1, 1, 5, 0, 0, 0, 0, 3, 3, 0, 3, 3, 0, 1, 3, 3, 0, 0, 0, 0, 0, 3, 3, 0, 0, 3, 3, 0, 3, 3, 0, 0, 3, 3, 0, 0] 
