dagE9.txt 3_2x4.txt 0.52 0.6 123.0 [4, 4, 6, 6, 4, 4, 4, 3, 6, 5, 3, 4, 4, 4, 2, 3, 4, 2, 4, 3, 3, 3, 5, 5, 0, 3, 2, 1, 3, 6, 2, 6, 3, 2, 2, 6, 3, 5, 7, 7, 7, 2, 5, 1, 0, 6, 1, 5, 1, 7, 5, 7, 2, 0, 1, 1, 7, 0, 0, 7, 0, 5, 1, 7, 1, 0, 2, 1, 1, 0] 
dagE9.txt 3_2x4.txt 0.52 0.9 123.0 [4, 4, 6, 6, 4, 4, 4, 3, 6, 5, 3, 4, 4, 4, 2, 3, 4, 2, 4, 3, 3, 3, 5, 5, 0, 3, 2, 1, 3, 6, 2, 6, 3, 2, 2, 6, 3, 5, 7, 7, 7, 2, 5, 1, 0, 6, 1, 5, 1, 7, 5, 7, 2, 0, 1, 1, 7, 0, 0, 7, 0, 5, 1, 7, 1, 0, 2, 1, 1, 0] 
dagE9.txt 3_2x4.txt 0.52 0.65 123.0 [4, 4, 6, 6, 4, 4, 4, 3, 6, 5, 3, 4, 4, 4, 2, 3, 4, 2, 4, 3, 3, 3, 5, 5, 0, 3, 2, 1, 3, 6, 2, 6, 3, 2, 2, 6, 3, 5, 7, 7, 7, 2, 5, 1, 0, 6, 1, 5, 1, 7, 5, 7, 2, 0, 1, 1, 7, 0, 0, 7, 0, 5, 1, 7, 1, 0, 2, 1, 1, 0] 
dagE9.txt 3_2x4.txt 0.52 0.7 123.0 [4, 4, 6, 6, 4, 4, 4, 3, 6, 5, 3, 4, 4, 4, 2, 3, 4, 2, 4, 3, 3, 3, 5, 5, 0, 3, 2, 1, 3, 6, 2, 6, 3, 2, 2, 6, 3, 5, 7, 7, 7, 2, 5, 1, 0, 6, 1, 5, 1, 7, 5, 7, 2, 0, 1, 1, 7, 0, 0, 7, 0, 5, 1, 7, 1, 0, 2, 1, 1, 0] 
dagE9.txt 3_2x4.txt 0.52 1 123.0 [4, 4, 6, 6, 4, 4, 4, 3, 6, 5, 3, 4, 4, 4, 2, 3, 4, 2, 4, 3, 3, 3, 5, 5, 0, 3, 2, 1, 3, 6, 2, 6, 3, 2, 2, 6, 3, 5, 7, 7, 7, 2, 5, 1, 0, 6, 1, 5, 1, 7, 5, 7, 2, 0, 1, 1, 7, 0, 0, 7, 0, 5, 1, 7, 1, 0, 2, 1, 1, 0] 
dagE9.txt 3_2x4.txt 0.52 0.8 123.0 [4, 4, 6, 6, 4, 4, 4, 3, 6, 5, 3, 4, 4, 4, 2, 3, 4, 2, 4, 3, 3, 3, 5, 5, 0, 3, 2, 1, 3, 6, 2, 6, 3, 2, 2, 6, 3, 5, 7, 7, 7, 2, 5, 1, 0, 6, 1, 5, 1, 7, 5, 7, 2, 0, 1, 1, 7, 0, 0, 7, 0, 5, 1, 7, 1, 0, 2, 1, 1, 0] 
dagE9.txt 3_2x4.txt 0.4 0.4 207.0 [2, 2, 3, 4, 4, 2, 5, 2, 4, 4, 2, 2, 4, 2, 5, 2, 2, 6, 2, 2, 2, 2, 2, 2, 1, 2, 4, 6, 2, 2, 5, 3, 2, 0, 5, 3, 2, 2, 0, 0, 0, 0, 2, 6, 1, 2, 7, 0, 6, 0, 0, 0, 0, 0, 0, 6, 0, 1, 0, 0, 0, 0, 6, 0, 7, 0, 0, 6, 7, 0] 
dagE9.txt 3_2x4.txt 0.23 0.3 417.0 [4, 0, 0, 4, 4, 0, 4, 0, 6, 0, 0, 0, 4, 0, 0, 4, 0, 0, 4, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2, 0, 0, 2, 0, 2, 2, 0, 0, 2, 0, 0, 0, 2, 2, 2, 2, 2, 0, 0, 0, 2, 0, 0, 0, 2] 
dagE9.txt 3_2x4.txt 0.5 0.5 122.0 [2, 2, 3, 3, 4, 2, 0, 4, 3, 0, 4, 2, 2, 2, 0, 2, 2, 7, 2, 4, 4, 4, 3, 0, 7, 4, 0, 6, 2, 3, 7, 3, 4, 0, 7, 3, 4, 0, 5, 5, 5, 0, 4, 6, 7, 4, 6, 1, 6, 5, 1, 5, 0, 1, 6, 6, 7, 7, 1, 5, 1, 1, 6, 5, 6, 1, 5, 6, 6, 1] 
dagE9.txt 3_2x4.txt 0.09 0.2 584.0 [0, 0, 0, 2, 2, 0, 2, 0, 2, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 
