dagA2.txt 3_2x4.txt 0.6025641025641025 0.7 87.0 [5, 3, 0, 3, 6, 6, 2, 2, 1, 2, 0, 5, 0, 6, 3, 4, 1, 5, 2, 1, 2, 2, 0, 6, 3, 0, 7, 4, 4, 4, 1, 5, 3, 7, 5, 0, 0, 2, 5, 6, 7, 1, 0, 6, 1, 7, 4, 2, 7, 4] 
dagA2.txt 3_2x4.txt 0.6025641025641025 0.9 87.0 [5, 3, 0, 3, 6, 6, 2, 2, 1, 2, 0, 5, 0, 6, 3, 4, 1, 5, 2, 1, 2, 2, 0, 6, 3, 0, 7, 4, 4, 4, 1, 5, 3, 7, 5, 0, 0, 2, 5, 6, 7, 1, 0, 6, 1, 7, 4, 2, 7, 4] 
dagA2.txt 3_2x4.txt 0.6025641025641025 0.8 87.0 [5, 3, 0, 3, 6, 6, 2, 2, 1, 2, 0, 5, 0, 6, 3, 4, 1, 5, 2, 1, 2, 2, 0, 6, 3, 0, 7, 4, 4, 4, 1, 5, 3, 7, 5, 0, 0, 2, 5, 6, 7, 1, 0, 6, 1, 7, 4, 2, 7, 4] 
dagA2.txt 3_2x4.txt 0.6025641025641025 1 87.0 [5, 3, 0, 3, 6, 6, 2, 2, 1, 2, 0, 5, 0, 6, 3, 4, 1, 5, 2, 1, 2, 2, 0, 6, 3, 0, 7, 4, 4, 4, 1, 5, 3, 7, 5, 0, 0, 2, 5, 6, 7, 1, 0, 6, 1, 7, 4, 2, 7, 4] 
dagA2.txt 3_2x4.txt 0.0641025641025641 0.1 412.3333333333333 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2] 
dagA2.txt 3_2x4.txt 0.0641025641025641 0.2 412.3333333333333 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2] 
dagA2.txt 3_2x4.txt 0.5961538461538461 0.6 83.5 [4, 4, 1, 2, 1, 1, 0, 0, 6, 0, 1, 4, 2, 1, 1, 7, 5, 0, 0, 3, 0, 0, 1, 5, 4, 2, 2, 7, 7, 6, 5, 3, 4, 3, 6, 2, 2, 0, 2, 6, 3, 5, 2, 5, 5, 6, 7, 0, 3, 7] 
dagA2.txt 3_2x4.txt 0.3333333333333333 0.4 234.33333333333334 [0, 0, 0, 0, 2, 2, 4, 0, 0, 0, 0, 0, 2, 2, 2, 2, 0, 0, 0, 2, 0, 2, 0, 2, 0, 0, 4, 4, 0, 4, 0, 4, 0, 4, 4, 0, 0, 0, 0, 2, 4, 0, 2, 2, 0, 4, 2, 0, 4, 2] 
dagA2.txt 3_2x4.txt 0.25 0.3 293.6666666666667 [0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 4, 6, 6, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 2, 0, 2, 0, 2, 0, 2, 0, 0, 0, 0, 0, 4, 2, 0, 0, 4, 0, 2, 4, 0, 2, 4] 
dagA2.txt 3_2x4.txt 0.6025641025641025 0.65 87.0 [5, 3, 0, 3, 6, 6, 2, 2, 1, 2, 0, 5, 0, 6, 3, 4, 1, 5, 2, 1, 2, 2, 0, 6, 3, 0, 7, 4, 4, 4, 1, 5, 3, 7, 5, 0, 0, 2, 5, 6, 7, 1, 0, 6, 1, 7, 4, 2, 7, 4] 
dagA2.txt 3_2x4.txt 0.4935897435897436 0.5 117.33333333333333 [2, 0, 0, 0, 4, 2, 3, 2, 0, 2, 2, 2, 0, 4, 4, 6, 5, 2, 2, 4, 2, 2, 0, 4, 0, 0, 1, 6, 6, 3, 5, 2, 0, 1, 2, 0, 0, 3, 2, 4, 1, 5, 0, 4, 5, 3, 6, 2, 1, 6] 
dagA2.txt 5_4_3_2x2.txt 0.6025641025641025 0.7 82.0 [3, 6, 0, 6, 5, 5, 4, 4, 2, 4, 0, 3, 0, 5, 6, 1, 2, 3, 4, 2, 4, 4, 0, 5, 6, 0, 7, 1, 1, 1, 2, 3, 6, 7, 3, 0, 0, 4, 3, 5, 7, 2, 0, 5, 2, 7, 1, 4, 7, 1] 
dagA2.txt 5_4_3_2x2.txt 0.6025641025641025 0.8 82.0 [3, 6, 0, 6, 5, 5, 4, 4, 2, 4, 0, 3, 0, 5, 6, 1, 2, 3, 4, 2, 4, 4, 0, 5, 6, 0, 7, 1, 1, 1, 2, 3, 6, 7, 3, 0, 0, 4, 3, 5, 7, 2, 0, 5, 2, 7, 1, 4, 7, 1] 
dagA2.txt 5_4_3_2x2.txt 0.0641025641025641 0.1 247.4 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 4] 
dagA2.txt 5_4_3_2x2.txt 0.6025641025641025 0.9 82.0 [3, 6, 0, 6, 5, 5, 4, 4, 2, 4, 0, 3, 0, 5, 6, 1, 2, 3, 4, 2, 4, 4, 0, 5, 6, 0, 7, 1, 1, 1, 2, 3, 6, 7, 3, 0, 0, 4, 3, 5, 7, 2, 0, 5, 2, 7, 1, 4, 7, 1] 
dagA2.txt 5_4_3_2x2.txt 0.0641025641025641 0.2 247.4 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 4] 
