dagL15.txt 3_2x4.txt 0.42093023255813955 0.5 261.0 [0, 0, 0, 5, 0, 0, 0, 0, 5, 5, 0, 0, 5, 0, 0, 0, 5, 5, 5, 0, 4, 0, 5, 5, 2, 5, 0, 5, 5, 5, 0, 2, 2, 5, 4, 2, 2, 2, 2, 5, 2, 2, 4, 2, 4, 2, 2, 4, 2, 2, 2, 2, 2, 2, 4, 4, 2, 4, 4, 7, 4, 2, 3, 4, 7, 4, 4, 7, 4, 2, 4, 7, 7, 7, 7, 7, 3, 7, 7, 7, 3, 7, 3, 3, 3, 7, 7, 4, 7, 7, 3, 7, 3, 3, 7, 3, 3, 3, 7, 3, 3, 1, 1, 3, 6, 3, 3, 6, 7, 1, 1, 1, 6, 1, 6, 1, 6, 6, 6, 6, 1, 1, 1, 1, 1, 6, 6, 6, 6, 6, 1, 6, 6, 6, 1, 1, 6, 6, 1, 6] 
dagL15.txt 3_2x4.txt 0.42093023255813955 0.55 261.0 [0, 0, 0, 5, 0, 0, 0, 0, 5, 5, 0, 0, 5, 0, 0, 0, 5, 5, 5, 0, 4, 0, 5, 5, 2, 5, 0, 5, 5, 5, 0, 2, 2, 5, 4, 2, 2, 2, 2, 5, 2, 2, 4, 2, 4, 2, 2, 4, 2, 2, 2, 2, 2, 2, 4, 4, 2, 4, 4, 7, 4, 2, 3, 4, 7, 4, 4, 7, 4, 2, 4, 7, 7, 7, 7, 7, 3, 7, 7, 7, 3, 7, 3, 3, 3, 7, 7, 4, 7, 7, 3, 7, 3, 3, 7, 3, 3, 3, 7, 3, 3, 1, 1, 3, 6, 3, 3, 6, 7, 1, 1, 1, 6, 1, 6, 1, 6, 6, 6, 6, 1, 1, 1, 1, 1, 6, 6, 6, 6, 6, 1, 6, 6, 6, 1, 1, 6, 6, 1, 6] 
dagL15.txt 3_2x4.txt 0.4232558139534884 0.6 261.0 [3, 2, 2, 2, 2, 3, 2, 3, 2, 2, 2, 3, 3, 3, 2, 2, 2, 3, 3, 2, 2, 2, 2, 3, 1, 0, 2, 3, 2, 3, 3, 1, 1, 3, 3, 1, 1, 1, 1, 3, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 7, 0, 1, 5, 0, 7, 7, 0, 7, 0, 0, 0, 7, 5, 7, 7, 0, 5, 7, 7, 7, 5, 0, 7, 5, 5, 5, 7, 7, 7, 7, 7, 5, 5, 7, 5, 5, 7, 5, 5, 5, 5, 4, 6, 5, 4, 7, 5, 4, 5, 6, 6, 4, 6, 6, 4, 6, 4, 4, 4, 4, 6, 6, 6, 6, 6, 6, 4, 4, 4, 4, 6, 4, 4, 6, 6, 6, 4, 4, 6, 6] 
dagL15.txt 3_2x4.txt 0.43023255813953487 0.7 261.0 [3, 2, 2, 3, 2, 3, 2, 3, 2, 2, 2, 3, 3, 3, 3, 2, 3, 3, 2, 3, 2, 2, 2, 3, 6, 5, 2, 3, 2, 2, 2, 6, 6, 3, 2, 6, 6, 6, 6, 2, 6, 6, 5, 6, 5, 5, 6, 6, 6, 6, 6, 6, 0, 5, 5, 5, 6, 5, 5, 0, 5, 6, 7, 5, 0, 6, 5, 0, 5, 5, 5, 0, 0, 0, 0, 0, 7, 0, 0, 0, 7, 0, 7, 7, 7, 0, 0, 5, 0, 0, 7, 0, 7, 7, 0, 7, 7, 7, 0, 7, 7, 1, 4, 7, 1, 7, 7, 1, 0, 4, 4, 1, 4, 4, 1, 4, 1, 4, 1, 4, 4, 4, 4, 4, 4, 4, 1, 1, 1, 1, 4, 1, 1, 1, 4, 4, 1, 1, 4, 1] 
dagL15.txt 3_2x4.txt 0.4232558139534884 0.9 261.0 [3, 2, 2, 2, 2, 3, 2, 3, 2, 2, 2, 3, 3, 3, 2, 2, 2, 3, 3, 2, 2, 2, 2, 3, 1, 0, 2, 3, 2, 3, 3, 1, 1, 3, 3, 1, 1, 1, 1, 3, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 7, 0, 1, 5, 0, 7, 7, 0, 7, 0, 0, 0, 7, 5, 7, 7, 0, 5, 7, 7, 7, 5, 0, 7, 5, 5, 5, 7, 7, 7, 7, 7, 5, 5, 7, 5, 5, 7, 5, 5, 5, 5, 4, 6, 5, 4, 7, 5, 4, 5, 6, 6, 4, 6, 6, 4, 6, 4, 4, 4, 4, 6, 6, 6, 6, 6, 6, 4, 4, 4, 4, 6, 4, 4, 6, 6, 6, 4, 4, 6, 6] 
dagL15.txt 3_2x4.txt 0.42093023255813955 0.65 261.0 [0, 0, 0, 5, 0, 0, 0, 0, 5, 5, 0, 0, 5, 0, 0, 0, 5, 5, 5, 0, 4, 0, 5, 5, 2, 5, 0, 5, 5, 5, 0, 2, 2, 5, 4, 2, 2, 2, 2, 5, 2, 2, 4, 2, 4, 2, 2, 4, 2, 2, 2, 2, 2, 2, 4, 4, 2, 4, 4, 7, 4, 2, 3, 4, 7, 4, 4, 7, 4, 2, 4, 7, 7, 7, 7, 7, 3, 7, 7, 7, 3, 7, 3, 3, 3, 7, 7, 4, 7, 7, 3, 7, 3, 3, 7, 3, 3, 3, 7, 3, 3, 1, 1, 3, 6, 3, 3, 6, 7, 1, 1, 1, 6, 1, 6, 1, 6, 6, 6, 6, 1, 1, 1, 1, 1, 6, 6, 6, 6, 6, 1, 6, 6, 6, 1, 1, 6, 6, 1, 6] 
dagL15.txt 3_2x4.txt 0.42093023255813955 0.8 261.0 [0, 0, 0, 5, 0, 0, 0, 0, 5, 5, 0, 0, 5, 0, 0, 0, 5, 5, 5, 0, 4, 0, 5, 5, 2, 5, 0, 5, 5, 5, 0, 2, 2, 5, 4, 2, 2, 2, 2, 5, 2, 2, 4, 2, 4, 2, 2, 4, 2, 2, 2, 2, 2, 2, 4, 4, 2, 4, 4, 7, 4, 2, 3, 4, 7, 4, 4, 7, 4, 2, 4, 7, 7, 7, 7, 7, 3, 7, 7, 7, 3, 7, 3, 3, 3, 7, 7, 4, 7, 7, 3, 7, 3, 3, 7, 3, 3, 3, 7, 3, 3, 1, 1, 3, 6, 3, 3, 6, 7, 1, 1, 1, 6, 1, 6, 1, 6, 6, 6, 6, 1, 1, 1, 1, 1, 6, 6, 6, 6, 6, 1, 6, 6, 6, 1, 1, 6, 6, 1, 6] 
dagL15.txt 3_2x4.txt 0.42093023255813955 1 261.0 [0, 0, 0, 5, 0, 0, 0, 0, 5, 5, 0, 0, 5, 0, 0, 0, 5, 5, 5, 0, 4, 0, 5, 5, 2, 5, 0, 5, 5, 5, 0, 2, 2, 5, 4, 2, 2, 2, 2, 5, 2, 2, 4, 2, 4, 2, 2, 4, 2, 2, 2, 2, 2, 2, 4, 4, 2, 4, 4, 7, 4, 2, 3, 4, 7, 4, 4, 7, 4, 2, 4, 7, 7, 7, 7, 7, 3, 7, 7, 7, 3, 7, 3, 3, 3, 7, 7, 4, 7, 7, 3, 7, 3, 3, 7, 3, 3, 3, 7, 3, 3, 1, 1, 3, 6, 3, 3, 6, 7, 1, 1, 1, 6, 1, 6, 1, 6, 6, 6, 6, 1, 1, 1, 1, 1, 6, 6, 6, 6, 6, 1, 6, 6, 6, 1, 1, 6, 6, 1, 6] 
dagL15.txt 5_4_3_2x2.txt 0.4232558139534884 0.5 260.0 [6, 4, 4, 4, 4, 6, 4, 6, 4, 4, 4, 6, 6, 6, 4, 4, 4, 6, 6, 4, 4, 4, 4, 6, 2, 0, 4, 6, 4, 6, 6, 2, 2, 6, 6, 2, 2, 2, 2, 6, 2, 2, 0, 2, 0, 0, 2, 2, 2, 2, 2, 2, 2, 0, 0, 0, 2, 0, 0, 7, 0, 2, 3, 0, 7, 7, 0, 7, 0, 0, 0, 7, 3, 7, 7, 0, 3, 7, 7, 7, 3, 0, 7, 3, 3, 3, 7, 7, 7, 7, 7, 3, 3, 7, 3, 3, 7, 3, 3, 3, 3, 1, 5, 3, 1, 7, 3, 1, 3, 5, 5, 1, 5, 5, 1, 5, 1, 1, 1, 1, 5, 5, 5, 5, 5, 5, 1, 1, 1, 1, 5, 1, 1, 5, 5, 5, 1, 1, 5, 5] 
dagL15.txt 5_4_3_2x2.txt 0.43023255813953487 0.6 259.0 [6, 4, 4, 6, 4, 6, 4, 6, 4, 4, 4, 6, 6, 6, 6, 4, 6, 6, 4, 6, 4, 4, 4, 6, 5, 3, 4, 6, 4, 4, 4, 5, 5, 6, 4, 5, 5, 5, 5, 4, 5, 5, 3, 5, 3, 3, 5, 5, 5, 5, 5, 5, 0, 3, 3, 3, 5, 3, 3, 0, 3, 5, 7, 3, 0, 5, 3, 0, 3, 3, 3, 0, 0, 0, 0, 0, 7, 0, 0, 0, 7, 0, 7, 7, 7, 0, 0, 3, 0, 0, 7, 0, 7, 7, 0, 7, 7, 7, 0, 7, 7, 2, 1, 7, 2, 7, 7, 2, 0, 1, 1, 2, 1, 1, 2, 1, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 1, 2, 2, 2, 1, 1, 2, 2, 1, 2] 
