dagH52.txt 3_2x4.txt 0.5056603773584906 0.6 167.0 [7, 7, 1, 1, 1, 1, 2, 1, 2, 1, 1, 3, 7, 2, 7, 0, 1, 7, 2, 1, 0, 7, 0, 2, 2, 0, 2, 7, 2, 7, 0, 1, 2, 5, 0, 0, 1, 2, 5, 4, 7, 3, 4, 3, 6, 0, 0, 3, 5, 3, 4, 5, 5, 5, 6, 6, 3, 3, 4, 3, 3, 5, 3, 4, 6, 0, 4, 6, 5, 5, 4, 6, 5, 5, 3, 5, 4, 0, 6, 6, 4, 4, 6, 5, 6] 
dagH52.txt 3_2x4.txt 0.5056603773584906 0.7 167.0 [7, 7, 1, 1, 1, 1, 2, 1, 2, 1, 1, 3, 7, 2, 7, 0, 1, 7, 2, 1, 0, 7, 0, 2, 2, 0, 2, 7, 2, 7, 0, 1, 2, 5, 0, 0, 1, 2, 5, 4, 7, 3, 4, 3, 6, 0, 0, 3, 5, 3, 4, 5, 5, 5, 6, 6, 3, 3, 4, 3, 3, 5, 3, 4, 6, 0, 4, 6, 5, 5, 4, 6, 5, 5, 3, 5, 4, 0, 6, 6, 4, 4, 6, 5, 6] 
dagH52.txt 3_2x4.txt 0.5056603773584906 0.9 167.0 [7, 7, 1, 1, 1, 1, 2, 1, 2, 1, 1, 3, 7, 2, 7, 0, 1, 7, 2, 1, 0, 7, 0, 2, 2, 0, 2, 7, 2, 7, 0, 1, 2, 5, 0, 0, 1, 2, 5, 4, 7, 3, 4, 3, 6, 0, 0, 3, 5, 3, 4, 5, 5, 5, 6, 6, 3, 3, 4, 3, 3, 5, 3, 4, 6, 0, 4, 6, 5, 5, 4, 6, 5, 5, 3, 5, 4, 0, 6, 6, 4, 4, 6, 5, 6] 
dagH52.txt 3_2x4.txt 0.5056603773584906 0.65 167.0 [7, 7, 1, 1, 1, 1, 2, 1, 2, 1, 1, 3, 7, 2, 7, 0, 1, 7, 2, 1, 0, 7, 0, 2, 2, 0, 2, 7, 2, 7, 0, 1, 2, 5, 0, 0, 1, 2, 5, 4, 7, 3, 4, 3, 6, 0, 0, 3, 5, 3, 4, 5, 5, 5, 6, 6, 3, 3, 4, 3, 3, 5, 3, 4, 6, 0, 4, 6, 5, 5, 4, 6, 5, 5, 3, 5, 4, 0, 6, 6, 4, 4, 6, 5, 6] 
dagH52.txt 3_2x4.txt 0.5056603773584906 0.8 167.0 [7, 7, 1, 1, 1, 1, 2, 1, 2, 1, 1, 3, 7, 2, 7, 0, 1, 7, 2, 1, 0, 7, 0, 2, 2, 0, 2, 7, 2, 7, 0, 1, 2, 5, 0, 0, 1, 2, 5, 4, 7, 3, 4, 3, 6, 0, 0, 3, 5, 3, 4, 5, 5, 5, 6, 6, 3, 3, 4, 3, 3, 5, 3, 4, 6, 0, 4, 6, 5, 5, 4, 6, 5, 5, 3, 5, 4, 0, 6, 6, 4, 4, 6, 5, 6] 
dagH52.txt 3_2x4.txt 0.5056603773584906 1 167.0 [7, 7, 1, 1, 1, 1, 2, 1, 2, 1, 1, 3, 7, 2, 7, 0, 1, 7, 2, 1, 0, 7, 0, 2, 2, 0, 2, 7, 2, 7, 0, 1, 2, 5, 0, 0, 1, 2, 5, 4, 7, 3, 4, 3, 6, 0, 0, 3, 5, 3, 4, 5, 5, 5, 6, 6, 3, 3, 4, 3, 3, 5, 3, 4, 6, 0, 4, 6, 5, 5, 4, 6, 5, 5, 3, 5, 4, 0, 6, 6, 4, 4, 6, 5, 6] 
dagH52.txt 3_2x4.txt 0.4981132075471698 0.5 165.0 [0, 0, 4, 4, 4, 4, 6, 4, 6, 4, 4, 2, 0, 6, 0, 6, 4, 0, 6, 4, 1, 0, 1, 6, 6, 1, 6, 0, 6, 0, 1, 4, 2, 5, 1, 1, 4, 6, 6, 3, 0, 2, 3, 3, 5, 1, 1, 2, 7, 2, 2, 5, 5, 5, 5, 7, 0, 3, 3, 2, 2, 7, 2, 3, 5, 1, 3, 7, 5, 7, 3, 7, 5, 5, 2, 5, 3, 1, 7, 7, 2, 3, 7, 7, 7] 
dagH52.txt 3_2x4.txt 0.5056603773584906 0.55 167.0 [7, 7, 1, 1, 1, 1, 2, 1, 2, 1, 1, 3, 7, 2, 7, 0, 1, 7, 2, 1, 0, 7, 0, 2, 2, 0, 2, 7, 2, 7, 0, 1, 2, 5, 0, 0, 1, 2, 5, 4, 7, 3, 4, 3, 6, 0, 0, 3, 5, 3, 4, 5, 5, 5, 6, 6, 3, 3, 4, 3, 3, 5, 3, 4, 6, 0, 4, 6, 5, 5, 4, 6, 5, 5, 3, 5, 4, 0, 6, 6, 4, 4, 6, 5, 6] 
dagH52.txt 3_2x4.txt 0.0830188679245283 0.1 793.3333333333334 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 2, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 2, 2, 6, 4] 
dagH52.txt 5_4_3_2x2.txt 0.5056603773584906 0.6 166.5 [7, 7, 2, 2, 2, 2, 4, 2, 4, 2, 2, 6, 7, 4, 7, 0, 2, 7, 4, 2, 0, 7, 0, 4, 4, 0, 4, 7, 4, 7, 0, 2, 4, 3, 0, 0, 2, 4, 3, 1, 7, 6, 1, 6, 5, 0, 0, 6, 3, 6, 1, 3, 3, 3, 5, 5, 6, 6, 1, 6, 6, 3, 6, 1, 5, 0, 1, 5, 3, 3, 1, 5, 3, 3, 6, 3, 1, 0, 5, 5, 1, 1, 5, 3, 5] 
