dagB29.txt 3_2x4.txt 0.6172839506172839 0.7 100.0 [3, 6, 7, 6, 2, 7, 2, 2, 1, 1, 1, 3, 1, 3, 5, 0, 0, 6, 1, 1, 2, 7, 5, 4, 2, 0, 3, 4, 5, 0, 7, 4, 7, 0, 3, 2, 1, 5, 5, 3, 6, 5, 4, 4, 7, 2, 1, 4, 0, 2, 4, 7, 4, 6, 5] 
dagB29.txt 3_2x4.txt 0.6172839506172839 0.8 100.0 [3, 6, 7, 6, 2, 7, 2, 2, 1, 1, 1, 3, 1, 3, 5, 0, 0, 6, 1, 1, 2, 7, 5, 4, 2, 0, 3, 4, 5, 0, 7, 4, 7, 0, 3, 2, 1, 5, 5, 3, 6, 5, 4, 4, 7, 2, 1, 4, 0, 2, 4, 7, 4, 6, 5] 
dagB29.txt 3_2x4.txt 0.6172839506172839 0.9 100.0 [3, 6, 7, 6, 2, 7, 2, 2, 1, 1, 1, 3, 1, 3, 5, 0, 0, 6, 1, 1, 2, 7, 5, 4, 2, 0, 3, 4, 5, 0, 7, 4, 7, 0, 3, 2, 1, 5, 5, 3, 6, 5, 4, 4, 7, 2, 1, 4, 0, 2, 4, 7, 4, 6, 5] 
dagB29.txt 3_2x4.txt 0.6172839506172839 1 100.0 [3, 6, 7, 6, 2, 7, 2, 2, 1, 1, 1, 3, 1, 3, 5, 0, 0, 6, 1, 1, 2, 7, 5, 4, 2, 0, 3, 4, 5, 0, 7, 4, 7, 0, 3, 2, 1, 5, 5, 3, 6, 5, 4, 4, 7, 2, 1, 4, 0, 2, 4, 7, 4, 6, 5] 
dagB29.txt 3_2x4.txt 0.5925925925925926 0.6 99.5 [5, 0, 1, 4, 4, 1, 3, 4, 4, 2, 2, 7, 4, 7, 4, 0, 4, 0, 2, 2, 1, 2, 3, 3, 5, 0, 7, 1, 6, 6, 1, 1, 3, 0, 7, 4, 2, 3, 6, 0, 7, 3, 1, 2, 7, 5, 4, 1, 6, 5, 3, 7, 6, 5, 6] 
dagB29.txt 3_2x4.txt 0.6172839506172839 0.65 100.0 [3, 6, 7, 6, 2, 7, 2, 2, 1, 1, 1, 3, 1, 3, 5, 0, 0, 6, 1, 1, 2, 7, 5, 4, 2, 0, 3, 4, 5, 0, 7, 4, 7, 0, 3, 2, 1, 5, 5, 3, 6, 5, 4, 4, 7, 2, 1, 4, 0, 2, 4, 7, 4, 6, 5] 
dagB29.txt 3_2x4.txt 0.08024691358024691 0.1 468.0 [2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 2, 0, 0, 0] 
dagB29.txt 3_2x4.txt 0.08024691358024691 0.2 468.0 [2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 2, 0, 0, 0] 
dagB29.txt 3_2x4.txt 0.2962962962962963 0.3 270.3333333333333 [4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 4, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 4, 0, 0, 2, 0, 0, 0, 2, 6, 2, 0, 0, 2, 4, 6, 0, 0, 0, 4, 4, 0, 2, 2, 4, 0, 4, 2, 6, 2] 
dagB29.txt 3_2x4.txt 0.3888888888888889 0.4 201.66666666666666 [4, 2, 0, 0, 1, 0, 6, 0, 2, 0, 0, 2, 0, 4, 0, 2, 1, 2, 2, 0, 0, 0, 6, 0, 4, 2, 4, 0, 0, 2, 0, 0, 0, 1, 2, 2, 0, 0, 2, 2, 2, 6, 0, 0, 4, 4, 0, 0, 2, 4, 0, 4, 2, 2, 2] 
dagB29.txt 3_2x4.txt 0.48148148148148145 0.5 142.66666666666666 [3, 5, 4, 0, 0, 4, 4, 0, 0, 2, 2, 6, 0, 3, 0, 0, 0, 0, 6, 2, 4, 4, 2, 2, 1, 0, 0, 2, 2, 7, 4, 2, 4, 0, 0, 0, 0, 2, 5, 0, 6, 2, 2, 2, 3, 4, 0, 2, 7, 1, 2, 3, 2, 1, 5] 
dagB29.txt 5_4_3_2x2.txt 0.6172839506172839 0.7 95.5 [6, 5, 7, 5, 4, 7, 4, 4, 2, 2, 2, 6, 2, 6, 3, 0, 0, 5, 2, 2, 4, 7, 3, 1, 4, 0, 6, 1, 3, 0, 7, 1, 7, 0, 6, 4, 2, 3, 3, 6, 5, 3, 1, 1, 7, 4, 2, 1, 0, 4, 1, 7, 1, 5, 3] 
dagB29.txt 5_4_3_2x2.txt 0.6172839506172839 0.8 95.5 [6, 5, 7, 5, 4, 7, 4, 4, 2, 2, 2, 6, 2, 6, 3, 0, 0, 5, 2, 2, 4, 7, 3, 1, 4, 0, 6, 1, 3, 0, 7, 1, 7, 0, 6, 4, 2, 3, 3, 6, 5, 3, 1, 1, 7, 4, 2, 1, 0, 4, 1, 7, 1, 5, 3] 
dagB29.txt 5_4_3_2x2.txt 0.6172839506172839 0.9 95.5 [6, 5, 7, 5, 4, 7, 4, 4, 2, 2, 2, 6, 2, 6, 3, 0, 0, 5, 2, 2, 4, 7, 3, 1, 4, 0, 6, 1, 3, 0, 7, 1, 7, 0, 6, 4, 2, 3, 3, 6, 5, 3, 1, 1, 7, 4, 2, 1, 0, 4, 1, 7, 1, 5, 3] 
dagB29.txt 5_4_3_2x2.txt 0.5925925925925926 0.6 97.5 [3, 0, 2, 1, 1, 2, 6, 1, 1, 4, 4, 7, 1, 7, 1, 0, 1, 0, 4, 4, 2, 4, 6, 6, 3, 0, 7, 2, 5, 5, 2, 2, 6, 0, 7, 1, 4, 6, 5, 0, 7, 6, 2, 4, 7, 3, 1, 2, 5, 3, 6, 7, 5, 3, 5] 
