dagG48.txt 3_2x4.txt 0.5863453815261044 0.6 122.0 [0, 7, 2, 0, 6, 2, 7, 2, 2, 0, 2, 4, 0, 7, 2, 0, 2, 7, 7, 2, 6, 1, 7, 2, 0, 6, 6, 0, 0, 7, 5, 2, 6, 6, 2, 6, 1, 1, 0, 6, 6, 3, 6, 1, 6, 5, 4, 1, 5, 1, 5, 4, 0, 3, 1, 1, 4, 5, 5, 3, 4, 5, 4, 3, 1, 4, 1, 5, 3, 4, 3, 5, 3, 3, 4, 4, 4, 3, 4, 2] 
dagG48.txt 3_2x4.txt 0.5863453815261044 0.65 122.0 [0, 7, 2, 0, 6, 2, 7, 2, 2, 0, 2, 4, 0, 7, 2, 0, 2, 7, 7, 2, 6, 1, 7, 2, 0, 6, 6, 0, 0, 7, 5, 2, 6, 6, 2, 6, 1, 1, 0, 6, 6, 3, 6, 1, 6, 5, 4, 1, 5, 1, 5, 4, 0, 3, 1, 1, 4, 5, 5, 3, 4, 5, 4, 3, 1, 4, 1, 5, 3, 4, 3, 5, 3, 3, 4, 4, 4, 3, 4, 2] 
dagG48.txt 3_2x4.txt 0.5863453815261044 0.9 122.0 [0, 7, 2, 0, 6, 2, 7, 2, 2, 0, 2, 4, 0, 7, 2, 0, 2, 7, 7, 2, 6, 1, 7, 2, 0, 6, 6, 0, 0, 7, 5, 2, 6, 6, 2, 6, 1, 1, 0, 6, 6, 3, 6, 1, 6, 5, 4, 1, 5, 1, 5, 4, 0, 3, 1, 1, 4, 5, 5, 3, 4, 5, 4, 3, 1, 4, 1, 5, 3, 4, 3, 5, 3, 3, 4, 4, 4, 3, 4, 2] 
dagG48.txt 3_2x4.txt 0.5863453815261044 0.7 122.0 [0, 7, 2, 0, 6, 2, 7, 2, 2, 0, 2, 4, 0, 7, 2, 0, 2, 7, 7, 2, 6, 1, 7, 2, 0, 6, 6, 0, 0, 7, 5, 2, 6, 6, 2, 6, 1, 1, 0, 6, 6, 3, 6, 1, 6, 5, 4, 1, 5, 1, 5, 4, 0, 3, 1, 1, 4, 5, 5, 3, 4, 5, 4, 3, 1, 4, 1, 5, 3, 4, 3, 5, 3, 3, 4, 4, 4, 3, 4, 2] 
dagG48.txt 3_2x4.txt 0.5863453815261044 1 122.0 [0, 7, 2, 0, 6, 2, 7, 2, 2, 0, 2, 4, 0, 7, 2, 0, 2, 7, 7, 2, 6, 1, 7, 2, 0, 6, 6, 0, 0, 7, 5, 2, 6, 6, 2, 6, 1, 1, 0, 6, 6, 3, 6, 1, 6, 5, 4, 1, 5, 1, 5, 4, 0, 3, 1, 1, 4, 5, 5, 3, 4, 5, 4, 3, 1, 4, 1, 5, 3, 4, 3, 5, 3, 3, 4, 4, 4, 3, 4, 2] 
dagG48.txt 3_2x4.txt 0.5863453815261044 0.8 122.0 [0, 7, 2, 0, 6, 2, 7, 2, 2, 0, 2, 4, 0, 7, 2, 0, 2, 7, 7, 2, 6, 1, 7, 2, 0, 6, 6, 0, 0, 7, 5, 2, 6, 6, 2, 6, 1, 1, 0, 6, 6, 3, 6, 1, 6, 5, 4, 1, 5, 1, 5, 4, 0, 3, 1, 1, 4, 5, 5, 3, 4, 5, 4, 3, 1, 4, 1, 5, 3, 4, 3, 5, 3, 3, 4, 4, 4, 3, 4, 2] 
dagG48.txt 3_2x4.txt 0.060240963855421686 0.1 681.6666666666666 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 4, 0, 2, 0, 0, 2, 0, 0, 0, 2, 4, 0] 
dagG48.txt 3_2x4.txt 0.2971887550200803 0.3 351.3333333333333 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 4, 0, 2, 2, 2, 2, 0, 2, 0, 2, 0, 2, 2, 2, 0, 0, 4, 4, 2, 4, 4, 4, 4, 4, 4, 2, 4, 2, 4, 2, 2, 4, 4, 4, 2, 2, 2, 4, 4, 2, 4, 4, 4, 2, 2, 4] 
dagG48.txt 3_2x4.txt 0.1686746987951807 0.2 448.3333333333333 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 2, 2, 2, 2, 2, 2, 0, 2, 2, 2, 2, 0, 2, 2, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2] 
dagG48.txt 5_4_3_2x2.txt 0.060240963855421686 0.1 409.0 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 0, 4, 0, 0, 4, 0, 0, 0, 4, 1, 0] 
