dag8.txt 5_4_3_2x2.txt 0.40441176470588236 0.5 455475.2 [5, 1, 0, 4, 4, 4, 1, 4, 2, 7, 0, 4, 2, 5, 2, 0, 5, 0, 2, 0, 2, 4, 2, 5, 1, 0, 4, 2, 0, 0, 0, 5, 4, 5, 5, 2, 2, 2, 6, 4, 6, 6, 6, 7, 6, 4, 6, 4, 3, 4, 4, 5, 4, 6, 3, 5, 6, 0, 5, 0, 6, 0, 0, 1, 3, 2, 5, 0, 3, 4, 4, 0, 5, 1, 5, 5, 5, 4, 5, 7, 7, 0, 1, 1, 4, 1, 4, 3, 1, 6, 1, 4, 4] 
dag8.txt 5_4_3_2x2.txt 0.40441176470588236 0.55 455475.2 [5, 1, 0, 4, 4, 4, 1, 4, 2, 7, 0, 4, 2, 5, 2, 0, 5, 0, 2, 0, 2, 4, 2, 5, 1, 0, 4, 2, 0, 0, 0, 5, 4, 5, 5, 2, 2, 2, 6, 4, 6, 6, 6, 7, 6, 4, 6, 4, 3, 4, 4, 5, 4, 6, 3, 5, 6, 0, 5, 0, 6, 0, 0, 1, 3, 2, 5, 0, 3, 4, 4, 0, 5, 1, 5, 5, 5, 4, 5, 7, 7, 0, 1, 1, 4, 1, 4, 3, 1, 6, 1, 4, 4] 
dag8.txt 3_2x4.txt 0.36764705882352944 0.5 606208.0 [6, 4, 0, 6, 2, 4, 4, 2, 1, 7, 0, 2, 1, 6, 1, 0, 6, 2, 1, 0, 1, 2, 1, 6, 4, 0, 2, 1, 0, 7, 0, 7, 2, 6, 6, 1, 1, 1, 3, 0, 3, 3, 3, 7, 3, 2, 3, 2, 5, 2, 2, 6, 2, 3, 5, 6, 3, 0, 6, 0, 3, 5, 0, 5, 5, 1, 6, 0, 5, 2, 2, 0, 6, 4, 6, 6, 6, 2, 6, 7, 7, 0, 4, 4, 2, 4, 2, 5, 4, 3, 4, 2, 2] 
dag8.txt 5_4_3_2x2.txt 0.40441176470588236 0.6 455475.2 [5, 1, 0, 4, 4, 4, 1, 4, 2, 7, 0, 4, 2, 5, 2, 0, 5, 0, 2, 0, 2, 4, 2, 5, 1, 0, 4, 2, 0, 0, 0, 5, 4, 5, 5, 2, 2, 2, 6, 4, 6, 6, 6, 7, 6, 4, 6, 4, 3, 4, 4, 5, 4, 6, 3, 5, 6, 0, 5, 0, 6, 0, 0, 1, 3, 2, 5, 0, 3, 4, 4, 0, 5, 1, 5, 5, 5, 4, 5, 7, 7, 0, 1, 1, 4, 1, 4, 3, 1, 6, 1, 4, 4] 
dag8.txt 3_2x4.txt 0.36764705882352944 0.55 606208.0 [6, 4, 0, 6, 2, 4, 4, 2, 1, 7, 0, 2, 1, 6, 1, 0, 6, 2, 1, 0, 1, 2, 1, 6, 4, 0, 2, 1, 0, 7, 0, 7, 2, 6, 6, 1, 1, 1, 3, 0, 3, 3, 3, 7, 3, 2, 3, 2, 5, 2, 2, 6, 2, 3, 5, 6, 3, 0, 6, 0, 3, 5, 0, 5, 5, 1, 6, 0, 5, 2, 2, 0, 6, 4, 6, 6, 6, 2, 6, 7, 7, 0, 4, 4, 2, 4, 2, 5, 4, 3, 4, 2, 2] 
dag8.txt 5_4_3_2x2.txt 0.40441176470588236 0.65 455475.2 [5, 1, 0, 4, 4, 4, 1, 4, 2, 7, 0, 4, 2, 5, 2, 0, 5, 0, 2, 0, 2, 4, 2, 5, 1, 0, 4, 2, 0, 0, 0, 5, 4, 5, 5, 2, 2, 2, 6, 4, 6, 6, 6, 7, 6, 4, 6, 4, 3, 4, 4, 5, 4, 6, 3, 5, 6, 0, 5, 0, 6, 0, 0, 1, 3, 2, 5, 0, 3, 4, 4, 0, 5, 1, 5, 5, 5, 4, 5, 7, 7, 0, 1, 1, 4, 1, 4, 3, 1, 6, 1, 4, 4] 
dag8.txt 3_2x4.txt 0.36764705882352944 0.6 606208.0 [6, 4, 0, 6, 2, 4, 4, 2, 1, 7, 0, 2, 1, 6, 1, 0, 6, 2, 1, 0, 1, 2, 1, 6, 4, 0, 2, 1, 0, 7, 0, 7, 2, 6, 6, 1, 1, 1, 3, 0, 3, 3, 3, 7, 3, 2, 3, 2, 5, 2, 2, 6, 2, 3, 5, 6, 3, 0, 6, 0, 3, 5, 0, 5, 5, 1, 6, 0, 5, 2, 2, 0, 6, 4, 6, 6, 6, 2, 6, 7, 7, 0, 4, 4, 2, 4, 2, 5, 4, 3, 4, 2, 2] 
dag8.txt 5_4_3_2x2.txt 0.40441176470588236 0.7 455475.2 [5, 1, 0, 4, 4, 4, 1, 4, 2, 7, 0, 4, 2, 5, 2, 0, 5, 0, 2, 0, 2, 4, 2, 5, 1, 0, 4, 2, 0, 0, 0, 5, 4, 5, 5, 2, 2, 2, 6, 4, 6, 6, 6, 7, 6, 4, 6, 4, 3, 4, 4, 5, 4, 6, 3, 5, 6, 0, 5, 0, 6, 0, 0, 1, 3, 2, 5, 0, 3, 4, 4, 0, 5, 1, 5, 5, 5, 4, 5, 7, 7, 0, 1, 1, 4, 1, 4, 3, 1, 6, 1, 4, 4] 
dag8.txt 3_2x4.txt 0.36764705882352944 0.65 606208.0 [6, 4, 0, 6, 2, 4, 4, 2, 1, 7, 0, 2, 1, 6, 1, 0, 6, 2, 1, 0, 1, 2, 1, 6, 4, 0, 2, 1, 0, 7, 0, 7, 2, 6, 6, 1, 1, 1, 3, 0, 3, 3, 3, 7, 3, 2, 3, 2, 5, 2, 2, 6, 2, 3, 5, 6, 3, 0, 6, 0, 3, 5, 0, 5, 5, 1, 6, 0, 5, 2, 2, 0, 6, 4, 6, 6, 6, 2, 6, 7, 7, 0, 4, 4, 2, 4, 2, 5, 4, 3, 4, 2, 2] 
dag8.txt 3_2x4.txt 0.36764705882352944 0.7 606208.0 [6, 4, 0, 6, 2, 4, 4, 2, 1, 7, 0, 2, 1, 6, 1, 0, 6, 2, 1, 0, 1, 2, 1, 6, 4, 0, 2, 1, 0, 7, 0, 7, 2, 6, 6, 1, 1, 1, 3, 0, 3, 3, 3, 7, 3, 2, 3, 2, 5, 2, 2, 6, 2, 3, 5, 6, 3, 0, 6, 0, 3, 5, 0, 5, 5, 1, 6, 0, 5, 2, 2, 0, 6, 4, 6, 6, 6, 2, 6, 7, 7, 0, 4, 4, 2, 4, 2, 5, 4, 3, 4, 2, 2] 
