triadag25_3.txt 3_2x4.txt 0.29833333333333334 0.3 1018.5 [4, 0, 4, 7, 4, 0, 4, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, 4, 4, 4, 4, 0, 4, 4, 4, 0, 4, 7, 4, 0, 4, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, 4, 4, 4, 4, 0, 4, 4, 4, 0, 7, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4, 0, 4, 4, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 7, 0, 7, 7, 7, 1, 1, 7, 7, 7, 7, 1, 7, 7, 1, 7, 7, 1, 7, 7, 7, 1, 7, 7, 7, 1, 1, 7, 7, 7, 7, 1, 7, 7, 1, 7, 7, 1, 7, 7, 7, 6, 1, 1, 6, 1, 0, 7, 2, 1, 1, 0, 1, 1, 1, 1, 1, 7, 1, 1, 6, 6, 6, 1, 6, 6, 1, 6, 6, 6, 1, 1, 6, 1, 6, 6, 1, 6, 6, 6, 6, 6, 6, 1, 6, 6, 6, 6, 5, 6, 6, 6, 6, 6, 5, 5, 6, 6, 6, 1, 6, 5, 5, 6, 5, 6, 6, 6, 6, 6, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 2, 5, 5, 0, 0, 3, 3, 0, 3, 5, 3, 3, 5, 5, 5, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 5, 5, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 2, 3, 3, 3, 3, 3, 3, 3, 2, 2, 0, 3, 3, 3, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2] 
triadag25_3.txt 3_2x4.txt 0.37166666666666665 0.4 916.6666666666666 [5, 5, 6, 5, 5, 6, 6, 5, 5, 5, 5, 5, 6, 6, 5, 3, 5, 5, 6, 6, 5, 5, 5, 5, 5, 0, 6, 5, 5, 6, 6, 5, 5, 2, 5, 5, 6, 6, 5, 6, 5, 5, 6, 6, 5, 5, 5, 5, 6, 6, 0, 5, 6, 6, 5, 5, 5, 5, 5, 6, 6, 2, 3, 5, 5, 6, 6, 5, 5, 5, 5, 5, 7, 6, 6, 6, 5, 6, 6, 7, 5, 6, 6, 6, 3, 7, 6, 6, 6, 5, 6, 6, 7, 6, 7, 4, 7, 2, 7, 7, 7, 7, 0, 7, 7, 3, 7, 7, 7, 7, 2, 7, 7, 7, 3, 3, 7, 0, 7, 0, 7, 7, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 3, 2, 7, 3, 7, 3, 4, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 2, 2, 2, 2, 1, 2, 2, 2, 2, 1, 3, 3, 2, 2, 2, 1, 3, 2, 2, 2, 2, 1, 2, 2, 2, 2, 1, 6, 2, 2, 6, 2, 1, 3, 2, 2, 1, 1, 2, 1, 2, 2, 1, 3, 2, 2, 2, 2, 2, 2, 2, 6, 1, 2, 1, 2, 2, 1, 3, 1, 2, 2, 2, 1, 2, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 4, 4, 1, 4, 4, 4, 4, 4, 1, 1, 1, 1, 1, 1, 4, 1, 4, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, 4, 4, 4, 4, 0, 0, 4, 4, 4, 0, 0, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 
triadag25_3.txt 3_2x4.txt 0.35 0.35 915.0 [4, 2, 4, 4, 2, 4, 4, 4, 4, 4, 4, 4, 4, 2, 4, 4, 2, 2, 2, 4, 2, 4, 4, 4, 4, 2, 4, 4, 2, 4, 4, 4, 4, 4, 4, 4, 4, 2, 4, 4, 2, 2, 2, 4, 2, 4, 4, 4, 4, 2, 4, 2, 4, 2, 2, 2, 2, 2, 2, 2, 2, 4, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 4, 2, 2, 2, 2, 3, 2, 2, 2, 3, 0, 2, 4, 2, 2, 2, 2, 2, 2, 2, 3, 4, 3, 2, 3, 3, 3, 3, 3, 3, 3, 0, 0, 3, 3, 3, 0, 3, 3, 3, 0, 0, 3, 0, 3, 2, 3, 3, 3, 3, 3, 0, 0, 3, 3, 3, 3, 3, 0, 3, 3, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 6, 0, 0, 0, 0, 6, 0, 6, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 7, 4, 6, 6, 6, 7, 6, 6, 1, 6, 6, 6, 6, 6, 6, 6, 6, 7, 1, 6, 6, 7, 6, 6, 0, 6, 6, 6, 6, 6, 6, 6, 6, 6, 1, 6, 7, 6, 7, 1, 6, 6, 6, 7, 7, 6, 6, 6, 7, 1, 6, 7, 7, 1, 7, 7, 7, 7, 7, 7, 4, 7, 7, 4, 6, 7, 5, 6, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 5, 7, 7, 7, 7, 6, 5, 7, 5, 7, 5, 7, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 0, 5, 5, 5, 0, 5, 5, 2, 1, 5, 5, 1, 5, 0, 5, 5, 1, 1, 1, 5, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1] 
triadag25_3.txt 3_2x4.txt 0.38 0.45 916.3333333333334 [4, 0, 4, 4, 4, 4, 4, 4, 4, 4, 6, 4, 0, 0, 4, 4, 4, 0, 0, 4, 4, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, 4, 4, 4, 6, 4, 4, 0, 4, 4, 4, 0, 0, 4, 4, 4, 4, 4, 4, 0, 4, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 4, 6, 4, 0, 0, 4, 0, 0, 0, 0, 4, 6, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 4, 6, 4, 4, 0, 6, 0, 0, 0, 0, 0, 2, 6, 6, 6, 6, 6, 6, 6, 6, 6, 2, 6, 2, 2, 6, 6, 6, 6, 6, 6, 6, 2, 6, 6, 6, 2, 6, 2, 2, 2, 2, 2, 2, 2, 2, 2, 6, 6, 6, 2, 6, 2, 6, 3, 2, 6, 6, 2, 2, 2, 2, 4, 2, 2, 2, 6, 5, 3, 2, 6, 3, 3, 5, 6, 2, 2, 2, 2, 2, 2, 2, 2, 2, 6, 5, 3, 2, 0, 3, 5, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 4, 5, 3, 3, 5, 5, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 5, 2, 3, 5, 4, 5, 5, 5, 3, 6, 5, 5, 5, 6, 5, 5, 5, 5, 5, 5, 5, 5, 7, 3, 5, 5, 5, 5, 2, 5, 5, 0, 0, 7, 5, 0, 6, 7, 5, 7, 7, 5, 5, 5, 7, 5, 7, 7, 7, 7, 7, 2, 7, 7, 7, 7, 7, 2, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 1, 0, 7, 7, 7, 0, 7, 7, 6, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1] 
triadag25_3.txt 3_2x4.txt 0.3416666666666667 0.55 916.3333333333334 [4, 4, 4, 4, 4, 6, 4, 4, 4, 4, 4, 4, 3, 3, 3, 4, 4, 4, 4, 0, 4, 3, 4, 4, 4, 4, 3, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 3, 3, 4, 4, 4, 4, 0, 4, 3, 4, 4, 4, 3, 4, 4, 2, 4, 4, 4, 4, 3, 4, 3, 3, 3, 4, 4, 4, 4, 0, 4, 3, 4, 4, 4, 5, 3, 3, 4, 4, 3, 3, 3, 4, 3, 5, 3, 5, 4, 4, 3, 3, 3, 3, 3, 5, 3, 5, 4, 5, 6, 5, 5, 5, 0, 0, 5, 5, 5, 5, 5, 5, 0, 5, 5, 5, 5, 0, 0, 5, 0, 5, 2, 5, 0, 0, 5, 5, 5, 5, 5, 5, 0, 5, 5, 5, 5, 5, 2, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 2, 2, 2, 0, 0, 0, 2, 0, 2, 2, 0, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 2, 2, 6, 2, 2, 2, 2, 7, 2, 2, 2, 2, 2, 2, 7, 7, 7, 2, 2, 2, 2, 2, 2, 4, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 6, 7, 7, 7, 7, 7, 7, 7, 2, 7, 7, 6, 0, 6, 6, 0, 7, 7, 7, 7, 7, 7, 7, 6, 6, 7, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 1, 6, 6, 6, 6, 6, 6, 6, 6, 6, 1, 6, 1, 6, 6, 0, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 6, 1, 1, 1, 1, 0, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1] 
triadag25_3.txt 3_2x4.txt 0.35 0.6 914.0 [1, 1, 6, 1, 1, 2, 1, 1, 1, 6, 1, 1, 6, 1, 6, 1, 2, 1, 1, 6, 1, 1, 6, 6, 6, 6, 6, 1, 1, 4, 1, 1, 1, 6, 1, 1, 6, 1, 6, 0, 2, 1, 1, 6, 1, 1, 6, 6, 6, 6, 1, 1, 0, 1, 1, 1, 6, 1, 1, 6, 1, 6, 1, 2, 1, 1, 6, 1, 1, 6, 6, 6, 7, 6, 2, 6, 6, 6, 6, 2, 6, 6, 6, 6, 7, 2, 6, 7, 6, 1, 6, 6, 6, 6, 7, 4, 7, 6, 7, 7, 2, 2, 7, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 2, 2, 2, 7, 0, 7, 4, 2, 2, 7, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 2, 7, 0, 2, 2, 7, 2, 2, 7, 2, 2, 2, 2, 2, 2, 2, 2, 2, 7, 2, 7, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2, 0, 0, 6, 0, 0, 0, 7, 5, 0, 5, 0, 0, 5, 0, 5, 6, 0, 0, 0, 0, 0, 0, 0, 4, 5, 5, 5, 5, 4, 5, 5, 5, 5, 0, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 2, 5, 5, 6, 4, 4, 5, 4, 4, 5, 5, 5, 5, 5, 5, 5, 4, 5, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 3, 4, 4, 4, 4, 0, 4, 4, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 0, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3] 
triadag25_3.txt 3_2x4.txt 0.3616666666666667 0.5 914.0 [7, 0, 2, 7, 7, 4, 7, 7, 7, 7, 7, 7, 7, 0, 1, 7, 7, 7, 7, 7, 0, 7, 0, 7, 0, 0, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 4, 0, 1, 4, 7, 7, 7, 6, 0, 7, 0, 7, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 7, 0, 1, 7, 0, 0, 0, 0, 0, 7, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 1, 1, 0, 4, 0, 0, 0, 1, 0, 0, 0, 6, 6, 6, 6, 6, 6, 4, 6, 6, 6, 1, 1, 1, 6, 6, 6, 1, 1, 6, 1, 0, 6, 6, 6, 6, 6, 4, 6, 6, 6, 1, 2, 1, 6, 6, 6, 1, 6, 4, 1, 1, 1, 6, 6, 6, 4, 6, 6, 6, 1, 1, 0, 6, 6, 6, 0, 1, 4, 1, 1, 4, 6, 6, 4, 1, 4, 1, 1, 1, 1, 6, 1, 4, 1, 1, 4, 2, 4, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 6, 1, 4, 4, 4, 2, 2, 4, 2, 2, 4, 2, 2, 4, 4, 2, 2, 2, 2, 2, 2, 2, 4, 2, 2, 4, 2, 2, 4, 2, 2, 2, 2, 2, 2, 2, 5, 2, 2, 4, 2, 2, 4, 2, 2, 2, 2, 2, 2, 2, 5, 5, 4, 6, 5, 4, 2, 5, 5, 5, 2, 5, 5, 5, 4, 5, 5, 4, 0, 5, 5, 5, 5, 5, 2, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 3, 0, 5, 3, 3, 0, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 6, 3, 3, 3, 3, 0, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3] 
triadag25_3.txt 3_2x4.txt 0.31833333333333336 0.65 917.0 [0, 0, 6, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 7, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 4, 0, 0, 2, 0, 0, 0, 4, 0, 1, 1, 0, 0, 1, 0, 1, 4, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 7, 0, 1, 1, 0, 0, 5, 1, 1, 7, 1, 1, 1, 5, 0, 1, 5, 1, 1, 5, 2, 1, 7, 0, 1, 1, 0, 0, 5, 4, 7, 0, 5, 5, 5, 5, 5, 5, 5, 1, 5, 5, 1, 5, 6, 5, 5, 5, 0, 7, 7, 0, 5, 2, 5, 5, 7, 5, 5, 7, 5, 5, 7, 5, 5, 5, 5, 5, 5, 7, 5, 7, 7, 6, 2, 7, 6, 5, 7, 0, 7, 7, 7, 7, 7, 7, 7, 5, 6, 6, 6, 7, 7, 7, 3, 6, 7, 7, 7, 7, 6, 7, 6, 6, 7, 6, 6, 6, 6, 6, 6, 3, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 3, 6, 6, 6, 3, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 3, 3, 6, 3, 3, 3, 3, 6, 6, 3, 3, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3, 3, 3, 4, 3, 3, 6, 0, 4, 3, 2, 3, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 4, 2, 2, 2, 2, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2] 
triadag25_3.txt 3_2x4.txt 0.3516666666666667 0.8 917.3333333333334 [0, 0, 4, 0, 0, 7, 7, 0, 0, 0, 0, 0, 7, 7, 7, 0, 0, 0, 0, 1, 0, 0, 7, 0, 7, 0, 7, 0, 0, 7, 7, 0, 0, 0, 0, 0, 4, 7, 7, 0, 0, 0, 0, 4, 0, 0, 7, 0, 7, 7, 0, 0, 2, 7, 0, 0, 0, 0, 0, 7, 7, 7, 0, 0, 0, 0, 1, 0, 0, 7, 0, 7, 6, 7, 7, 7, 0, 7, 7, 6, 0, 7, 7, 7, 6, 7, 6, 6, 1, 0, 0, 7, 6, 7, 6, 4, 6, 6, 6, 1, 6, 6, 6, 6, 6, 6, 7, 6, 6, 1, 6, 6, 6, 6, 6, 1, 6, 6, 6, 1, 6, 6, 6, 6, 6, 6, 1, 6, 6, 1, 6, 6, 6, 6, 6, 2, 1, 1, 1, 1, 2, 1, 1, 6, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 1, 1, 1, 2, 2, 2, 1, 1, 2, 2, 2, 2, 1, 2, 2, 5, 2, 2, 2, 2, 2, 2, 2, 6, 2, 2, 6, 2, 2, 2, 2, 5, 2, 2, 2, 2, 5, 2, 5, 5, 2, 2, 5, 2, 2, 2, 2, 6, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 2, 3, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 6, 0, 3, 3, 2, 2, 3, 3, 3, 5, 5, 3, 3, 3, 5, 3, 3, 3, 3, 3, 0, 5, 3, 3, 3, 3, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 0, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4] 
triadag25_3.txt 3_2x4.txt 0.37166666666666665 0.9 917.0 [3, 3, 4, 3, 3, 6, 3, 3, 3, 3, 3, 7, 7, 7, 3, 6, 3, 3, 3, 7, 3, 7, 3, 3, 3, 0, 7, 3, 3, 7, 3, 3, 3, 2, 3, 7, 4, 7, 3, 6, 3, 3, 3, 7, 3, 7, 3, 3, 0, 7, 0, 3, 2, 3, 3, 3, 3, 3, 7, 7, 7, 2, 6, 3, 3, 3, 7, 3, 7, 3, 3, 3, 2, 7, 7, 3, 7, 7, 7, 2, 7, 7, 7, 7, 6, 7, 4, 7, 2, 3, 7, 3, 6, 3, 2, 6, 6, 2, 2, 2, 2, 6, 2, 6, 2, 6, 6, 2, 2, 2, 6, 2, 2, 6, 2, 2, 6, 2, 2, 2, 2, 6, 2, 6, 2, 6, 6, 2, 2, 2, 6, 2, 2, 6, 2, 6, 1, 2, 5, 2, 6, 2, 6, 2, 6, 6, 2, 2, 1, 6, 2, 2, 6, 2, 1, 6, 5, 1, 6, 6, 6, 1, 6, 6, 6, 2, 1, 6, 1, 1, 6, 0, 1, 5, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 4, 1, 1, 1, 1, 5, 1, 1, 1, 0, 1, 1, 5, 6, 1, 1, 5, 1, 0, 1, 1, 6, 5, 0, 5, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 5, 0, 5, 5, 5, 5, 5, 5, 5, 2, 5, 5, 4, 6, 0, 5, 2, 0, 5, 5, 0, 5, 0, 0, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4] 
