dagK44.txt 1234x1.txt True 0.5191815856777494 0.7 388.25 [3, 0, 3, 0, 3, 3, 0, 3, 0, 0, 2, 0, 3, 3, 0, 3, 3, 3, 0, 0, 3, 3, 0, 0, 1, 3, 3, 1, 1, 1, 1, 0, 0, 0, 1, 2, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 3, 1, 3, 1, 1, 2, 3, 3, 3, 1, 3, 1, 3, 1, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 2, 2, 3, 3, 3, 3, 3, 3, 2, 2, 3, 3, 2, 3, 2, 3, 3, 3, 3, 3, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2] 
dagK44.txt 1234x3.txt True 0.7979539641943734 0.7 10000000376.0 [6, 6, 8, 6, 7, 7, 6, 7, 6, 8, 8, 6, 7, 6, 10, 6, 6, 8, 8, 7, 8, 8, 7, 11, 10, 7, 7, 10, 7, 10, 10, 7, 7, 8, 11, 10, 10, 10, 9, 11, 10, 10, 10, 9, 11, 11, 9, 9, 11, 11, 11, 9, 9, 11, 11, 2, 10, 9, 1, 11, 2, 9, 9, 9, 1, 1, 2, 9, 1, 1, 1, 1, 1, 2, 1, 2, 11, 2, 1, 0, 2, 1, 5, 1, 1, 0, 0, 2, 1, 5, 0, 2, 4, 0, 2, 0, 5, 5, 4, 0, 0, 0, 5, 4, 0, 3, 4, 3, 5, 5, 0, 4, 5, 3, 5, 3, 4, 4, 5, 3, 3, 3, 3, 4, 3, 5, 4, 5, 4, 3] 
dagK44.txt 1234x1.txt True 0.5191815856777494 0.8 388.25 [3, 0, 3, 0, 3, 3, 0, 3, 0, 0, 2, 0, 3, 3, 0, 3, 3, 3, 0, 0, 3, 3, 0, 0, 1, 3, 3, 1, 1, 1, 1, 0, 0, 0, 1, 2, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 3, 1, 3, 1, 1, 2, 3, 3, 3, 1, 3, 1, 3, 1, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 2, 2, 3, 3, 3, 3, 3, 3, 2, 2, 3, 3, 2, 3, 2, 3, 3, 3, 3, 3, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2] 
dagK44.txt 1234x3.txt True 0.7979539641943734 0.8 376.0 [6, 6, 8, 6, 7, 7, 6, 7, 6, 8, 8, 6, 7, 6, 10, 6, 6, 8, 8, 7, 8, 8, 7, 11, 10, 7, 7, 10, 7, 10, 10, 7, 7, 8, 11, 10, 10, 10, 9, 11, 10, 10, 10, 9, 11, 11, 9, 9, 11, 11, 11, 9, 9, 11, 11, 2, 10, 9, 1, 11, 2, 9, 9, 9, 1, 1, 2, 9, 1, 1, 1, 1, 1, 2, 1, 2, 11, 2, 1, 0, 2, 1, 5, 1, 1, 0, 0, 2, 1, 5, 0, 2, 4, 0, 2, 0, 5, 5, 4, 0, 0, 0, 5, 4, 0, 3, 4, 3, 5, 5, 0, 4, 5, 3, 5, 3, 4, 4, 5, 3, 3, 3, 3, 4, 3, 5, 4, 5, 4, 3] 
dagK44.txt 1234x1.txt True 0.4961636828644501 0.5 412.25 [3, 0, 3, 0, 3, 3, 0, 3, 0, 0, 3, 0, 3, 3, 0, 3, 3, 3, 0, 0, 3, 3, 0, 0, 1, 3, 3, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 3, 1, 3, 1, 1, 3, 3, 3, 3, 1, 3, 1, 3, 1, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 2, 2, 3, 3, 3, 3, 3, 3, 2, 2, 3, 3, 2, 3, 2, 3, 3, 3, 3, 3, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2] 
dagK44.txt 1234x3.txt True 0.7979539641943734 0.5 10000000376.0 [6, 6, 8, 6, 7, 7, 6, 7, 6, 8, 8, 6, 7, 6, 10, 6, 6, 8, 8, 7, 8, 8, 7, 11, 10, 7, 7, 10, 7, 10, 10, 7, 7, 8, 11, 10, 10, 10, 9, 11, 10, 10, 10, 9, 11, 11, 9, 9, 11, 11, 11, 9, 9, 11, 11, 2, 10, 9, 1, 11, 2, 9, 9, 9, 1, 1, 2, 9, 1, 1, 1, 1, 1, 2, 1, 2, 11, 2, 1, 0, 2, 1, 5, 1, 1, 0, 0, 2, 1, 5, 0, 2, 4, 0, 2, 0, 5, 5, 4, 0, 0, 0, 5, 4, 0, 3, 4, 3, 5, 5, 0, 4, 5, 3, 5, 3, 4, 4, 5, 3, 3, 3, 3, 4, 3, 5, 4, 5, 4, 3] 
dagK44.txt 1234x1.txt True 0.5191815856777494 0.6 388.25 [3, 0, 3, 0, 3, 3, 0, 3, 0, 0, 2, 0, 3, 3, 0, 3, 3, 3, 0, 0, 3, 3, 0, 0, 1, 3, 3, 1, 1, 1, 1, 0, 0, 0, 1, 2, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 3, 1, 3, 1, 1, 2, 3, 3, 3, 1, 3, 1, 3, 1, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 2, 2, 3, 3, 3, 3, 3, 3, 2, 2, 3, 3, 2, 3, 2, 3, 3, 3, 3, 3, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2] 
dagK44.txt 1234x3.txt True 0.7979539641943734 0.6 10000000376.0 [6, 6, 8, 6, 7, 7, 6, 7, 6, 8, 8, 6, 7, 6, 10, 6, 6, 8, 8, 7, 8, 8, 7, 11, 10, 7, 7, 10, 7, 10, 10, 7, 7, 8, 11, 10, 10, 10, 9, 11, 10, 10, 10, 9, 11, 11, 9, 9, 11, 11, 11, 9, 9, 11, 11, 2, 10, 9, 1, 11, 2, 9, 9, 9, 1, 1, 2, 9, 1, 1, 1, 1, 1, 2, 1, 2, 11, 2, 1, 0, 2, 1, 5, 1, 1, 0, 0, 2, 1, 5, 0, 2, 4, 0, 2, 0, 5, 5, 4, 0, 0, 0, 5, 4, 0, 3, 4, 3, 5, 5, 0, 4, 5, 3, 5, 3, 4, 4, 5, 3, 3, 3, 3, 4, 3, 5, 4, 5, 4, 3] 
dagK44.txt 1234x1.txt True 0.5191815856777494 0.7 388.25 [3, 0, 3, 0, 3, 3, 0, 3, 0, 0, 2, 0, 3, 3, 0, 3, 3, 3, 0, 0, 3, 3, 0, 0, 1, 3, 3, 1, 1, 1, 1, 0, 0, 0, 1, 2, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 3, 1, 3, 1, 1, 2, 3, 3, 3, 1, 3, 1, 3, 1, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 2, 2, 3, 3, 3, 3, 3, 3, 2, 2, 3, 3, 2, 3, 2, 3, 3, 3, 3, 3, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2] 
dagK44.txt 1234x3.txt True 0.7979539641943734 0.7 10000000376.0 [6, 6, 8, 6, 7, 7, 6, 7, 6, 8, 8, 6, 7, 6, 10, 6, 6, 8, 8, 7, 8, 8, 7, 11, 10, 7, 7, 10, 7, 10, 10, 7, 7, 8, 11, 10, 10, 10, 9, 11, 10, 10, 10, 9, 11, 11, 9, 9, 11, 11, 11, 9, 9, 11, 11, 2, 10, 9, 1, 11, 2, 9, 9, 9, 1, 1, 2, 9, 1, 1, 1, 1, 1, 2, 1, 2, 11, 2, 1, 0, 2, 1, 5, 1, 1, 0, 0, 2, 1, 5, 0, 2, 4, 0, 2, 0, 5, 5, 4, 0, 0, 0, 5, 4, 0, 3, 4, 3, 5, 5, 0, 4, 5, 3, 5, 3, 4, 4, 5, 3, 3, 3, 3, 4, 3, 5, 4, 5, 4, 3] 
dagK44.txt 1234x1.txt True 0.5191815856777494 0.8 388.25 [3, 0, 3, 0, 3, 3, 0, 3, 0, 0, 2, 0, 3, 3, 0, 3, 3, 3, 0, 0, 3, 3, 0, 0, 1, 3, 3, 1, 1, 1, 1, 0, 0, 0, 1, 2, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 3, 1, 3, 1, 1, 2, 3, 3, 3, 1, 3, 1, 3, 1, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 2, 2, 3, 3, 3, 3, 3, 3, 2, 2, 3, 3, 2, 3, 2, 3, 3, 3, 3, 3, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2] 
dagK44.txt 1234x3.txt True 0.7979539641943734 0.8 376.0 [6, 6, 8, 6, 7, 7, 6, 7, 6, 8, 8, 6, 7, 6, 10, 6, 6, 8, 8, 7, 8, 8, 7, 11, 10, 7, 7, 10, 7, 10, 10, 7, 7, 8, 11, 10, 10, 10, 9, 11, 10, 10, 10, 9, 11, 11, 9, 9, 11, 11, 11, 9, 9, 11, 11, 2, 10, 9, 1, 11, 2, 9, 9, 9, 1, 1, 2, 9, 1, 1, 1, 1, 1, 2, 1, 2, 11, 2, 1, 0, 2, 1, 5, 1, 1, 0, 0, 2, 1, 5, 0, 2, 4, 0, 2, 0, 5, 5, 4, 0, 0, 0, 5, 4, 0, 3, 4, 3, 5, 5, 0, 4, 5, 3, 5, 3, 4, 4, 5, 3, 3, 3, 3, 4, 3, 5, 4, 5, 4, 3] 
