dagD25.txt 3_2x4.txt True 0.0 0.07 463.75 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7] 
dagD25.txt 3_2x4.txt True 0.0 0.1 463.75 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7] 
dagD25.txt 3_2x4.txt True 0.10101010101010101 0.15 408.25 [7, 7, 7, 7, 7, 7, 5, 4, 7, 7, 7, 7, 7, 7, 7, 7, 5, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 5, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 5, 7, 7, 5, 7, 1, 7, 7] 
dagD25.txt 3_2x4.txt True 0.1414141414141414 0.2 369.25 [7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 3, 0, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 0, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 2, 7, 7, 3, 1, 7, 7, 7, 7, 7, 7, 7, 0, 7, 7, 7, 7, 7, 7, 3, 7, 0, 7, 7] 
dagD25.txt 3_2x4.txt True 0.1414141414141414 0.3 369.25 [7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 3, 0, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 0, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 2, 7, 7, 3, 1, 7, 7, 7, 7, 7, 7, 7, 0, 7, 7, 7, 7, 7, 7, 3, 7, 0, 7, 7] 
dagD25.txt 3_2x4.txt True 0.1414141414141414 0.4 369.25 [7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 3, 0, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 0, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 2, 7, 7, 3, 1, 7, 7, 7, 7, 7, 7, 7, 0, 7, 7, 7, 7, 7, 7, 3, 7, 0, 7, 7] 
dagD25.txt 3_2x4.txt True 0.41414141414141414 0.5 182.0 [3, 3, 7, 3, 3, 3, 3, 3, 3, 3, 7, 3, 3, 3, 3, 3, 2, 1, 3, 3, 7, 3, 7, 4, 3, 5, 3, 7, 1, 3, 5, 4, 7, 7, 5, 3, 3, 3, 3, 5, 3, 7, 4, 5, 5, 5, 7, 3, 3, 1, 1, 7, 4, 1, 1, 1, 1, 5, 1, 1, 5, 5, 1, 5, 1] 
dagD25.txt 3_2x4.txt True 0.4090909090909091 0.6 142.0 [4, 5, 7, 1, 5, 1, 7, 1, 1, 1, 5, 5, 1, 7, 1, 5, 0, 3, 1, 1, 5, 1, 7, 5, 5, 7, 1, 5, 3, 5, 7, 5, 5, 5, 3, 1, 5, 1, 1, 0, 5, 5, 5, 3, 0, 7, 5, 1, 1, 3, 3, 5, 5, 3, 3, 3, 3, 3, 1, 3, 0, 3, 3, 0, 3] 
dagD25.txt 3_2x4.txt True 0.5757575757575758 0.7 119.0 [0, 3, 5, 5, 0, 1, 5, 1, 5, 5, 3, 1, 5, 1, 5, 1, 5, 5, 5, 1, 3, 1, 7, 3, 3, 1, 5, 7, 7, 2, 1, 3, 2, 7, 6, 3, 5, 1, 5, 3, 2, 2, 3, 1, 5, 7, 7, 5, 5, 7, 7, 7, 3, 4, 7, 7, 7, 1, 1, 7, 5, 2, 4, 3, 7] 
dagD25.txt 3_2x4.txt True 0.702020202020202 1 99.5 [3, 7, 5, 1, 7, 5, 3, 5, 1, 1, 7, 4, 5, 7, 6, 5, 3, 5, 5, 3, 7, 7, 1, 1, 7, 3, 6, 6, 1, 7, 3, 4, 0, 0, 2, 7, 7, 5, 3, 7, 7, 4, 4, 3, 3, 5, 0, 3, 3, 1, 1, 1, 7, 1, 1, 1, 1, 3, 5, 0, 2, 5, 3, 7, 1] 
