dag60.txt 5_4_3_2x2.txt 0.4778761061946903 0.5 322218.6666666667 [3, 5, 0, 5, 4, 3, 2, 2, 7, 1, 1, 0, 1, 0, 5, 0, 2, 7, 3, 1, 1, 6, 5, 3, 3, 2, 5, 1, 3, 6, 5, 5, 5, 7, 5, 4, 3, 3, 6, 3, 3, 6, 3, 1, 0, 2, 1, 4, 4, 3, 4, 1, 3, 0, 3, 5, 4, 5, 0, 2, 0, 4, 4, 6, 0, 6, 6, 0, 6, 2, 2, 0, 0] 
dag60.txt 3_2x4.txt 0.4336283185840708 0.5 420522.6666666667 [4, 1, 6, 1, 0, 4, 7, 6, 0, 5, 4, 4, 5, 5, 1, 5, 6, 0, 4, 5, 5, 6, 1, 6, 4, 3, 3, 5, 4, 2, 3, 1, 1, 7, 4, 7, 4, 4, 7, 6, 4, 6, 7, 5, 6, 6, 6, 1, 6, 4, 4, 5, 4, 6, 4, 2, 0, 1, 2, 7, 2, 1, 1, 2, 2, 3, 3, 2, 2, 3, 2, 2, 2] 
dag60.txt 5_4_3_2x2.txt 0.4778761061946903 0.55 307200.0 [2, 0, 4, 0, 0, 1, 5, 5, 7, 6, 1, 2, 6, 6, 0, 6, 1, 7, 7, 6, 6, 3, 0, 1, 2, 5, 0, 6, 2, 0, 4, 0, 0, 2, 3, 0, 3, 6, 1, 1, 3, 3, 1, 6, 6, 3, 1, 0, 1, 2, 2, 0, 0, 3, 0, 4, 4, 0, 3, 5, 5, 4, 4, 7, 4, 4, 4, 5, 4, 5, 5, 4, 4] 
dag60.txt 3_2x4.txt 0.4690265486725664 0.55 420522.6666666667 [1, 0, 0, 0, 6, 4, 6, 6, 7, 3, 2, 1, 3, 3, 0, 3, 4, 7, 7, 3, 3, 5, 0, 4, 1, 6, 0, 3, 1, 4, 5, 0, 0, 1, 5, 0, 5, 3, 4, 4, 5, 5, 4, 3, 3, 5, 4, 0, 4, 1, 1, 0, 0, 5, 0, 2, 2, 0, 5, 6, 6, 2, 2, 7, 2, 2, 2, 6, 2, 6, 6, 2, 2] 
dag60.txt 5_4_3_2x2.txt 0.4778761061946903 0.6 307200.0 [2, 0, 4, 0, 0, 1, 5, 5, 7, 6, 1, 2, 6, 6, 0, 6, 1, 7, 7, 6, 6, 3, 0, 1, 2, 5, 0, 6, 2, 0, 4, 0, 0, 2, 3, 0, 3, 6, 1, 1, 3, 3, 1, 6, 6, 3, 1, 0, 1, 2, 2, 0, 0, 3, 0, 4, 4, 0, 3, 5, 5, 4, 4, 7, 4, 4, 4, 5, 4, 5, 5, 4, 4] 
dag60.txt 3_2x4.txt 0.4690265486725664 0.6 420522.6666666667 [1, 0, 0, 0, 6, 4, 6, 6, 7, 3, 2, 1, 3, 3, 0, 3, 4, 7, 7, 3, 3, 5, 0, 4, 1, 6, 0, 3, 1, 4, 5, 0, 0, 1, 5, 0, 5, 3, 4, 4, 5, 5, 4, 3, 3, 5, 4, 0, 4, 1, 1, 0, 0, 5, 0, 2, 2, 0, 5, 6, 6, 2, 2, 7, 2, 2, 2, 6, 2, 6, 6, 2, 2] 
dag60.txt 5_4_3_2x2.txt 0.4778761061946903 0.65 307200.0 [2, 0, 4, 0, 0, 1, 5, 5, 7, 6, 1, 2, 6, 6, 0, 6, 1, 7, 7, 6, 6, 3, 0, 1, 2, 5, 0, 6, 2, 0, 4, 0, 0, 2, 3, 0, 3, 6, 1, 1, 3, 3, 1, 6, 6, 3, 1, 0, 1, 2, 2, 0, 0, 3, 0, 4, 4, 0, 3, 5, 5, 4, 4, 7, 4, 4, 4, 5, 4, 5, 5, 4, 4] 
dag60.txt 3_2x4.txt 0.4690265486725664 0.65 420522.6666666667 [1, 0, 0, 0, 6, 4, 6, 6, 7, 3, 2, 1, 3, 3, 0, 3, 4, 7, 7, 3, 3, 5, 0, 4, 1, 6, 0, 3, 1, 4, 5, 0, 0, 1, 5, 0, 5, 3, 4, 4, 5, 5, 4, 3, 3, 5, 4, 0, 4, 1, 1, 0, 0, 5, 0, 2, 2, 0, 5, 6, 6, 2, 2, 7, 2, 2, 2, 6, 2, 6, 6, 2, 2] 
dag60.txt 5_4_3_2x2.txt 0.4778761061946903 0.7 307200.0 [2, 0, 4, 0, 0, 1, 5, 5, 7, 6, 1, 2, 6, 6, 0, 6, 1, 7, 7, 6, 6, 3, 0, 1, 2, 5, 0, 6, 2, 0, 4, 0, 0, 2, 3, 0, 3, 6, 1, 1, 3, 3, 1, 6, 6, 3, 1, 0, 1, 2, 2, 0, 0, 3, 0, 4, 4, 0, 3, 5, 5, 4, 4, 7, 4, 4, 4, 5, 4, 5, 5, 4, 4] 
dag60.txt 3_2x4.txt 0.4690265486725664 0.7 420522.6666666667 [1, 0, 0, 0, 6, 4, 6, 6, 7, 3, 2, 1, 3, 3, 0, 3, 4, 7, 7, 3, 3, 5, 0, 4, 1, 6, 0, 3, 1, 4, 5, 0, 0, 1, 5, 0, 5, 3, 4, 4, 5, 5, 4, 3, 3, 5, 4, 0, 4, 1, 1, 0, 0, 5, 0, 2, 2, 0, 5, 6, 6, 2, 2, 7, 2, 2, 2, 6, 2, 6, 6, 2, 2] 
dag60.txt 5_4_3_2x2.txt 0.4778761061946903 0.8 307200.0 [2, 0, 4, 0, 0, 1, 5, 5, 7, 6, 1, 2, 6, 6, 0, 6, 1, 7, 7, 6, 6, 3, 0, 1, 2, 5, 0, 6, 2, 0, 4, 0, 0, 2, 3, 0, 3, 6, 1, 1, 3, 3, 1, 6, 6, 3, 1, 0, 1, 2, 2, 0, 0, 3, 0, 4, 4, 0, 3, 5, 5, 4, 4, 7, 4, 4, 4, 5, 4, 5, 5, 4, 4] 
dag60.txt 4_1x5.txt 0.49557522123893805 0.5 442368.0 [5, 2, 4, 9, 2, 5, 6, 3, 8, 0, 2, 8, 0, 0, 9, 0, 0, 8, 7, 2, 1, 7, 1, 7, 7, 2, 1, 1, 7, 4, 0, 9, 9, 7, 1, 2, 1, 1, 7, 7, 1, 0, 7, 0, 0, 5, 0, 2, 0, 5, 4, 2, 5, 0, 2, 0, 2, 9, 0, 6, 6, 2, 2, 2, 3, 4, 4, 3, 3, 3, 3, 3, 3] 
