dag1.txt 3_2x5.txt True 0.5833333333333334 0.65 453290.6666666667 [9, 5, 3, 4, 9, 2, 0, 2, 2, 9, 6, 4, 0, 4, 0, 2, 3, 2, 6, 8, 8, 0, 3, 6, 1, 3, 6, 4, 7, 4, 8, 8, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 3, 5, 0, 4, 4, 7, 3, 4, 4, 0, 3, 0, 4, 0, 0, 0, 0, 0, 0, 0, 3, 0, 2, 0, 2, 0, 2, 6, 1, 8, 5, 1, 1, 1, 4, 1, 7, 2, 2, 1, 2, 2, 1, 1, 2, 2] 
dag1.txt 3_2x5.txt True 0.5833333333333334 0.7 453290.6666666667 [9, 5, 3, 4, 9, 2, 0, 2, 2, 9, 6, 4, 0, 4, 0, 2, 3, 2, 6, 8, 8, 0, 3, 6, 1, 3, 6, 4, 7, 4, 8, 8, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 3, 5, 0, 4, 4, 7, 3, 4, 4, 0, 3, 0, 4, 0, 0, 0, 0, 0, 0, 0, 3, 0, 2, 0, 2, 0, 2, 6, 1, 8, 5, 1, 1, 1, 4, 1, 7, 2, 2, 1, 2, 2, 1, 1, 2, 2] 
dag1.txt 3_2x5.txt True 0.3939393939393939 0.75 447829.3333333333 [6, 4, 4, 6, 4, 9, 6, 9, 9, 7, 0, 0, 2, 3, 2, 8, 4, 9, 4, 8, 6, 2, 6, 2, 7, 6, 3, 3, 0, 3, 9, 3, 6, 3, 6, 3, 6, 3, 3, 6, 3, 6, 4, 1, 1, 3, 0, 1, 1, 0, 0, 0, 4, 0, 2, 0, 0, 4, 6, 2, 2, 2, 2, 2, 5, 5, 8, 2, 3, 2, 9, 9, 7, 9, 7, 8, 0, 8, 8, 5, 5, 8, 5, 5, 8, 8, 5, 8] 
dag1.txt 3_2x5.txt True 0.3939393939393939 0.8 447829.3333333333 [6, 4, 4, 6, 4, 9, 6, 9, 9, 7, 0, 0, 2, 3, 2, 8, 4, 9, 4, 8, 6, 2, 6, 2, 7, 6, 3, 3, 0, 3, 9, 3, 6, 3, 6, 3, 6, 3, 3, 6, 3, 6, 4, 1, 1, 3, 0, 1, 1, 0, 0, 0, 4, 0, 2, 0, 0, 4, 6, 2, 2, 2, 2, 2, 5, 5, 8, 2, 3, 2, 9, 9, 7, 9, 7, 8, 0, 8, 8, 5, 5, 8, 5, 5, 8, 8, 5, 8] 
dag1.txt 3_2x5.txt True 0.3939393939393939 0.85 447829.3333333333 [6, 4, 4, 6, 4, 9, 6, 9, 9, 7, 0, 0, 2, 3, 2, 8, 4, 9, 4, 8, 6, 2, 6, 2, 7, 6, 3, 3, 0, 3, 9, 3, 6, 3, 6, 3, 6, 3, 3, 6, 3, 6, 4, 1, 1, 3, 0, 1, 1, 0, 0, 0, 4, 0, 2, 0, 0, 4, 6, 2, 2, 2, 2, 2, 5, 5, 8, 2, 3, 2, 9, 9, 7, 9, 7, 8, 0, 8, 8, 5, 5, 8, 5, 5, 8, 8, 5, 8] 
dag1.txt 3_2x5.txt True 0.3939393939393939 0.9 447829.3333333333 [6, 4, 4, 6, 4, 9, 6, 9, 9, 7, 0, 0, 2, 3, 2, 8, 4, 9, 4, 8, 6, 2, 6, 2, 7, 6, 3, 3, 0, 3, 9, 3, 6, 3, 6, 3, 6, 3, 3, 6, 3, 6, 4, 1, 1, 3, 0, 1, 1, 0, 0, 0, 4, 0, 2, 0, 0, 4, 6, 2, 2, 2, 2, 2, 5, 5, 8, 2, 3, 2, 9, 9, 7, 9, 7, 8, 0, 8, 8, 5, 5, 8, 5, 5, 8, 8, 5, 8] 
dag1.txt 3_2x5.txt True 0.3939393939393939 0.95 447829.3333333333 [6, 4, 4, 6, 4, 9, 6, 9, 9, 7, 0, 0, 2, 3, 2, 8, 4, 9, 4, 8, 6, 2, 6, 2, 7, 6, 3, 3, 0, 3, 9, 3, 6, 3, 6, 3, 6, 3, 3, 6, 3, 6, 4, 1, 1, 3, 0, 1, 1, 0, 0, 0, 4, 0, 2, 0, 0, 4, 6, 2, 2, 2, 2, 2, 5, 5, 8, 2, 3, 2, 9, 9, 7, 9, 7, 8, 0, 8, 8, 5, 5, 8, 5, 5, 8, 8, 5, 8] 
dag1.txt 3_2x5.txt True 0.3939393939393939 1 447829.3333333333 [6, 4, 4, 6, 4, 9, 6, 9, 9, 7, 0, 0, 2, 3, 2, 8, 4, 9, 4, 8, 6, 2, 6, 2, 7, 6, 3, 3, 0, 3, 9, 3, 6, 3, 6, 3, 6, 3, 3, 6, 3, 6, 4, 1, 1, 3, 0, 1, 1, 0, 0, 0, 4, 0, 2, 0, 0, 4, 6, 2, 2, 2, 2, 2, 5, 5, 8, 2, 3, 2, 9, 9, 7, 9, 7, 8, 0, 8, 8, 5, 5, 8, 5, 5, 8, 8, 5, 8] 
dag1.txt 3_2x4.txt True 0.03787878787878788 0.04 3315029.3333333335 [2, 2, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 
dag1.txt 3_2x4.txt True 0.05303030303030303 0.06 3227648.0 [2, 2, 0, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 
dag1.txt 3_2x4.txt True 0.07575757575757576 0.08 2894506.6666666665 [0, 0, 2, 2, 2, 2, 2, 2, 2, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 0, 1, 2, 2, 2, 2, 2, 1, 2, 2, 2, 1, 2, 1] 
dag1.txt 3_2x4.txt True 0.09848484848484848 0.1 2179072.0 [0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1] 
dag1.txt 3_2x4.txt True 0.10606060606060606 0.12 2397525.3333333335 [2, 0, 2, 2, 2, 1, 2, 1, 1, 0, 2, 2, 2, 2, 2, 0, 2, 1, 2, 0, 2, 2, 2, 1, 0, 2, 2, 2, 2, 2, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 2, 2, 0, 1, 0, 0, 0, 0, 0, 2, 0, 2, 2, 2, 0, 2, 2, 0, 0, 2, 0] 
dag1.txt 3_2x4.txt True 0.13636363636363635 0.14 1534634.6666666667 [0, 1, 2, 0, 2, 0, 2, 0, 0, 1, 2, 2, 2, 2, 2, 0, 0, 0, 2, 0, 2, 2, 2, 0, 1, 0, 0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 2, 0, 2, 2, 2, 2, 0, 2, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 2, 0, 2, 0, 2, 0, 1, 1, 1, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 
dag1.txt 3_2x4.txt True 0.1590909090909091 0.16 1417216.0 [0, 1, 0, 0, 2, 1, 2, 1, 1, 1, 2, 2, 2, 2, 2, 1, 0, 1, 0, 0, 2, 2, 0, 1, 1, 0, 0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 2, 2, 2, 2, 0, 2, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 2, 1, 2, 0, 2, 1, 1, 1, 1, 1, 1, 2, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1] 
dag1.txt 3_2x4.txt True 0.17424242424242425 0.18 1662976.0 [2, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 2, 0, 2, 0, 2, 0, 1, 0, 1, 2, 1, 0, 1, 2, 2, 0, 1, 0, 0, 2, 0, 0, 2, 0, 1, 2, 0, 2, 0, 2, 2, 2, 1, 0, 1, 2, 2, 2, 0, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 0, 0, 0, 0, 2, 0, 0, 0, 1, 1, 1, 1, 1, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0] 
dag1.txt 3_2x4.txt True 0.19696969696969696 0.2 1256106.6666666667 [1, 3, 1, 0, 0, 4, 2, 4, 4, 3, 2, 0, 2, 2, 2, 4, 0, 4, 1, 0, 2, 2, 2, 4, 3, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2, 2, 2, 2, 2, 2, 4, 2, 4, 2, 4, 2, 4, 2, 3, 3, 3, 3, 0, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4] 
dag1.txt 3_2x4.txt True 0.24242424242424243 0.25 939349.3333333334 [4, 1, 3, 4, 6, 2, 3, 2, 2, 1, 3, 6, 6, 6, 6, 0, 4, 2, 3, 0, 3, 6, 3, 2, 1, 2, 6, 6, 6, 6, 6, 4, 4, 6, 4, 6, 3, 4, 6, 4, 6, 4, 4, 4, 3, 6, 3, 4, 4, 4, 6, 4, 4, 4, 6, 4, 6, 4, 3, 6, 6, 6, 6, 6, 6, 6, 0, 6, 5, 6, 2, 2, 1, 1, 1, 1, 3, 0, 5, 5, 4, 0, 5, 5, 0, 0, 5, 0] 
dag1.txt 3_2x4.txt True 0.29545454545454547 0.3 759125.3333333334 [2, 1, 2, 5, 0, 5, 2, 5, 5, 1, 2, 0, 3, 0, 3, 5, 6, 5, 2, 5, 2, 3, 2, 5, 1, 5, 0, 0, 0, 0, 5, 6, 6, 6, 5, 6, 3, 6, 6, 6, 6, 6, 6, 6, 2, 6, 2, 6, 6, 6, 4, 6, 6, 6, 0, 6, 0, 6, 3, 0, 3, 3, 3, 3, 4, 3, 5, 3, 4, 3, 5, 3, 1, 1, 1, 1, 2, 5, 4, 4, 6, 5, 4, 4, 5, 5, 4, 4] 
dag1.txt 3_2x4.txt True 0.3484848484848485 0.35 565248.0 [2, 4, 1, 5, 6, 4, 0, 4, 4, 7, 0, 6, 2, 6, 0, 5, 2, 4, 1, 6, 0, 0, 1, 4, 7, 1, 0, 6, 6, 6, 4, 3, 5, 6, 1, 6, 1, 1, 6, 1, 6, 5, 2, 2, 0, 6, 5, 2, 2, 5, 4, 2, 3, 2, 6, 2, 6, 2, 0, 6, 0, 0, 2, 2, 4, 0, 5, 0, 3, 0, 4, 4, 7, 4, 7, 7, 5, 5, 1, 3, 5, 5, 3, 3, 5, 5, 5, 5] 
dag1.txt 3_2x4.txt True 0.3939393939393939 0.4 567978.6666666666 [6, 4, 6, 1, 2, 0, 5, 0, 0, 4, 6, 7, 0, 7, 0, 3, 7, 0, 6, 2, 5, 0, 5, 5, 4, 1, 2, 7, 0, 7, 2, 1, 1, 2, 1, 2, 5, 1, 2, 1, 2, 1, 7, 4, 6, 2, 6, 6, 7, 6, 0, 7, 6, 3, 7, 3, 7, 3, 5, 7, 0, 0, 0, 0, 2, 2, 3, 0, 1, 0, 0, 0, 4, 4, 4, 4, 6, 3, 1, 1, 3, 3, 2, 2, 3, 3, 3, 3] 
dag1.txt 3_2x4.txt True 0.4318181818181818 0.45 546133.3333333334 [4, 6, 4, 1, 6, 2, 7, 2, 2, 5, 2, 6, 0, 6, 0, 3, 3, 2, 4, 4, 7, 0, 5, 2, 5, 2, 3, 6, 6, 6, 2, 3, 3, 6, 1, 6, 5, 3, 6, 5, 6, 5, 3, 0, 7, 6, 6, 0, 0, 3, 2, 0, 3, 0, 6, 0, 0, 0, 7, 6, 7, 7, 7, 7, 2, 7, 4, 7, 1, 7, 2, 2, 5, 5, 4, 4, 4, 4, 0, 1, 1, 4, 1, 1, 1, 1, 1, 1] 
dag1.txt 3_2x4.txt True 0.4318181818181818 0.5 546133.3333333334 [4, 6, 4, 1, 6, 2, 7, 2, 2, 5, 2, 6, 0, 6, 0, 3, 3, 2, 4, 4, 7, 0, 5, 2, 5, 2, 3, 6, 6, 6, 2, 3, 3, 6, 1, 6, 5, 3, 6, 5, 6, 5, 3, 0, 7, 6, 6, 0, 0, 3, 2, 0, 3, 0, 6, 0, 0, 0, 7, 6, 7, 7, 7, 7, 2, 7, 4, 7, 1, 7, 2, 2, 5, 5, 4, 4, 4, 4, 0, 1, 1, 4, 1, 1, 1, 1, 1, 1] 
dag1.txt 3_2x4.txt True 0.4318181818181818 0.55 546133.3333333334 [4, 6, 4, 1, 6, 2, 7, 2, 2, 5, 2, 6, 0, 6, 0, 3, 3, 2, 4, 4, 7, 0, 5, 2, 5, 2, 3, 6, 6, 6, 2, 3, 3, 6, 1, 6, 5, 3, 6, 5, 6, 5, 3, 0, 7, 6, 6, 0, 0, 3, 2, 0, 3, 0, 6, 0, 0, 0, 7, 6, 7, 7, 7, 7, 2, 7, 4, 7, 1, 7, 2, 2, 5, 5, 4, 4, 4, 4, 0, 1, 1, 4, 1, 1, 1, 1, 1, 1] 
dag1.txt 3_2x4.txt True 0.4318181818181818 0.6 546133.3333333334 [4, 6, 4, 1, 6, 2, 7, 2, 2, 5, 2, 6, 0, 6, 0, 3, 3, 2, 4, 4, 7, 0, 5, 2, 5, 2, 3, 6, 6, 6, 2, 3, 3, 6, 1, 6, 5, 3, 6, 5, 6, 5, 3, 0, 7, 6, 6, 0, 0, 3, 2, 0, 3, 0, 6, 0, 0, 0, 7, 6, 7, 7, 7, 7, 2, 7, 4, 7, 1, 7, 2, 2, 5, 5, 4, 4, 4, 4, 0, 1, 1, 4, 1, 1, 1, 1, 1, 1] 
dag1.txt 3_2x4.txt True 0.4318181818181818 0.65 546133.3333333334 [4, 6, 4, 1, 6, 2, 7, 2, 2, 5, 2, 6, 0, 6, 0, 3, 3, 2, 4, 4, 7, 0, 5, 2, 5, 2, 3, 6, 6, 6, 2, 3, 3, 6, 1, 6, 5, 3, 6, 5, 6, 5, 3, 0, 7, 6, 6, 0, 0, 3, 2, 0, 3, 0, 6, 0, 0, 0, 7, 6, 7, 7, 7, 7, 2, 7, 4, 7, 1, 7, 2, 2, 5, 5, 4, 4, 4, 4, 0, 1, 1, 4, 1, 1, 1, 1, 1, 1] 
dag1.txt 3_2x4.txt True 0.4318181818181818 0.7 546133.3333333334 [4, 6, 4, 1, 6, 2, 7, 2, 2, 5, 2, 6, 0, 6, 0, 3, 3, 2, 4, 4, 7, 0, 5, 2, 5, 2, 3, 6, 6, 6, 2, 3, 3, 6, 1, 6, 5, 3, 6, 5, 6, 5, 3, 0, 7, 6, 6, 0, 0, 3, 2, 0, 3, 0, 6, 0, 0, 0, 7, 6, 7, 7, 7, 7, 2, 7, 4, 7, 1, 7, 2, 2, 5, 5, 4, 4, 4, 4, 0, 1, 1, 4, 1, 1, 1, 1, 1, 1] 
dag1.txt 3_2x4.txt True 0.4318181818181818 0.75 546133.3333333334 [4, 6, 4, 1, 6, 2, 7, 2, 2, 5, 2, 6, 0, 6, 0, 3, 3, 2, 4, 4, 7, 0, 5, 2, 5, 2, 3, 6, 6, 6, 2, 3, 3, 6, 1, 6, 5, 3, 6, 5, 6, 5, 3, 0, 7, 6, 6, 0, 0, 3, 2, 0, 3, 0, 6, 0, 0, 0, 7, 6, 7, 7, 7, 7, 2, 7, 4, 7, 1, 7, 2, 2, 5, 5, 4, 4, 4, 4, 0, 1, 1, 4, 1, 1, 1, 1, 1, 1] 
dag1.txt 3_2x4.txt True 0.4318181818181818 0.8 546133.3333333334 [4, 6, 4, 1, 6, 2, 7, 2, 2, 5, 2, 6, 0, 6, 0, 3, 3, 2, 4, 4, 7, 0, 5, 2, 5, 2, 3, 6, 6, 6, 2, 3, 3, 6, 1, 6, 5, 3, 6, 5, 6, 5, 3, 0, 7, 6, 6, 0, 0, 3, 2, 0, 3, 0, 6, 0, 0, 0, 7, 6, 7, 7, 7, 7, 2, 7, 4, 7, 1, 7, 2, 2, 5, 5, 4, 4, 4, 4, 0, 1, 1, 4, 1, 1, 1, 1, 1, 1] 
dag1.txt 3_2x4.txt True 0.4318181818181818 0.85 546133.3333333334 [4, 6, 4, 1, 6, 2, 7, 2, 2, 5, 2, 6, 0, 6, 0, 3, 3, 2, 4, 4, 7, 0, 5, 2, 5, 2, 3, 6, 6, 6, 2, 3, 3, 6, 1, 6, 5, 3, 6, 5, 6, 5, 3, 0, 7, 6, 6, 0, 0, 3, 2, 0, 3, 0, 6, 0, 0, 0, 7, 6, 7, 7, 7, 7, 2, 7, 4, 7, 1, 7, 2, 2, 5, 5, 4, 4, 4, 4, 0, 1, 1, 4, 1, 1, 1, 1, 1, 1] 
dag1.txt 3_2x4.txt True 0.4318181818181818 0.9 546133.3333333334 [4, 6, 4, 1, 6, 2, 7, 2, 2, 5, 2, 6, 0, 6, 0, 3, 3, 2, 4, 4, 7, 0, 5, 2, 5, 2, 3, 6, 6, 6, 2, 3, 3, 6, 1, 6, 5, 3, 6, 5, 6, 5, 3, 0, 7, 6, 6, 0, 0, 3, 2, 0, 3, 0, 6, 0, 0, 0, 7, 6, 7, 7, 7, 7, 2, 7, 4, 7, 1, 7, 2, 2, 5, 5, 4, 4, 4, 4, 0, 1, 1, 4, 1, 1, 1, 1, 1, 1] 
dag1.txt 3_2x4.txt True 0.4318181818181818 0.95 546133.3333333334 [4, 6, 4, 1, 6, 2, 7, 2, 2, 5, 2, 6, 0, 6, 0, 3, 3, 2, 4, 4, 7, 0, 5, 2, 5, 2, 3, 6, 6, 6, 2, 3, 3, 6, 1, 6, 5, 3, 6, 5, 6, 5, 3, 0, 7, 6, 6, 0, 0, 3, 2, 0, 3, 0, 6, 0, 0, 0, 7, 6, 7, 7, 7, 7, 2, 7, 4, 7, 1, 7, 2, 2, 5, 5, 4, 4, 4, 4, 0, 1, 1, 4, 1, 1, 1, 1, 1, 1] 
dag1.txt 3_2x4.txt True 0.4318181818181818 1 546133.3333333334 [4, 6, 4, 1, 6, 2, 7, 2, 2, 5, 2, 6, 0, 6, 0, 3, 3, 2, 4, 4, 7, 0, 5, 2, 5, 2, 3, 6, 6, 6, 2, 3, 3, 6, 1, 6, 5, 3, 6, 5, 6, 5, 3, 0, 7, 6, 6, 0, 0, 3, 2, 0, 3, 0, 6, 0, 0, 0, 7, 6, 7, 7, 7, 7, 2, 7, 4, 7, 1, 7, 2, 2, 5, 5, 4, 4, 4, 4, 0, 1, 1, 4, 1, 1, 1, 1, 1, 1] 
dag1.txt 5_4_3_2x2.txt True 0.03787878787878788 0.04 1989017.6 [4, 4, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 
dag1.txt 5_4_3_2x2.txt True 0.05303030303030303 0.06 1936588.8 [4, 4, 0, 0, 4, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 
dag1.txt 5_4_3_2x2.txt True 0.05303030303030303 0.08 1936588.8 [4, 4, 0, 0, 4, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 
dag1.txt 5_4_3_2x2.txt True 0.09848484848484848 0.1 1274675.2 [0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1] 
dag1.txt 5_4_3_2x2.txt True 0.11363636363636363 0.12 1339392.0 [0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1] 
dag1.txt 5_4_3_2x2.txt True 0.12878787878787878 0.14 1273856.0 [0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1] 
dag1.txt 5_4_3_2x2.txt True 0.1590909090909091 0.16 1179648.0 [0, 0, 1, 1, 0, 1, 0, 1, 1, 4, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1] 
dag1.txt 5_4_3_2x2.txt True 0.16666666666666666 0.18 1061683.2 [1, 3, 0, 0, 0, 2, 0, 2, 2, 3, 0, 0, 0, 0, 0, 2, 1, 2, 0, 0, 0, 0, 0, 2, 3, 2, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 0, 2, 2, 3, 3, 3, 3, 0, 2, 1, 1, 1, 2, 0, 1, 2, 2, 1, 2] 
dag1.txt 5_4_3_2x2.txt True 0.19696969696969696 0.2 868352.0 [1, 3, 1, 0, 0, 4, 2, 4, 4, 3, 2, 0, 2, 2, 2, 4, 0, 4, 1, 0, 2, 2, 2, 4, 3, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2, 2, 2, 2, 2, 2, 4, 2, 4, 2, 4, 2, 4, 2, 3, 3, 3, 3, 0, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4] 
dag1.txt 5_4_3_2x2.txt True 0.23484848484848486 0.25 764586.6666666666 [1, 0, 1, 5, 0, 5, 1, 5, 5, 4, 1, 2, 2, 0, 2, 5, 5, 5, 1, 0, 1, 2, 1, 5, 0, 5, 5, 0, 0, 0, 0, 5, 5, 0, 5, 0, 1, 1, 0, 1, 0, 1, 5, 2, 1, 0, 1, 2, 2, 1, 0, 2, 5, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 0, 0, 5, 2, 5, 2, 5, 3, 3, 3, 4, 4, 1, 5, 5, 5, 5, 5, 0, 5, 5, 5, 5, 5] 
dag1.txt 5_4_3_2x2.txt True 0.2878787878787879 0.3 540672.0 [6, 2, 6, 4, 0, 3, 4, 3, 3, 2, 4, 1, 0, 0, 0, 5, 6, 3, 6, 5, 4, 0, 4, 0, 2, 4, 6, 0, 2, 0, 0, 4, 4, 0, 4, 0, 4, 4, 0, 4, 0, 4, 6, 1, 4, 0, 4, 1, 1, 4, 0, 1, 4, 1, 0, 1, 1, 1, 4, 1, 1, 1, 1, 1, 0, 1, 5, 1, 6, 1, 3, 3, 3, 3, 2, 3, 4, 5, 6, 6, 5, 5, 0, 5, 5, 5, 5, 5] 
dag1.txt 5_4_3_2x2.txt True 0.3484848484848485 0.35 464213.3333333333 [5, 2, 0, 1, 6, 1, 0, 1, 1, 2, 0, 2, 4, 4, 4, 1, 5, 1, 0, 6, 0, 4, 0, 1, 2, 3, 4, 6, 2, 6, 6, 0, 1, 6, 3, 6, 3, 3, 6, 3, 6, 3, 5, 4, 0, 6, 0, 4, 4, 3, 6, 3, 5, 4, 4, 3, 3, 5, 3, 4, 4, 4, 4, 5, 6, 5, 1, 5, 4, 5, 1, 1, 1, 1, 2, 1, 0, 1, 0, 7, 7, 1, 6, 7, 1, 1, 7, 7] 
