dagE27.txt 3_2x4.txt True 0.04672897196261682 0.07 465.75 [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 3, 1, 3, 1, 1, 1, 1] 
dagE27.txt 3_2x4.txt True 0.04672897196261682 0.1 465.75 [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 3, 1, 3, 1, 1, 1, 1] 
dagE27.txt 3_2x4.txt True 0.11682242990654206 0.15 446.25 [1, 1, 1, 1, 1, 1, 7, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 7, 1, 1, 1, 1, 1, 1, 1, 1, 7, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 5, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 5, 1] 
dagE27.txt 3_2x4.txt True 0.14485981308411214 0.2 422.5 [1, 1, 1, 1, 1, 5, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 5, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 7, 1, 1, 7, 1, 1, 7, 1, 5, 1, 1, 7, 1, 1, 1, 5, 1, 1] 
dagE27.txt 3_2x4.txt True 0.14485981308411214 0.3 422.5 [1, 1, 1, 1, 1, 5, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 5, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 7, 1, 1, 7, 1, 1, 7, 1, 5, 1, 1, 7, 1, 1, 1, 5, 1, 1] 
dagE27.txt 3_2x4.txt True 0.14485981308411214 0.4 422.5 [1, 1, 1, 1, 1, 5, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 5, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 7, 1, 1, 7, 1, 1, 7, 1, 5, 1, 1, 7, 1, 1, 1, 5, 1, 1] 
dagE27.txt 3_2x4.txt True 0.4158878504672897 0.5 175.0 [1, 1, 7, 7, 7, 1, 1, 1, 1, 7, 7, 1, 1, 7, 1, 7, 3, 5, 5, 1, 1, 3, 1, 5, 1, 7, 3, 1, 1, 7, 5, 5, 5, 5, 5, 3, 5, 7, 7, 5, 3, 5, 7, 5, 7, 7, 3, 5, 5, 7, 5, 3, 5, 5, 5, 5, 5, 5, 5, 3, 5, 7, 5, 5, 5, 3, 3, 5, 3, 3] 
dagE27.txt 3_2x4.txt True 0.49065420560747663 0.6 148.25 [1, 7, 1, 1, 1, 1, 5, 5, 5, 1, 7, 7, 5, 1, 1, 7, 3, 1, 5, 7, 7, 3, 3, 7, 7, 3, 1, 5, 7, 3, 5, 5, 7, 3, 3, 3, 5, 7, 7, 7, 7, 5, 7, 7, 3, 7, 3, 1, 5, 7, 1, 1, 3, 3, 5, 5, 5, 3, 3, 1, 3, 7, 3, 3, 5, 1, 3, 3, 3, 1] 
dagE27.txt 3_2x4.txt True 0.5981308411214953 0.7 124.75 [7, 7, 5, 5, 1, 2, 5, 7, 7, 1, 1, 7, 7, 5, 1, 6, 4, 3, 3, 1, 5, 4, 0, 3, 5, 1, 2, 7, 1, 1, 6, 1, 3, 3, 3, 5, 1, 3, 3, 3, 6, 1, 3, 3, 1, 3, 7, 7, 1, 3, 7, 7, 3, 4, 3, 3, 3, 3, 5, 7, 1, 3, 3, 1, 1, 7, 7, 4, 0, 7] 
dagE27.txt 3_2x4.txt True 0.794392523364486 1 110.5 [3, 3, 7, 1, 7, 7, 3, 7, 7, 7, 1, 0, 3, 3, 1, 5, 7, 7, 3, 5, 1, 7, 5, 5, 7, 2, 7, 2, 5, 1, 1, 0, 1, 1, 4, 5, 0, 3, 5, 4, 0, 6, 3, 7, 2, 5, 1, 3, 0, 1, 3, 1, 5, 4, 1, 1, 4, 3, 5, 3, 5, 5, 0, 6, 7, 6, 2, 5, 3, 4] 
dagE27.txt 3_2x2.txt True 0.04672897196261682 0.07 621.0 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0] 
dagE27.txt 3_2x2.txt True 0.04672897196261682 0.1 621.0 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0] 
dagE27.txt 3_2x2.txt True 0.06074766355140187 0.15 628.3333333333334 [2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 2, 2, 2, 0, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 0, 2, 2, 3, 2] 
dagE27.txt 3_2x2.txt True 0.09813084112149532 0.2 596.6666666666666 [0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 3, 0, 0, 3, 0, 2, 0, 0, 2, 0, 0, 0, 2, 0, 0] 
dagE27.txt 3_2x2.txt True 0.09813084112149532 0.3 596.6666666666666 [0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 3, 0, 0, 3, 0, 2, 0, 0, 2, 0, 0, 0, 2, 0, 0] 
dagE27.txt 3_2x2.txt True 0.09813084112149532 0.4 596.6666666666666 [0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 3, 0, 0, 3, 0, 2, 0, 0, 2, 0, 0, 0, 2, 0, 0] 
dagE27.txt 3_2x2.txt True 0.43457943925233644 0.5 278.0 [0, 0, 3, 3, 3, 0, 0, 0, 0, 3, 3, 0, 0, 3, 0, 3, 3, 0, 1, 0, 0, 3, 0, 1, 0, 3, 2, 0, 0, 3, 1, 1, 0, 1, 0, 2, 1, 2, 2, 1, 2, 1, 2, 1, 3, 2, 2, 1, 1, 2, 0, 2, 0, 0, 1, 1, 1, 0, 0, 2, 0, 2, 1, 0, 1, 2, 2, 0, 2, 2] 
dagE27.txt 3_2x2.txt True 0.4766355140186916 0.6 257.0 [2, 2, 0, 0, 1, 2, 2, 2, 2, 0, 2, 2, 2, 1, 2, 2, 3, 0, 1, 2, 2, 3, 2, 0, 2, 3, 3, 2, 2, 3, 1, 1, 0, 3, 2, 0, 1, 0, 0, 0, 2, 1, 0, 0, 3, 0, 0, 2, 1, 0, 3, 3, 3, 2, 1, 1, 1, 2, 3, 3, 3, 0, 3, 3, 1, 2, 0, 2, 0, 3] 
