dagG13.txt 3_2x4.txt True 0.0 0.07 582.75 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7] 
dagG13.txt 3_2x4.txt True 0.0 0.1 582.75 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7] 
dagG13.txt 3_2x4.txt True 0.1214574898785425 0.15 530.0 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 4, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 4, 4, 4, 4, 7, 7, 7, 7, 4, 7, 4, 7, 7, 7] 
dagG13.txt 3_2x4.txt True 0.17813765182186234 0.2 369.75 [7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 4, 7, 7, 7, 7, 7, 7, 7, 0, 7, 0, 6, 7, 7, 0, 4, 0, 4, 0, 4, 0, 4, 4, 4, 7, 7, 0, 4, 6, 4, 6, 0, 4, 0, 0, 4, 0, 6, 4] 
dagG13.txt 3_2x4.txt True 0.17813765182186234 0.3 369.75 [7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 4, 7, 7, 7, 7, 7, 7, 7, 0, 7, 0, 6, 7, 7, 0, 4, 0, 4, 0, 4, 0, 4, 4, 4, 7, 7, 0, 4, 6, 4, 6, 0, 4, 0, 0, 4, 0, 6, 4] 
dagG13.txt 3_2x4.txt True 0.30364372469635625 0.4 639.0 [6, 6, 6, 6, 6, 6, 6, 6, 7, 6, 6, 6, 6, 6, 7, 6, 6, 1, 7, 6, 7, 6, 7, 7, 6, 7, 7, 6, 7, 7, 7, 7, 6, 7, 7, 1, 7, 7, 6, 7, 7, 7, 7, 7, 5, 7, 7, 7, 7, 7, 7, 5, 4, 7, 7, 5, 5, 1, 7, 5, 5, 3, 5, 5, 5, 7, 7, 7, 7, 4, 3, 4, 2, 5, 2, 5, 5, 2, 3, 5] 
dagG13.txt 3_2x4.txt True 0.4939271255060729 0.5 349.0 [1, 2, 1, 0, 0, 1, 1, 1, 2, 0, 1, 0, 0, 0, 2, 1, 1, 3, 3, 1, 3, 1, 2, 2, 2, 1, 4, 0, 2, 5, 2, 3, 1, 2, 2, 3, 3, 2, 0, 5, 2, 5, 3, 5, 6, 3, 4, 2, 5, 7, 4, 7, 4, 5, 4, 7, 6, 7, 5, 7, 6, 7, 6, 6, 6, 4, 5, 4, 5, 4, 5, 4, 7, 6, 7, 7, 6, 7, 6, 6] 
dagG13.txt 3_2x4.txt True 0.5263157894736842 0.6 298.0 [7, 4, 4, 4, 5, 4, 5, 4, 4, 5, 6, 5, 5, 4, 7, 5, 7, 6, 6, 5, 6, 4, 7, 7, 4, 5, 3, 5, 7, 2, 7, 6, 7, 7, 7, 6, 6, 7, 5, 3, 2, 2, 6, 3, 3, 6, 1, 7, 2, 1, 2, 0, 1, 2, 3, 0, 0, 3, 2, 0, 0, 1, 0, 1, 0, 2, 2, 1, 2, 1, 2, 1, 3, 1, 3, 0, 0, 3, 1, 0] 
dagG13.txt 3_2x4.txt True 0.5263157894736842 0.7 298.0 [7, 4, 4, 4, 5, 4, 5, 4, 4, 5, 6, 5, 5, 4, 7, 5, 7, 6, 6, 5, 6, 4, 7, 7, 4, 5, 3, 5, 7, 2, 7, 6, 7, 7, 7, 6, 6, 7, 5, 3, 2, 2, 6, 3, 3, 6, 1, 7, 2, 1, 2, 0, 1, 2, 3, 0, 0, 3, 2, 0, 0, 1, 0, 1, 0, 2, 2, 1, 2, 1, 2, 1, 3, 1, 3, 0, 0, 3, 1, 0] 
dagG13.txt 3_2x4.txt True 0.5263157894736842 1 298.0 [7, 4, 4, 4, 5, 4, 5, 4, 4, 5, 6, 5, 5, 4, 7, 5, 7, 6, 6, 5, 6, 4, 7, 7, 4, 5, 3, 5, 7, 2, 7, 6, 7, 7, 7, 6, 6, 7, 5, 3, 2, 2, 6, 3, 3, 6, 1, 7, 2, 1, 2, 0, 1, 2, 3, 0, 0, 3, 2, 0, 0, 1, 0, 1, 0, 2, 2, 1, 2, 1, 2, 1, 3, 1, 3, 0, 0, 3, 1, 0] 
