dagF0.txt 3_2x1.txt True 0.06278026905829596 0.07 1126.0 [1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1] 
dagF0.txt 3_2x1.txt True 0.09417040358744394 0.1 1077.0 [1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0] 
dagF0.txt 3_2x1.txt True 0.14798206278026907 0.15 797.5 [0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1] 
dagF0.txt 3_2x1.txt True 0.19730941704035873 0.2 594.0 [1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 
dagF0.txt 3_2x1.txt True 0.2825112107623318 0.3 486.0 [1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 
dagF0.txt 3_2x1.txt True 0.2825112107623318 0.4 486.0 [1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 
dagF0.txt 3_2x1.txt True 0.2825112107623318 0.5 486.0 [1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 
dagF0.txt 3_2x1.txt True 0.5201793721973094 0.6 485.6666666666667 [1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0] 
dagF0.txt 3_2x1.txt True 0.5201793721973094 0.7 485.6666666666667 [1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0] 
dagF0.txt 3_2x1.txt True 0.5201793721973094 1 485.6666666666667 [1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0] 
dagF0.txt 3_2x4.txt True 0.05829596412556054 0.07 566.0 [7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1] 
dagF0.txt 3_2x4.txt True 0.05829596412556054 0.08 566.0 [7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1] 
dagF0.txt 3_2x4.txt True 0.05829596412556054 0.09 566.0 [7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1] 
dagF0.txt 3_2x4.txt True 0.05829596412556054 0.1 566.0 [7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1] 
dagF0.txt 3_2x4.txt True 0.10762331838565023 0.11 554.0 [7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1] 
dagF0.txt 3_2x4.txt True 0.10762331838565023 0.12 554.0 [7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1] 
dagF0.txt 3_2x4.txt True 0.10762331838565023 0.13 554.0 [7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1] 
dagF0.txt 3_2x4.txt True 0.13901345291479822 0.14 542.0 [7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1] 
dagF0.txt 3_2x4.txt True 0.13901345291479822 0.15 542.0 [7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1] 
dagF0.txt 3_2x4.txt True 0.15695067264573992 0.16 529.0 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 6, 6, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 6, 7, 7, 6, 6] 
dagF0.txt 3_2x4.txt True 0.15695067264573992 0.17 529.0 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 6, 6, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 6, 7, 7, 6, 6] 
dagF0.txt 3_2x4.txt True 0.17488789237668162 0.18 516.75 [7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 6, 6, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 6, 7, 7, 6, 6] 
dagF0.txt 3_2x4.txt True 0.17488789237668162 0.19 516.75 [7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 6, 6, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 6, 7, 7, 6, 6] 
dagF0.txt 3_2x4.txt True 0.17488789237668162 0.2 516.75 [7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 6, 6, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 6, 7, 7, 6, 6] 
dagF0.txt 3_2x4.txt True 0.242152466367713 0.25 374.75 [1, 7, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 7, 1, 7, 7, 1, 1, 1, 1, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1] 
dagF0.txt 3_2x4.txt True 0.27802690582959644 0.3 349.75 [3, 7, 7, 7, 7, 7, 7, 1, 3, 7, 7, 7, 7, 3, 7, 7, 7, 3, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 6, 7, 7, 7, 7, 3, 7, 5, 7, 7, 7, 3, 3, 5, 7, 7, 6, 7, 5, 7, 6, 3, 7, 7, 6, 7, 7, 5, 6, 5, 6, 7, 5, 5, 7, 6, 7, 5, 7, 5, 6, 6] 
dagF0.txt 3_2x4.txt True 0.34977578475336324 0.35 209.25 [3, 3, 3, 3, 3, 3, 3, 1, 1, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 3, 1, 4, 3, 3, 3, 2, 3, 3, 7, 3, 7, 2, 3, 4, 7, 7, 7, 7, 7, 3, 7, 7, 4, 7, 7, 7, 7, 7, 5, 7, 7, 3, 4, 7, 7, 7, 5, 7, 7, 7, 7, 6, 7, 7, 6, 6, 7, 5, 7, 6, 7, 6, 5, 5] 
dagF0.txt 3_2x4.txt True 0.3901345291479821 0.4 197.25 [3, 3, 3, 3, 3, 3, 3, 1, 1, 3, 3, 3, 1, 3, 3, 3, 3, 1, 3, 3, 3, 1, 4, 3, 3, 3, 2, 3, 3, 7, 3, 7, 2, 3, 4, 7, 7, 7, 7, 7, 3, 7, 7, 4, 7, 7, 7, 1, 7, 5, 7, 7, 3, 4, 7, 7, 7, 5, 7, 7, 7, 7, 6, 7, 7, 6, 6, 7, 5, 7, 6, 7, 6, 5, 5] 
dagF0.txt 3_2x4.txt True 0.4484304932735426 0.45 213.0 [2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 0, 3, 3, 2, 3, 1, 3, 2, 3, 3, 3, 2, 4, 1, 3, 0, 3, 0, 2, 5, 0, 1, 4, 0, 4, 5, 5, 5, 1, 5, 1, 5, 3, 2, 1, 5, 1, 5, 5, 7, 5, 6, 4, 4, 5, 5, 5, 7, 5, 5, 1, 0, 7, 0, 4, 6, 6, 5, 7, 5, 6, 5, 7, 7, 7] 
dagF0.txt 3_2x4.txt True 0.4977578475336323 0.5 373.0 [7, 4, 4, 4, 4, 7, 4, 4, 7, 7, 7, 4, 5, 5, 4, 7, 4, 7, 7, 4, 6, 5, 6, 7, 7, 7, 4, 3, 7, 6, 7, 5, 3, 0, 6, 2, 3, 3, 3, 6, 6, 2, 2, 6, 5, 5, 1, 1, 3, 0, 2, 2, 6, 6, 5, 2, 2, 0, 2, 2, 6, 2, 1, 2, 6, 1, 1, 2, 0, 2, 1, 2, 1, 0, 0] 
dagF0.txt 3_2x4.txt True 0.547085201793722 0.55 302.0 [5, 5, 7, 7, 7, 0, 7, 7, 5, 6, 5, 7, 5, 5, 7, 4, 6, 5, 7, 7, 0, 5, 2, 7, 6, 5, 5, 1, 0, 4, 6, 0, 0, 6, 2, 3, 1, 1, 4, 3, 2, 1, 0, 2, 2, 0, 4, 4, 1, 3, 0, 3, 2, 2, 4, 1, 2, 6, 3, 1, 2, 6, 3, 1, 2, 3, 4, 1, 3, 1, 3, 4, 3, 4, 6] 
dagF0.txt 3_2x4.txt True 0.5964125560538116 0.6 234.0 [5, 5, 7, 7, 7, 0, 7, 7, 5, 6, 5, 7, 5, 5, 7, 1, 6, 5, 7, 7, 0, 5, 2, 1, 6, 5, 5, 1, 0, 4, 6, 0, 0, 6, 2, 3, 1, 1, 4, 3, 2, 1, 0, 2, 2, 0, 4, 1, 1, 3, 0, 3, 2, 1, 4, 1, 2, 6, 3, 1, 1, 6, 3, 1, 2, 3, 4, 1, 3, 1, 3, 4, 3, 4, 1] 
dagF0.txt 3_2x4.txt True 0.6233183856502242 0.65 126.5 [5, 5, 7, 7, 7, 0, 7, 7, 5, 6, 5, 7, 7, 5, 7, 7, 1, 5, 7, 7, 0, 5, 1, 5, 6, 5, 5, 1, 0, 1, 3, 1, 5, 6, 2, 3, 1, 1, 1, 3, 2, 1, 0, 3, 2, 1, 4, 7, 1, 3, 0, 3, 2, 3, 4, 1, 2, 6, 3, 1, 5, 6, 3, 1, 2, 3, 4, 1, 3, 5, 3, 4, 3, 3, 5] 
