dagK35.txt 1234x1.txt True 0.4680306905370844 0.6 380.5 [2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 3, 2, 2, 3, 3, 3, 3, 2, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3, 1, 3, 1, 3, 1, 3, 1, 1, 1, 3, 3, 2, 1, 3, 3, 1, 1, 1, 1, 2, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 3, 0, 3, 0, 0, 3, 3, 3, 0, 2, 3, 0, 3, 3, 3, 3, 1, 3, 0, 3, 3, 3, 3, 3, 1, 0] 
dagK35.txt 1234x3.txt True 0.8056265984654731 0.6 10000000313.0 [10, 10, 9, 10, 10, 11, 10, 11, 10, 11, 11, 11, 11, 9, 11, 11, 9, 9, 11, 11, 9, 10, 6, 10, 6, 10, 11, 10, 6, 9, 10, 6, 9, 9, 7, 6, 6, 6, 6, 8, 9, 8, 7, 6, 7, 9, 8, 8, 8, 6, 8, 7, 2, 6, 7, 2, 8, 2, 7, 9, 7, 2, 8, 2, 7, 8, 1, 0, 7, 8, 2, 0, 1, 2, 2, 0, 1, 1, 0, 1, 0, 1, 2, 7, 0, 1, 2, 1, 2, 0, 0, 7, 5, 4, 5, 3, 0, 4, 4, 3, 1, 0, 5, 1, 5, 4, 3, 0, 4, 5, 4, 4, 5, 4, 4, 5, 3, 3, 3, 3, 1, 5, 4, 5, 3, 3, 5, 5, 4, 3] 
dagK35.txt 1234x1.txt True 0.4680306905370844 0.7 380.5 [2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 3, 2, 2, 3, 3, 3, 3, 2, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3, 1, 3, 1, 3, 1, 3, 1, 1, 1, 3, 3, 2, 1, 3, 3, 1, 1, 1, 1, 2, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 3, 0, 3, 0, 0, 3, 3, 3, 0, 2, 3, 0, 3, 3, 3, 3, 1, 3, 0, 3, 3, 3, 3, 3, 1, 0] 
dagK35.txt 1234x3.txt True 0.8056265984654731 0.7 10000000313.0 [10, 10, 9, 10, 10, 11, 10, 11, 10, 11, 11, 11, 11, 9, 11, 11, 9, 9, 11, 11, 9, 10, 6, 10, 6, 10, 11, 10, 6, 9, 10, 6, 9, 9, 7, 6, 6, 6, 6, 8, 9, 8, 7, 6, 7, 9, 8, 8, 8, 6, 8, 7, 2, 6, 7, 2, 8, 2, 7, 9, 7, 2, 8, 2, 7, 8, 1, 0, 7, 8, 2, 0, 1, 2, 2, 0, 1, 1, 0, 1, 0, 1, 2, 7, 0, 1, 2, 1, 2, 0, 0, 7, 5, 4, 5, 3, 0, 4, 4, 3, 1, 0, 5, 1, 5, 4, 3, 0, 4, 5, 4, 4, 5, 4, 4, 5, 3, 3, 3, 3, 1, 5, 4, 5, 3, 3, 5, 5, 4, 3] 
dagK35.txt 1234x1.txt True 0.4680306905370844 0.8 380.5 [2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 3, 2, 2, 3, 3, 3, 3, 2, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3, 1, 3, 1, 3, 1, 3, 1, 1, 1, 3, 3, 2, 1, 3, 3, 1, 1, 1, 1, 2, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 3, 0, 3, 0, 0, 3, 3, 3, 0, 2, 3, 0, 3, 3, 3, 3, 1, 3, 0, 3, 3, 3, 3, 3, 1, 0] 
dagK35.txt 1234x3.txt True 0.8056265984654731 0.8 10000000313.0 [10, 10, 9, 10, 10, 11, 10, 11, 10, 11, 11, 11, 11, 9, 11, 11, 9, 9, 11, 11, 9, 10, 6, 10, 6, 10, 11, 10, 6, 9, 10, 6, 9, 9, 7, 6, 6, 6, 6, 8, 9, 8, 7, 6, 7, 9, 8, 8, 8, 6, 8, 7, 2, 6, 7, 2, 8, 2, 7, 9, 7, 2, 8, 2, 7, 8, 1, 0, 7, 8, 2, 0, 1, 2, 2, 0, 1, 1, 0, 1, 0, 1, 2, 7, 0, 1, 2, 1, 2, 0, 0, 7, 5, 4, 5, 3, 0, 4, 4, 3, 1, 0, 5, 1, 5, 4, 3, 0, 4, 5, 4, 4, 5, 4, 4, 5, 3, 3, 3, 3, 1, 5, 4, 5, 3, 3, 5, 5, 4, 3] 
dagK35.txt 1234x1.txt True 0.4680306905370844 0.5 380.5 [2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 3, 2, 2, 3, 3, 3, 3, 2, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3, 1, 3, 1, 3, 1, 3, 1, 1, 1, 3, 3, 2, 1, 3, 3, 1, 1, 1, 1, 2, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 3, 0, 3, 0, 0, 3, 3, 3, 0, 2, 3, 0, 3, 3, 3, 3, 1, 3, 0, 3, 3, 3, 3, 3, 1, 0] 
dagK35.txt 1234x3.txt True 0.8056265984654731 0.5 10000000313.0 [10, 10, 9, 10, 10, 11, 10, 11, 10, 11, 11, 11, 11, 9, 11, 11, 9, 9, 11, 11, 9, 10, 6, 10, 6, 10, 11, 10, 6, 9, 10, 6, 9, 9, 7, 6, 6, 6, 6, 8, 9, 8, 7, 6, 7, 9, 8, 8, 8, 6, 8, 7, 2, 6, 7, 2, 8, 2, 7, 9, 7, 2, 8, 2, 7, 8, 1, 0, 7, 8, 2, 0, 1, 2, 2, 0, 1, 1, 0, 1, 0, 1, 2, 7, 0, 1, 2, 1, 2, 0, 0, 7, 5, 4, 5, 3, 0, 4, 4, 3, 1, 0, 5, 1, 5, 4, 3, 0, 4, 5, 4, 4, 5, 4, 4, 5, 3, 3, 3, 3, 1, 5, 4, 5, 3, 3, 5, 5, 4, 3] 
dagK35.txt 1234x1.txt True 0.4680306905370844 0.6 380.5 [2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 3, 2, 2, 3, 3, 3, 3, 2, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3, 1, 3, 1, 3, 1, 3, 1, 1, 1, 3, 3, 2, 1, 3, 3, 1, 1, 1, 1, 2, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 3, 0, 3, 0, 0, 3, 3, 3, 0, 2, 3, 0, 3, 3, 3, 3, 1, 3, 0, 3, 3, 3, 3, 3, 1, 0] 
dagK35.txt 1234x3.txt True 0.8056265984654731 0.6 10000000313.0 [10, 10, 9, 10, 10, 11, 10, 11, 10, 11, 11, 11, 11, 9, 11, 11, 9, 9, 11, 11, 9, 10, 6, 10, 6, 10, 11, 10, 6, 9, 10, 6, 9, 9, 7, 6, 6, 6, 6, 8, 9, 8, 7, 6, 7, 9, 8, 8, 8, 6, 8, 7, 2, 6, 7, 2, 8, 2, 7, 9, 7, 2, 8, 2, 7, 8, 1, 0, 7, 8, 2, 0, 1, 2, 2, 0, 1, 1, 0, 1, 0, 1, 2, 7, 0, 1, 2, 1, 2, 0, 0, 7, 5, 4, 5, 3, 0, 4, 4, 3, 1, 0, 5, 1, 5, 4, 3, 0, 4, 5, 4, 4, 5, 4, 4, 5, 3, 3, 3, 3, 1, 5, 4, 5, 3, 3, 5, 5, 4, 3] 
dagK35.txt 1234x1.txt True 0.4680306905370844 0.7 380.5 [2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 3, 2, 2, 3, 3, 3, 3, 2, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3, 1, 3, 1, 3, 1, 3, 1, 1, 1, 3, 3, 2, 1, 3, 3, 1, 1, 1, 1, 2, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 3, 0, 3, 0, 0, 3, 3, 3, 0, 2, 3, 0, 3, 3, 3, 3, 1, 3, 0, 3, 3, 3, 3, 3, 1, 0] 
dagK35.txt 1234x3.txt True 0.8056265984654731 0.7 10000000313.0 [10, 10, 9, 10, 10, 11, 10, 11, 10, 11, 11, 11, 11, 9, 11, 11, 9, 9, 11, 11, 9, 10, 6, 10, 6, 10, 11, 10, 6, 9, 10, 6, 9, 9, 7, 6, 6, 6, 6, 8, 9, 8, 7, 6, 7, 9, 8, 8, 8, 6, 8, 7, 2, 6, 7, 2, 8, 2, 7, 9, 7, 2, 8, 2, 7, 8, 1, 0, 7, 8, 2, 0, 1, 2, 2, 0, 1, 1, 0, 1, 0, 1, 2, 7, 0, 1, 2, 1, 2, 0, 0, 7, 5, 4, 5, 3, 0, 4, 4, 3, 1, 0, 5, 1, 5, 4, 3, 0, 4, 5, 4, 4, 5, 4, 4, 5, 3, 3, 3, 3, 1, 5, 4, 5, 3, 3, 5, 5, 4, 3] 
dagK35.txt 1234x1.txt True 0.4680306905370844 0.8 380.5 [2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 3, 2, 2, 3, 3, 3, 3, 2, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3, 1, 3, 1, 3, 1, 3, 1, 1, 1, 3, 3, 2, 1, 3, 3, 1, 1, 1, 1, 2, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 3, 0, 3, 0, 0, 3, 3, 3, 0, 2, 3, 0, 3, 3, 3, 3, 1, 3, 0, 3, 3, 3, 3, 3, 1, 0] 
dagK35.txt 1234x3.txt True 0.8056265984654731 0.8 10000000313.0 [10, 10, 9, 10, 10, 11, 10, 11, 10, 11, 11, 11, 11, 9, 11, 11, 9, 9, 11, 11, 9, 10, 6, 10, 6, 10, 11, 10, 6, 9, 10, 6, 9, 9, 7, 6, 6, 6, 6, 8, 9, 8, 7, 6, 7, 9, 8, 8, 8, 6, 8, 7, 2, 6, 7, 2, 8, 2, 7, 9, 7, 2, 8, 2, 7, 8, 1, 0, 7, 8, 2, 0, 1, 2, 2, 0, 1, 1, 0, 1, 0, 1, 2, 7, 0, 1, 2, 1, 2, 0, 0, 7, 5, 4, 5, 3, 0, 4, 4, 3, 1, 0, 5, 1, 5, 4, 3, 0, 4, 5, 4, 4, 5, 4, 4, 5, 3, 3, 3, 3, 1, 5, 4, 5, 3, 3, 5, 5, 4, 3] 
dagK35.txt 1234x1.txt True 0.4680306905370844 0.5 380.5 [2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 3, 2, 2, 3, 3, 3, 3, 2, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3, 1, 3, 1, 3, 1, 3, 1, 1, 1, 3, 3, 2, 1, 3, 3, 1, 1, 1, 1, 2, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 3, 0, 3, 0, 0, 3, 3, 3, 0, 2, 3, 0, 3, 3, 3, 3, 1, 3, 0, 3, 3, 3, 3, 3, 1, 0] 
dagK35.txt 1234x3.txt True 0.8056265984654731 0.5 10000000313.0 [10, 10, 9, 10, 10, 11, 10, 11, 10, 11, 11, 11, 11, 9, 11, 11, 9, 9, 11, 11, 9, 10, 6, 10, 6, 10, 11, 10, 6, 9, 10, 6, 9, 9, 7, 6, 6, 6, 6, 8, 9, 8, 7, 6, 7, 9, 8, 8, 8, 6, 8, 7, 2, 6, 7, 2, 8, 2, 7, 9, 7, 2, 8, 2, 7, 8, 1, 0, 7, 8, 2, 0, 1, 2, 2, 0, 1, 1, 0, 1, 0, 1, 2, 7, 0, 1, 2, 1, 2, 0, 0, 7, 5, 4, 5, 3, 0, 4, 4, 3, 1, 0, 5, 1, 5, 4, 3, 0, 4, 5, 4, 4, 5, 4, 4, 5, 3, 3, 3, 3, 1, 5, 4, 5, 3, 3, 5, 5, 4, 3] 
dagK35.txt 1234x1.txt True 0.4680306905370844 0.6 380.5 [2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 3, 2, 2, 3, 3, 3, 3, 2, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3, 1, 3, 1, 3, 1, 3, 1, 1, 1, 3, 3, 2, 1, 3, 3, 1, 1, 1, 1, 2, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 3, 0, 3, 0, 0, 3, 3, 3, 0, 2, 3, 0, 3, 3, 3, 3, 1, 3, 0, 3, 3, 3, 3, 3, 1, 0] 
dagK35.txt 1234x3.txt True 0.8056265984654731 0.6 10000000313.0 [10, 10, 9, 10, 10, 11, 10, 11, 10, 11, 11, 11, 11, 9, 11, 11, 9, 9, 11, 11, 9, 10, 6, 10, 6, 10, 11, 10, 6, 9, 10, 6, 9, 9, 7, 6, 6, 6, 6, 8, 9, 8, 7, 6, 7, 9, 8, 8, 8, 6, 8, 7, 2, 6, 7, 2, 8, 2, 7, 9, 7, 2, 8, 2, 7, 8, 1, 0, 7, 8, 2, 0, 1, 2, 2, 0, 1, 1, 0, 1, 0, 1, 2, 7, 0, 1, 2, 1, 2, 0, 0, 7, 5, 4, 5, 3, 0, 4, 4, 3, 1, 0, 5, 1, 5, 4, 3, 0, 4, 5, 4, 4, 5, 4, 4, 5, 3, 3, 3, 3, 1, 5, 4, 5, 3, 3, 5, 5, 4, 3] 
dagK35.txt 1234x1.txt True 0.4680306905370844 0.7 380.5 [2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 3, 2, 2, 3, 3, 3, 3, 2, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3, 1, 3, 1, 3, 1, 3, 1, 1, 1, 3, 3, 2, 1, 3, 3, 1, 1, 1, 1, 2, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 3, 0, 3, 0, 0, 3, 3, 3, 0, 2, 3, 0, 3, 3, 3, 3, 1, 3, 0, 3, 3, 3, 3, 3, 1, 0] 
dagK35.txt 1234x3.txt True 0.8056265984654731 0.7 10000000313.0 [10, 10, 9, 10, 10, 11, 10, 11, 10, 11, 11, 11, 11, 9, 11, 11, 9, 9, 11, 11, 9, 10, 6, 10, 6, 10, 11, 10, 6, 9, 10, 6, 9, 9, 7, 6, 6, 6, 6, 8, 9, 8, 7, 6, 7, 9, 8, 8, 8, 6, 8, 7, 2, 6, 7, 2, 8, 2, 7, 9, 7, 2, 8, 2, 7, 8, 1, 0, 7, 8, 2, 0, 1, 2, 2, 0, 1, 1, 0, 1, 0, 1, 2, 7, 0, 1, 2, 1, 2, 0, 0, 7, 5, 4, 5, 3, 0, 4, 4, 3, 1, 0, 5, 1, 5, 4, 3, 0, 4, 5, 4, 4, 5, 4, 4, 5, 3, 3, 3, 3, 1, 5, 4, 5, 3, 3, 5, 5, 4, 3] 
dagK35.txt 1234x1.txt True 0.4680306905370844 0.8 380.5 [2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 3, 2, 2, 3, 3, 3, 3, 2, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3, 1, 3, 1, 3, 1, 3, 1, 1, 1, 3, 3, 2, 1, 3, 3, 1, 1, 1, 1, 2, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 3, 0, 3, 0, 0, 3, 3, 3, 0, 2, 3, 0, 3, 3, 3, 3, 1, 3, 0, 3, 3, 3, 3, 3, 1, 0] 
dagK35.txt 1234x3.txt True 0.8056265984654731 0.8 10000000313.0 [10, 10, 9, 10, 10, 11, 10, 11, 10, 11, 11, 11, 11, 9, 11, 11, 9, 9, 11, 11, 9, 10, 6, 10, 6, 10, 11, 10, 6, 9, 10, 6, 9, 9, 7, 6, 6, 6, 6, 8, 9, 8, 7, 6, 7, 9, 8, 8, 8, 6, 8, 7, 2, 6, 7, 2, 8, 2, 7, 9, 7, 2, 8, 2, 7, 8, 1, 0, 7, 8, 2, 0, 1, 2, 2, 0, 1, 1, 0, 1, 0, 1, 2, 7, 0, 1, 2, 1, 2, 0, 0, 7, 5, 4, 5, 3, 0, 4, 4, 3, 1, 0, 5, 1, 5, 4, 3, 0, 4, 5, 4, 4, 5, 4, 4, 5, 3, 3, 3, 3, 1, 5, 4, 5, 3, 3, 5, 5, 4, 3] 
