triadag25_9.txt 3_2x4.txt 0.35 0.35 955.5 [4, 6, 6, 4, 7, 4, 4, 6, 6, 4, 4, 6, 4, 0, 6, 6, 6, 4, 4, 4, 4, 4, 4, 6, 6, 6, 6, 4, 7, 6, 4, 6, 6, 4, 4, 6, 4, 0, 6, 4, 6, 4, 4, 4, 4, 4, 4, 6, 6, 6, 4, 7, 4, 6, 6, 6, 4, 6, 6, 4, 0, 6, 4, 6, 6, 4, 6, 6, 6, 4, 6, 6, 7, 4, 0, 6, 6, 6, 4, 6, 6, 4, 0, 6, 7, 6, 6, 4, 7, 6, 6, 7, 6, 6, 7, 0, 7, 7, 7, 7, 0, 0, 7, 0, 7, 7, 7, 7, 0, 7, 7, 4, 7, 6, 0, 0, 2, 7, 7, 7, 0, 7, 7, 0, 0, 7, 7, 7, 0, 7, 2, 0, 7, 0, 0, 3, 3, 7, 0, 0, 0, 0, 0, 7, 7, 0, 0, 0, 0, 0, 0, 7, 0, 0, 3, 3, 0, 3, 3, 3, 3, 3, 0, 0, 0, 0, 3, 3, 0, 3, 3, 0, 3, 3, 3, 3, 3, 0, 2, 3, 3, 1, 2, 3, 0, 3, 3, 3, 3, 1, 1, 2, 3, 3, 1, 3, 3, 1, 3, 3, 1, 3, 1, 3, 3, 1, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 5, 5, 5, 1, 1, 1, 1, 1, 1, 4, 1, 5, 1, 4, 5, 5, 5, 0, 1, 5, 5, 1, 5, 5, 5, 1, 5, 5, 5, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 2, 5, 5, 5, 2, 5, 5, 4, 0, 2, 2, 2, 5, 2, 5, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2] 
triadag25_9.txt 3_2x4.txt 0.295 0.3 1054.5 [3, 3, 2, 3, 5, 3, 2, 3, 3, 3, 2, 3, 5, 2, 3, 0, 3, 3, 3, 2, 2, 3, 5, 3, 2, 3, 2, 3, 5, 0, 2, 3, 3, 3, 2, 3, 5, 2, 3, 3, 3, 3, 3, 2, 2, 3, 5, 3, 2, 2, 3, 5, 3, 2, 3, 3, 3, 2, 3, 5, 2, 3, 3, 3, 3, 3, 2, 2, 3, 5, 3, 2, 4, 5, 4, 2, 2, 2, 2, 2, 2, 5, 2, 5, 2, 3, 2, 2, 5, 2, 2, 5, 3, 2, 4, 4, 2, 4, 4, 4, 4, 5, 5, 4, 5, 2, 5, 2, 4, 5, 4, 4, 5, 0, 4, 4, 6, 4, 4, 4, 4, 5, 5, 4, 0, 4, 5, 4, 4, 5, 4, 4, 5, 5, 4, 6, 4, 4, 4, 4, 5, 5, 4, 5, 4, 5, 6, 4, 5, 4, 4, 5, 4, 4, 6, 6, 6, 6, 6, 6, 6, 6, 4, 5, 6, 6, 6, 6, 4, 6, 4, 4, 7, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 7, 6, 7, 6, 7, 7, 6, 6, 7, 7, 7, 6, 7, 7, 7, 7, 7, 6, 7, 7, 7, 6, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 6, 0, 7, 0, 7, 7, 7, 7, 0, 7, 7, 7, 0, 7, 0, 7, 7, 0, 7, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1] 
triadag25_9.txt 3_2x4.txt 0.36333333333333334 0.4 931.6666666666666 [1, 1, 3, 1, 1, 3, 6, 2, 6, 1, 3, 1, 1, 2, 3, 6, 1, 1, 6, 6, 1, 6, 3, 1, 1, 6, 2, 1, 1, 4, 6, 1, 6, 1, 3, 1, 1, 1, 3, 4, 1, 1, 6, 6, 1, 6, 3, 1, 0, 6, 0, 1, 3, 6, 1, 6, 3, 3, 3, 1, 1, 3, 1, 1, 1, 6, 6, 1, 6, 3, 3, 3, 6, 3, 3, 6, 3, 6, 4, 3, 3, 1, 1, 3, 3, 4, 3, 6, 6, 3, 6, 3, 3, 3, 4, 4, 6, 3, 6, 4, 4, 6, 4, 3, 4, 3, 4, 3, 6, 6, 3, 6, 3, 6, 3, 4, 6, 4, 6, 4, 4, 4, 4, 4, 4, 4, 4, 4, 6, 6, 4, 6, 3, 4, 4, 7, 4, 6, 4, 4, 4, 4, 4, 4, 7, 4, 4, 6, 6, 4, 6, 4, 4, 4, 7, 7, 4, 7, 7, 7, 7, 7, 0, 4, 4, 6, 7, 7, 6, 7, 4, 7, 5, 7, 7, 7, 7, 0, 7, 7, 5, 5, 2, 7, 7, 5, 7, 5, 7, 5, 5, 4, 5, 5, 5, 5, 5, 5, 7, 7, 5, 5, 7, 5, 5, 5, 0, 5, 5, 2, 5, 0, 5, 7, 5, 5, 5, 7, 6, 5, 0, 0, 5, 5, 5, 5, 5, 7, 5, 4, 5, 7, 5, 2, 0, 5, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 6, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 6, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2] 
triadag25_9.txt 3_2x4.txt 0.3433333333333333 0.5 932.0 [4, 4, 6, 2, 5, 3, 4, 4, 5, 4, 3, 4, 3, 2, 4, 4, 4, 4, 4, 4, 4, 3, 4, 3, 4, 4, 6, 2, 5, 4, 4, 4, 4, 4, 3, 4, 3, 3, 4, 4, 4, 4, 4, 4, 4, 3, 4, 3, 4, 3, 2, 5, 3, 3, 4, 5, 4, 3, 4, 3, 3, 4, 4, 4, 4, 4, 4, 4, 3, 4, 3, 4, 2, 5, 3, 3, 4, 5, 4, 3, 3, 3, 3, 5, 3, 3, 2, 4, 2, 3, 3, 2, 3, 3, 2, 3, 2, 2, 5, 2, 5, 6, 2, 2, 5, 5, 2, 2, 2, 2, 2, 6, 2, 6, 2, 5, 2, 2, 5, 2, 2, 5, 2, 2, 0, 5, 2, 2, 2, 2, 2, 2, 2, 2, 2, 7, 5, 5, 5, 5, 5, 5, 2, 5, 5, 7, 5, 5, 5, 5, 5, 2, 5, 7, 7, 7, 5, 7, 7, 7, 7, 7, 0, 7, 5, 7, 7, 7, 7, 7, 5, 7, 6, 7, 7, 7, 7, 0, 2, 7, 7, 6, 0, 7, 4, 7, 7, 6, 7, 6, 6, 6, 7, 6, 6, 6, 6, 6, 7, 7, 6, 7, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 7, 7, 6, 6, 6, 6, 6, 0, 6, 6, 6, 6, 6, 6, 7, 7, 6, 6, 6, 6, 6, 0, 0, 0, 0, 0, 0, 0, 2, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 1, 0, 4, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1] 
triadag25_9.txt 3_2x4.txt 0.35833333333333334 0.45 934.6666666666666 [4, 4, 3, 4, 2, 4, 4, 4, 2, 4, 3, 3, 2, 3, 4, 4, 4, 4, 4, 3, 4, 4, 4, 3, 3, 4, 0, 4, 2, 4, 4, 4, 2, 4, 3, 3, 2, 3, 4, 4, 4, 4, 4, 3, 4, 4, 4, 3, 2, 3, 2, 2, 4, 4, 4, 2, 4, 3, 3, 2, 3, 4, 4, 4, 4, 4, 6, 4, 4, 4, 3, 3, 2, 6, 3, 3, 4, 2, 2, 3, 3, 2, 3, 3, 3, 4, 2, 4, 3, 3, 3, 2, 3, 3, 6, 3, 2, 6, 2, 6, 2, 2, 2, 6, 3, 3, 2, 2, 2, 2, 6, 6, 2, 2, 2, 6, 2, 6, 6, 6, 6, 6, 2, 6, 6, 6, 6, 6, 6, 2, 6, 6, 2, 6, 2, 1, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 2, 6, 6, 6, 6, 2, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 6, 1, 1, 1, 6, 1, 1, 2, 1, 1, 1, 1, 1, 0, 2, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 2, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 5, 0, 0, 5, 5, 5, 0, 0, 5, 6, 0, 5, 5, 5, 5, 5, 5, 5, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 7, 5, 7, 5, 5, 4, 4, 5, 7, 0, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 2, 7, 7, 7, 6, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7] 
triadag25_9.txt 3_2x4.txt 0.37166666666666665 0.55 934.6666666666666 [2, 2, 0, 4, 0, 2, 0, 4, 0, 0, 0, 2, 2, 2, 2, 6, 2, 2, 0, 2, 4, 2, 2, 2, 0, 2, 6, 2, 0, 6, 0, 2, 0, 0, 0, 2, 2, 2, 2, 6, 2, 2, 0, 2, 4, 2, 2, 2, 0, 0, 4, 0, 1, 0, 2, 0, 0, 0, 2, 2, 2, 2, 2, 2, 2, 0, 2, 4, 2, 2, 2, 0, 4, 0, 1, 0, 0, 0, 0, 0, 0, 4, 2, 2, 4, 0, 0, 2, 1, 4, 0, 0, 2, 0, 1, 1, 4, 4, 4, 1, 4, 2, 4, 2, 4, 1, 4, 4, 1, 4, 4, 4, 1, 4, 4, 1, 4, 4, 1, 1, 0, 1, 4, 1, 4, 1, 1, 1, 1, 1, 0, 1, 1, 4, 4, 3, 4, 1, 1, 1, 1, 4, 0, 4, 1, 1, 1, 1, 1, 1, 1, 1, 4, 4, 3, 3, 3, 3, 3, 3, 3, 3, 0, 1, 1, 1, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 0, 2, 3, 3, 3, 2, 3, 2, 3, 3, 3, 4, 7, 3, 4, 3, 3, 3, 7, 3, 3, 7, 3, 7, 3, 7, 3, 7, 7, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 0, 7, 6, 7, 7, 7, 7, 7, 7, 7, 6, 4, 6, 7, 7, 7, 6, 7, 6, 6, 7, 6, 6, 6, 6, 6, 7, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 5, 6, 6, 6, 6, 6, 6, 6, 6, 4, 5, 5, 5, 6, 6, 6, 6, 6, 5, 5, 0, 5, 6, 6, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 2, 5, 5, 5, 2, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5] 
triadag25_9.txt 3_2x4.txt 0.36666666666666664 0.6 932.3333333333334 [3, 3, 4, 3, 4, 3, 4, 4, 4, 1, 3, 3, 4, 1, 3, 6, 3, 3, 3, 4, 3, 3, 3, 3, 4, 3, 4, 3, 4, 4, 4, 4, 4, 1, 3, 3, 4, 1, 3, 4, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 2, 4, 2, 4, 4, 4, 1, 3, 3, 4, 1, 3, 3, 4, 3, 3, 0, 3, 3, 3, 3, 4, 1, 4, 1, 4, 4, 4, 2, 3, 4, 4, 1, 1, 1, 4, 4, 4, 4, 4, 4, 4, 3, 4, 2, 1, 1, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 6, 2, 4, 1, 2, 2, 5, 2, 2, 6, 6, 1, 1, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 5, 2, 2, 6, 6, 5, 6, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 5, 2, 5, 6, 6, 5, 2, 2, 2, 2, 5, 5, 1, 2, 2, 6, 2, 2, 5, 5, 6, 6, 5, 6, 6, 5, 5, 5, 0, 5, 2, 5, 6, 5, 5, 5, 6, 6, 5, 6, 6, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 6, 6, 5, 6, 6, 5, 2, 5, 5, 5, 5, 5, 6, 0, 0, 6, 5, 6, 6, 0, 6, 6, 0, 6, 6, 5, 6, 6, 0, 0, 6, 0, 0, 6, 6, 0, 6, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 0, 7, 0, 0, 0, 0, 6, 7, 7, 0, 7, 0, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 2, 7, 7, 7, 6, 7, 7, 7, 7, 7, 0, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7] 
triadag25_9.txt 3_2x4.txt 0.3433333333333333 0.65 934.3333333333334 [5, 5, 2, 4, 7, 2, 4, 6, 5, 2, 2, 5, 2, 5, 5, 4, 5, 5, 2, 5, 5, 5, 5, 2, 2, 5, 6, 4, 7, 6, 4, 5, 2, 2, 2, 5, 2, 5, 5, 4, 5, 5, 2, 5, 5, 5, 5, 2, 2, 2, 4, 7, 2, 4, 5, 5, 2, 2, 5, 2, 5, 5, 5, 5, 2, 2, 4, 5, 5, 5, 2, 2, 4, 7, 7, 4, 7, 2, 2, 2, 5, 2, 2, 5, 5, 5, 2, 6, 2, 2, 2, 7, 2, 2, 4, 7, 4, 7, 4, 4, 4, 4, 4, 4, 7, 4, 7, 4, 4, 4, 4, 4, 7, 0, 4, 7, 4, 7, 4, 4, 4, 4, 4, 7, 2, 4, 7, 4, 4, 4, 4, 4, 7, 2, 4, 0, 7, 7, 0, 7, 7, 7, 0, 7, 7, 7, 0, 7, 7, 7, 7, 7, 7, 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 0, 7, 0, 0, 0, 0, 7, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 2, 1, 6, 1, 0, 1, 1, 1, 1, 0, 1, 3, 3, 1, 1, 1, 1, 1, 0, 1, 4, 1, 1, 1, 2, 3, 3, 3, 0, 3, 3, 2, 1, 3, 1, 3, 1, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 6, 3, 3, 3, 6, 3, 3, 4, 0, 6, 6, 6, 6, 6, 6, 3, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6] 
triadag25_9.txt 3_2x4.txt 0.31166666666666665 0.7 933.3333333333334 [1, 1, 7, 1, 4, 1, 1, 6, 3, 1, 7, 7, 7, 7, 1, 6, 1, 7, 1, 7, 1, 1, 3, 1, 7, 1, 0, 1, 4, 6, 4, 1, 2, 1, 7, 7, 7, 7, 1, 6, 1, 7, 1, 7, 1, 1, 3, 1, 2, 7, 1, 4, 1, 1, 1, 3, 1, 7, 7, 7, 7, 1, 1, 1, 7, 1, 4, 1, 1, 3, 1, 7, 4, 4, 3, 7, 7, 3, 4, 7, 7, 7, 7, 1, 1, 7, 7, 6, 4, 7, 7, 3, 1, 7, 4, 3, 4, 7, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 3, 4, 3, 3, 4, 4, 3, 4, 0, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 3, 4, 2, 6, 6, 3, 4, 3, 3, 3, 0, 3, 3, 3, 3, 3, 3, 3, 4, 3, 3, 3, 6, 6, 6, 6, 6, 6, 6, 6, 6, 3, 6, 3, 6, 6, 4, 6, 3, 3, 6, 6, 6, 6, 6, 6, 6, 6, 5, 6, 6, 6, 6, 6, 6, 5, 5, 5, 6, 6, 6, 6, 6, 6, 5, 5, 6, 6, 5, 6, 6, 5, 5, 5, 2, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 0, 5, 2, 5, 5, 5, 5, 5, 5, 5, 5, 0, 5, 5, 2, 2, 2, 5, 2, 2, 5, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 2, 2, 2, 2, 2, 2, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 
triadag25_9.txt 3_2x4.txt 0.3233333333333333 1 934.0 [2, 2, 1, 2, 2, 2, 1, 2, 1, 2, 1, 2, 1, 5, 2, 4, 1, 2, 1, 2, 2, 2, 1, 2, 2, 2, 0, 2, 2, 6, 6, 2, 2, 2, 1, 2, 1, 5, 2, 4, 1, 2, 1, 2, 2, 2, 1, 2, 2, 5, 2, 2, 2, 1, 2, 1, 2, 1, 2, 1, 5, 2, 5, 1, 1, 1, 2, 2, 2, 1, 2, 2, 6, 1, 6, 1, 1, 1, 2, 1, 1, 1, 5, 5, 5, 1, 1, 4, 5, 6, 5, 1, 2, 1, 6, 6, 6, 6, 6, 5, 6, 5, 6, 5, 5, 5, 6, 6, 6, 5, 6, 2, 6, 6, 5, 6, 6, 6, 6, 5, 6, 5, 6, 5, 6, 5, 6, 6, 6, 5, 6, 5, 6, 6, 5, 7, 6, 6, 5, 6, 5, 6, 4, 5, 5, 6, 6, 6, 5, 6, 5, 6, 6, 5, 7, 7, 7, 7, 7, 7, 7, 7, 2, 7, 7, 7, 7, 7, 5, 7, 7, 5, 3, 7, 7, 7, 7, 0, 7, 7, 7, 7, 4, 7, 7, 3, 7, 7, 7, 3, 3, 6, 3, 3, 3, 3, 3, 3, 3, 7, 3, 3, 3, 7, 3, 3, 7, 3, 3, 2, 3, 2, 3, 3, 3, 3, 3, 3, 0, 0, 0, 3, 3, 3, 3, 0, 3, 3, 3, 6, 3, 3, 0, 0, 0, 3, 0, 0, 0, 0, 0, 3, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 4, 0, 0, 0, 0, 0, 0, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4] 
